date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-02-27,
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-06,
2021-03-07,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-13,
2021-03-14,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-20,
2021-03-21,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-27,
2021-03-28,
2021-03-29,
2021-03-30,
2021-03-31,0.3088912235884433
2021-04-01,15.049947932418332
2021-04-02,147.6622956253757
2021-04-03,147.6622956253757
2021-04-04,287.70703282601824
2021-04-05,453.75799246473485
2021-04-06,330.18756821949347
2021-04-07,518.1966566640759
2021-04-08,368.47731273304356
2021-04-09,589.495734555894
2021-04-10,303.97028138887384
2021-04-11,569.8369196417285
2021-04-12,311.1079427462334
2021-04-13,241.6003347601747
2021-04-14,662.0901354257521
2021-04-15,10296.439563931946
2021-04-16,47605.24603881027
2021-04-17,82673.36286769372
2021-04-18,76490.92492111993
2021-04-19,67098.77773546717
2021-04-20,83475.72865865756
2021-04-21,87144.6550281024
2021-04-22,59574.07434960322
2021-04-23,68751.823713118
2021-04-24,58353.490639193515
2021-04-25,67055.06303492165
2021-04-26,77044.40234113779
2021-04-27,90251.96376594974
2021-04-28,103079.23682525542
2021-04-29,123592.96219828121
2021-04-30,147621.60976854636
2021-05-01,133072.83997701886
2021-05-02,240410.92605474117
2021-05-03,204737.07881475048
2021-05-04,236179.799824453
2021-05-05,192891.31887608964
2021-05-06,207974.70523056795
2021-05-07,235173.28293453145
2021-05-08,253321.4353956786
2021-05-09,278577.1915561292
2021-05-10,251563.8748181993
2021-05-11,273399.3093942146
2021-05-12,285667.6651366438
2021-05-13,357863.706075282
2021-05-14,292835.6453961306
2021-05-15,399870.86770004814
2021-05-16,316695.38843699236
2021-05-17,338015.4386780371
2021-05-18,350451.4125432796
2021-05-19,417996.4019156077
2021-05-20,368394.05410355167
2021-05-21,438087.4833870023
2021-05-22,431349.62258028926
2021-05-23,334281.4977702781
2021-05-24,306582.08841383044
2021-05-25,418973.0291299014
2021-05-26,422522.43912465085
2021-05-27,504542.15996108303
2021-05-28,490003.2132679951
2021-05-29,437313.13341232075
2021-05-30,406308.22085821524
2021-05-31,424755.1213674491
2021-06-01,491677.67537155555
2021-06-02,515166.2480803451
2021-06-03,533772.8912000096
2021-06-04,548018.7295217378
2021-06-05,562751.2296296161
2021-06-06,661476.7514148173
2021-06-07,569057.0129258967
2021-06-08,567542.9189404063
2021-06-09,492993.93522903527
2021-06-10,539065.1334903854
2021-06-11,585202.467262421
2021-06-12,516857.51771174703
2021-06-13,452171.9435938654
2021-06-14,453931.8560149788
2021-06-15,428755.7706237033
2021-06-16,448996.2851901398
2021-06-17,430400.03313862655
2021-06-18,455404.5641899113
2021-06-19,311255.218604274
2021-06-20,305922.5968763054
2021-06-21,254857.91493974137
2021-06-22,219533.89606699103
2021-06-23,209952.36181578788
2021-06-24,211015.1138502508
2021-06-25,195974.33632397786
2021-06-26,197039.72858899226
2021-06-27,194003.5423750927
2021-06-28,199509.26166199712
2021-06-29,205879.63800672608
2021-06-30,225720.09220111938
2021-07-01,237494.6952071244
2021-07-02,221257.10042918308
2021-07-03,216465.89818212696
2021-07-04,210440.91478136936
2021-07-05,208970.04166075183
2021-07-06,197084.24324949188
2021-07-07,196908.9127836918
2021-07-08,203796.21112854456
2021-07-09,203096.78724333044
2021-07-10,252888.63562612
2021-07-11,245464.92017998567
2021-07-12,192439.96834518152
2021-07-13,267914.6420290286
2021-07-14,306186.7315393332
2021-07-15,264382.9051301897
2021-07-16,196822.84226068185
2021-07-17,408598.8044081198
2021-07-18,185073.38269863167
2021-07-19,182709.10934743783
2021-07-20,192125.06483485588
2021-07-21,170278.93855238386
2021-07-22,208897.4393893673
2021-07-23,172166.77857715508
2021-07-24,168936.3267550805
2021-07-25,220763.69026085557
2021-07-26,234959.51506378417
