date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,41.54744540598252
2020-12-04,41.54744540598252
2020-12-05,170.2556838874473
2020-12-06,397.4408492850507
2020-12-07,704.6886574444823
2020-12-08,1123.1015060037882
2020-12-09,1690.7529474605815
2020-12-10,1661.1001548639565
2020-12-11,1646.5845779662493
2020-12-12,1278.6392167877382
2020-12-13,1742.5964672822713
2020-12-14,2092.0150797406063
2020-12-15,2635.8950967670894
2020-12-16,4612.542891945639
2020-12-17,4302.22195591603
2020-12-18,8613.40596434056
2020-12-19,4945.2668770205055
2020-12-20,4671.13927215692
2020-12-21,6613.688533000421
2020-12-22,6806.847436037847
2020-12-23,5216.300956875647
2020-12-24,5850.092580178207
2020-12-25,7639.454669290439
2020-12-26,8377.815043796516
2020-12-27,6888.748388924318
2020-12-28,2294.897884984499
2020-12-29,9428.081142403047
2020-12-30,6176.234474062117
2020-12-31,38284.18383154123
2021-01-01,52261.50672805204
2021-01-02,66776.11188619703
2021-01-03,74630.02994243664
2021-01-04,91299.2042095204
2021-01-05,22933.317521446068
2021-01-06,12849.814726844934
2021-01-07,37598.80824882208
2021-01-08,29185.699033351935
2021-01-09,31975.18212195523
2021-01-10,27451.112994111798
2021-01-11,25538.304912043237
2021-01-12,25161.178026241367
2021-01-13,20276.602275248988
2021-01-14,23347.338766859368
2021-01-15,40365.52899017069
2021-01-16,35147.57958513246
2021-01-17,34411.45543409783
2021-01-18,45883.77305731421
2021-01-19,40200.151019948054
2021-01-20,56133.755597527685
2021-01-21,47459.139518770404
2021-01-22,54000.21578222918
2021-01-23,49186.86920359294
2021-01-24,49605.764581956784
2021-01-25,62135.861236968085
2021-01-26,59258.906732832416
2021-01-27,45292.41496894731
2021-01-28,52797.8832870199
2021-01-29,58998.72078242571
2021-01-30,66263.63204082893
2021-01-31,70588.02821668977
2021-02-01,74475.14254354122
2021-02-02,60539.05113942292
2021-02-03,30340.669958608458
2021-02-04,130839.53156876836
2021-02-05,1743217.460241657
2021-02-06,109287.42711000665
2021-02-07,89819.27807604587
2021-02-08,74038.62644670614
2021-02-09,132316.98043141095
2021-02-10,180695.61553872412
2021-02-11,186343.6665654877
2021-02-12,178273.526578357
2021-02-13,134078.85083106696
2021-02-14,127278.13750057644
2021-02-15,80512.16420484688
2021-02-16,157857.90673887834
2021-02-17,174525.72729711418
2021-02-18,158772.88065736255
2021-02-19,185142.03300017593
2021-02-20,156656.2385487133
2021-02-21,155345.51269613186
2021-02-22,143313.72845367022
2021-02-23,140543.34506184666
2021-02-24,110950.58487984951
2021-02-25,133604.70963924495
2021-02-26,154902.00678359342
2021-02-27,99965.70388870573
2021-02-28,98769.21805274341
2021-03-01,109442.08457534558
2021-03-02,114626.09214137596
2021-03-03,109630.28603025574
2021-03-04,135841.2571110726
2021-03-05,138208.61522375754
2021-03-06,111701.17120739784
2021-03-07,108365.69971007165
2021-03-08,309004.8003342921
2021-03-09,258824.67458603095
2021-03-10,234857.19356905852
2021-03-11,299252.2433728996
2021-03-12,304462.6492618375
2021-03-13,179307.14828289518
2021-03-14,158364.73130630754
2021-03-15,190384.54578555463
2021-03-16,185855.84336304982
2021-03-17,190399.39364484375
2021-03-18,231887.09120189276
2021-03-19,280737.96261278377
2021-03-20,182066.99145286615
2021-03-21,179755.97079903045
2021-03-22,165079.7220911201
2021-03-23,163741.65734031418
2021-03-24,148479.88947316608
2021-03-25,168586.98000743252
2021-03-26,146169.82547438008
2021-03-27,146209.18861903908
2021-03-28,176809.17827360905
2021-03-29,163533.83278815207
2021-03-30,152377.20134872885
2021-03-31,167577.8447392108
2021-04-01,230211.6171656038
2021-04-02,233394.02033484654
2021-04-03,234537.09180934873
2021-04-04,319763.06467344816
2021-04-05,315446.2240535067
2021-04-06,271824.5455607021
2021-04-07,225574.3455727538
2021-04-08,218317.9188107353
2021-04-09,192147.75274567195
2021-04-10,183090.1386002038
2021-04-11,247915.4619172365
2021-04-12,264924.386472461
2021-04-13,237687.68274155335
2021-04-14,236619.14271678022
2021-04-15,289695.17710025207
2021-04-16,355605.6920612049
2021-04-17,325379.0719770551
2021-04-18,255091.1315765687
2021-04-19,259350.02241223835
2021-04-20,221120.13207149733
2021-04-21,185792.25181463556
2021-04-22,207302.79166785127
2021-04-23,249335.72338302326
2021-04-24,200038.65107733716
2021-04-25,177921.36658712843
2021-04-26,216593.9977616794
2021-04-27,89357.27155914917
2021-04-28,486253.4561539975
2021-04-29,518841.438893992
2021-04-30,574150.3170445799
2021-05-01,703295.9866001689
2021-05-02,762189.6674002092
2021-05-03,651225.5231788807
2021-05-04,1414068.0266457356
2021-05-05,1138694.5194040632
2021-05-06,1225699.4054489334
2021-05-07,1266678.8487434413
2021-05-08,1503656.299214853
2021-05-09,1369882.8962046201
2021-05-10,994797.1323733384
2021-05-11,1424781.0645515819
2021-05-12,1368396.9866444196
2021-05-13,1693052.374340978
2021-05-14,1448657.6748814692
2021-05-15,1317351.0123270603
2021-05-16,1313740.0648963822
2021-05-17,931095.244923939
2021-05-18,870869.4358872584
2021-05-19,730896.834080037
2021-05-20,1270051.9977636712
2021-05-21,919736.2585793863
2021-05-22,902463.8655905328
2021-05-23,826834.8654910849
2021-05-24,549029.752591368
2021-05-25,421730.5686226507
2021-05-26,456987.79800280475
2021-05-27,370742.2795974177
2021-05-28,462123.9121280408
2021-05-29,425305.0374686563
2021-05-30,544170.6371340763
2021-05-31,430097.51116367953
