date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-23,0.2086219684091381
2020-09-24,1.640877709061701
2020-09-25,5.399043310471753
2020-09-27,4.407694949787756
2020-09-28,0.5689680876570881
2020-09-29,2.700869917778065
2020-09-30,54.7958478098273
2020-10-01,365.58556742474826
2020-10-02,4.647153698504896
2020-10-03,0.038590811279885756
2020-10-04,1.2720816253129115
2020-10-05,0.4892816330139723
2020-10-06,0.7469352347255207
2020-10-07,4.028799049860528
2020-10-08,8.591217136617136
2020-10-11,2.742193909973635
2020-10-12,0.36641346546323694
2020-10-13,28.33209929643779
2020-10-14,1.4088332198891453
2020-10-15,3.345235648618251
2020-10-16,2.228720361840376
2020-10-17,5.428499617152112
2020-10-18,0.9342440608630631
2020-10-19,1.466434564365927
2020-10-20,1.2576513593173868
2020-10-21,0.5636613044506968
2020-10-22,0.16877197072176403
2020-10-23,5.296599946354616
2020-10-27,1.073392775176407
2020-10-28,2.8103304558070805
2020-10-29,2.4118160026311286
2020-10-30,0.2044176052274453
2020-11-01,0.4973080038668436
2020-11-02,3.019509044669734
2020-11-03,3.7447701537886533
2020-11-04,0.14421519671262617
2020-11-05,0.649417576885244
2020-11-06,0.6326903912005934
2020-11-08,0.43378186940949964
2020-11-09,8.576749606821338
2020-11-10,2.762904586901956
2020-11-11,2.3345297933322704
2020-11-12,16.303427530447106
2020-11-13,10.065771629644418
2020-11-14,0.6583797651975758
2020-11-16,0.7429544196352149
2020-11-17,0.9289750040540041
2020-11-18,0.12258538577905284
2020-11-19,0.2786637181685441
2020-11-20,0.7705436566879537
2020-11-23,0.11833857698154276
2020-11-26,7.512890766477725
2020-11-28,27.374693844794596
2020-11-29,0.7440962843036031
2020-12-03,0.003759990960267427
2020-09-22,0.0
2020-10-09,0.0
2020-09-26,0.0
2020-11-07,0.0
2020-10-25,0.0
2020-10-10,0.0
2020-11-21,0.0
2020-11-15,0.0
2020-10-26,0.0
2020-11-30,0.0
2020-11-25,0.0
2020-10-31,0.0
2020-11-27,0.0
2020-10-24,0.0
2020-11-22,0.0
2020-11-24,0.0
2020-12-02,0.0
2020-12-01,0.0
2020-12-05,0.6535421577755481
2020-12-06,2.85145114402362
2020-12-07,2.9966835374598726
2020-12-08,2.055880598451734
2020-12-09,8.54298435521018
2020-12-10,1.367141854156514
2020-12-11,1.2864518394999152
2020-12-13,0.4891178230765357
2020-12-14,0.13768777762293777
2020-12-16,1.9259652509853153
2020-12-17,0.0685204127064138
2020-12-18,10.830775841860921
2020-12-19,9.82146474111143
2020-12-20,200.4926523312235
2020-12-21,214.18510081980475
2020-12-22,60.67975062590089
2020-12-23,0.09153083935659322
2020-12-24,0.06386217916808785
2020-12-27,0.028890907817843623
2020-12-28,24.17347530908562
2020-12-29,119.50797983522217
2020-12-30,120.51642125808837
2020-12-31,115.01943316582478
2021-01-01,119.98934493714538
2021-01-02,5.598240516277239
2021-01-03,9.362857543279114
2021-01-04,20.444205213529973
2021-01-05,0.03469930048255608
2021-01-06,38.4321671308568
2021-01-07,13.505428876367176
2021-01-08,378.6396172212674
2021-01-09,26.07626793097586
2021-01-10,0.8453033404905107
2021-01-11,164.36949533030244
2021-01-12,59.73762723396029
2021-01-13,2.302700334077515
2021-01-14,4.760522451105551
2021-01-15,23.155219817175528
2021-01-16,18.719733339825538
2021-01-17,29.629324780468284
2021-01-18,6.979879380441453
2021-01-19,100.51245753243387
2021-01-20,38.494115174569004
2021-01-21,2.0379493244303255
2021-01-22,34.945012779909554
2021-01-23,3.1664390324071605
2021-01-24,0.6492716847276861
2021-01-25,3810.499571371399
2021-01-26,2141.447412047743
2021-01-27,229.82017808162553
2021-01-28,228.7333578567819
2021-01-29,5952.243470787091
2021-01-30,240.88847390681633
2021-01-31,47.60919513546368
2021-02-01,250.47405909256415
2021-02-02,927.3301507817948
2021-02-03,4149.974357134089
2021-02-04,3058.0037139438487
2021-02-05,2280.988306459985
2021-02-06,2161.7845805247057
2021-02-07,2414.1677799941426
2021-02-08,3628.140590230793
2021-02-09,53886.09209666354
2021-02-10,35536.77163553416
2021-02-11,1187.4650839786018
2021-02-12,20677.77133641779
2021-02-13,20719.517744578316
2021-02-14,19572.0271817142
2021-02-15,28777.04010045209
2021-02-16,23710.35701260587
2021-02-17,38136.634605938474
2021-02-18,48602.383101072206
2021-02-19,43537.54193839096
2021-02-20,34823.81196115217
2021-02-21,24889.863356835405
2021-02-22,25284.23592839299
2021-02-23,17484.285979355493
2021-02-24,15918.9099986049
2021-02-25,29577.44711106234
2021-02-26,16426.00134862794
2021-02-27,16233.18141778739
2021-02-28,17030.565454633095
2021-03-01,15862.007900503491
2021-03-02,18984.43136794708
2021-03-03,33338.33242602973
2021-03-04,34059.70836157361
2021-03-05,14861.805878545161
2021-03-06,11415.253005130791
2021-03-07,13570.189682908465
2021-03-08,15204.819560534836
2021-03-09,24139.252078511894
2021-03-10,26500.44998247096
2021-03-11,21842.17897761362
2021-03-12,23852.93560344314
2021-03-13,19633.170962601343
2020-12-12,0.0
2020-12-15,0.0
2020-12-25,0.0
2020-12-04,0.0
2020-12-26,0.0
2021-03-14,25773.324800652255
2021-03-15,25213.02280480388
2021-03-16,27915.979978828436
2021-03-17,28287.54742174876
2021-03-18,31792.686396273773
2021-03-19,39938.547706402765
2021-03-20,44306.383360360785
2021-03-21,25915.53976551024
2021-03-22,41031.54416073329
2021-03-23,26856.31687597904
2021-03-24,16086.60245855543
2021-03-25,12610.460416432372
2021-03-26,11480.899344518535
2021-03-27,13730.115801438802
2021-03-28,110886.4203536112
2021-03-29,47763.67654191267
2021-03-30,32702.031398800442
2021-03-31,20482.39416206897
2021-04-01,42980.04168415597
2021-04-02,25526.87665139817
2021-04-03,19512.023025213526
2021-04-04,15331.32530871595
2021-04-05,22345.145563133516
2021-04-06,22757.76891494387
2021-04-07,20650.50965587389
2021-04-08,18323.79141362003
2021-04-09,14404.414064170593
2021-04-10,13188.301247144982
2021-04-11,9763.312488966982
2021-04-12,13328.559752239602
2021-04-13,11837.673154615206
2021-04-14,17286.88377433343
2021-04-15,17006.049964341233
2021-04-16,12814.32900487029
2021-04-17,12378.159156979702
2021-04-18,17824.388570177565
2021-04-19,18708.33197229049
2021-04-20,26549.774430519108
2021-04-21,26466.16441685345
2021-04-22,23158.004069437553
2021-04-23,16889.322318736995
2021-04-24,10795.624433961273
2021-04-25,9978.2871207174
2021-04-26,9999.986377662786
2021-04-27,10713.63449133781
2021-04-28,17777.965859395732
2021-04-29,18338.233020965894
2021-04-30,41194.830560437724
2021-05-01,74103.13584375945
