date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,28.76267062431053
2020-09-23,30.323107991869254
2020-09-24,30.254991971763193
2020-09-25,3.8727131543634887
2020-09-26,4.10052292256797
2020-09-27,45.951727304652636
2020-09-28,32.04972464330967
2020-09-29,2.163484713553469
2020-09-30,6.651995332997017
2020-10-01,7.661974751700567
2020-10-02,17.19297476610042
2020-10-03,20.81753358638871
2020-10-04,20.75908930321437
2020-10-05,19.76726790639433
2020-10-06,18.305595098943446
2020-10-07,5.196805919336902
2020-10-08,2.7988621908215654
2020-10-09,17.72177682467106
2020-10-10,25.631493421409054
2020-10-11,23.287993014555052
2020-10-12,23.864982792219124
2020-10-13,19.387721848843103
2020-10-14,30.081028332540107
2020-10-15,15.324350948678894
2020-10-16,22.87282179967712
2020-10-17,21.116711632335864
2020-10-18,21.47677951580159
2020-10-19,21.96200709363519
2020-10-20,22.042637158486446
2020-10-21,20.482078077083305
2020-10-22,21.117074693819088
2020-10-23,24.121532467180813
2020-10-24,22.416938014745334
2020-10-25,22.309976466604372
2020-10-26,22.757816780507795
2020-10-27,25.96149366201152
2020-10-28,25.738801633090564
2020-10-29,25.21449267477691
2020-10-30,23.244633703668825
2020-10-31,21.970168485417243
2020-11-01,17.17453777147468
2020-11-02,23.35478969514178
2020-11-03,23.218419238559473
2020-11-04,4.522815844057085
2020-11-05,20.151813935275623
2020-11-06,24.19561773463783
2020-11-07,26.563378649620383
2020-11-08,26.67866644049133
2020-11-09,25.52037972115742
2020-11-10,26.11113644211435
2020-11-11,26.484582008097302
2020-11-12,25.871932443559686
2020-11-13,25.28263756809234
2020-11-14,26.684329645917025
2020-11-15,25.35207825034183
2020-11-16,26.286211057089165
2020-11-17,27.778164469019977
2020-11-18,31.488164837186098
2020-11-19,30.79140493723275
2020-11-20,29.894459018124344
2020-11-21,30.47789417099361
2020-11-22,33.09458825161571
2020-11-23,31.90879191791967
2020-11-24,33.380221185176524
2020-11-25,34.76736113495239
2020-11-26,32.562031711650754
2020-11-27,28.493405225073833
2020-11-28,29.63112840919179
2020-11-29,28.981624452602507
2020-11-30,30.55154957161758
2020-12-01,30.11646855508339
2020-12-02,28.736823334524956
2020-12-03,31.076701285706314
2020-12-04,30.59702523980879
2020-12-05,29.429476239283588
2020-12-06,29.176486341482693
2020-12-07,35.258003778767325
2020-12-08,47.518920288843184
2020-12-09,44.64928990398916
2020-12-10,44.075294769307796
2020-12-11,41.85123934412385
2020-12-12,53.2487597527287
2020-12-13,43.7627986694555
2020-12-14,39.35741205686024
2020-12-15,49.823589936379314
2020-12-16,46.09144656320212
2020-12-17,49.18481698480509
2020-12-18,52.826530648360134
2020-12-19,8.94504177659193
2020-12-20,48.13055906457381
2020-12-21,54.61263541322898
2020-12-22,45.010297113782194
2020-12-23,43.70945340826358
2020-12-24,46.143039301827265
2020-12-25,38.55262402356622
2020-12-26,56.3593746072755
2020-12-27,36.277262102376795
2020-12-28,49.89836476417054
2020-12-29,47.97884662577679
2020-12-30,49.05730425049237
2020-12-31,54.309444626367615
2021-01-01,56.12115798376921
2021-01-02,61.98386246255371
2021-01-03,58.82774756302594
2021-01-04,59.70646317033463
2021-01-05,59.85822693050204
2021-01-06,73.10967836764245
2021-01-07,63.41892475341139
2021-01-08,65.36856934602984
2021-01-09,90.10900076455283
2021-01-10,120.30296549865949
2021-01-11,92.33164766235225
2021-01-12,101.48808263283493
2021-01-13,126.3700014059981
2021-01-14,126.60134676812015
2021-01-15,134.27169417206105
2021-01-16,133.1178953371643
2021-01-17,196.66706012108628
2021-01-18,230.5630481400332
2021-01-19,186.13630883832548
2021-01-20,176.85373501306313
2021-01-21,212.01282127342685
2021-01-22,247.762529808312
2021-01-23,283.9385475129116
2021-01-24,276.2830853456097
2021-01-25,272.3022206551199
2021-01-26,248.3250831831165
2021-01-27,267.1594700755549
2021-01-28,241.87779880955117
2021-01-29,280.3225267188146
2021-01-30,274.38142594704675
2021-01-31,278.48074623408627
2021-02-01,310.5912323221271
2021-02-02,266.7837909639495
2021-02-03,306.8794987473893
2021-02-04,370.3484500344032
2021-02-05,341.7712016312688
2021-02-06,332.6741822412492
2021-02-07,305.25685925025175
2021-02-08,443.0426261544207
2021-02-09,594.6902362572064
2021-02-10,490.3277570747585
2021-02-11,20.373948959738186
2021-02-12,68.57576971886037
2021-02-13,141.27572588344643
2021-02-14,99.57949895176888
2021-02-15,178.28498645910358
2021-02-16,141.85680357330043
2021-02-17,212.59506153153404
2021-02-18,192.58300049387526
2021-02-19,457.2075529390961
2021-02-20,161.83576005941225
2021-02-21,137.88131411442444
2021-02-22,118.2116687368196
2021-02-23,86.71663887518761
2021-02-24,105.94828939064847
2021-02-25,419.90844979650234
2021-02-26,392.0432146587955
2021-02-27,364.21510929753646
2021-02-28,351.04401191957663
2021-03-01,334.2688875890901
2021-03-02,371.42020027296167
2021-03-03,391.96202886516215
2021-03-04,389.36082949227193
2021-03-05,341.53793866916186
2021-03-06,325.00910282596993
2021-03-07,347.5735409147381
2021-03-08,365.18318459081337
2021-03-09,407.8313996729302
2021-03-10,505.2632539699449
2021-03-11,373.42912964171103
2021-03-12,400.87560712552596
2021-03-13,401.39173271958555
2021-03-14,434.9064429945656
2021-03-15,320.6983246096267
2021-03-16,113.40706857854332
2021-03-17,110.84535116405502
2021-03-18,111.93040287811911
2021-03-19,129.7921472648196
2021-03-20,152.0282425562453
2021-03-21,98.15465747268189
2021-03-22,119.19022742592635
2021-03-23,91.73496701624512
2021-03-24,72.4690427474686
2021-03-25,62.230635565248676
2021-03-26,64.51999207765061
2021-03-27,55.866996591693706
2021-03-28,86.1166972460653
2021-03-29,76.15838940899683
2021-03-30,73.82675397955043
2021-03-31,76.41550748894802
2021-04-01,88.31498365955724
2021-04-02,81.00112932825562
2021-04-03,87.38112797940757
2021-04-04,82.70036863201182
2021-04-05,138.23470689899312
2021-04-06,24745.259139629143
2021-04-07,83.90602599681708
2021-04-08,92.29282516783789
2021-04-09,77.27236591003467
2021-04-10,73.24061053964905
2021-04-11,66.5151613211368
2021-04-12,102.54704761507281
2021-04-13,82.21059476574034
2021-04-14,103.97236842138528
2021-04-15,95.94815818925055
2021-04-16,89.34790625899832
2021-04-17,74.0127745404455
2021-04-18,98.87859633793396
2021-04-19,71.63176502337485
2021-04-20,70.35048423298865
2021-04-21,67.14701579065887
2021-04-22,68.67015824886523
2021-04-23,66.79016209894742
2021-04-24,50.67797648035561
2021-04-25,44.691332746726765
2021-04-26,59.97569734750102
2021-04-27,67.1947236131439
2021-04-28,118.23438204151591
