date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-02-27,
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-06,
2021-03-07,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-13,
2021-03-14,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-20,
2021-03-21,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-27,
2021-03-28,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,
2021-04-10,
2021-04-11,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-16,
2021-04-17,
2021-04-18,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-24,
2021-04-25,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-01,
2021-05-02,
2021-05-03,
2021-05-04,
2021-05-05,
2021-05-06,
2021-05-07,
2021-05-08,
2021-05-09,
2021-05-10,299943.232282
2021-05-11,214302.226227
2021-05-12,440563.671952
2021-05-13,432708.198652
2021-05-14,242611.921786
2021-05-15,293798.621347
2021-05-16,233344.299651
2021-05-17,343611.51506
2021-05-18,384740.189865
2021-05-19,927345.31313
2021-05-20,562710.904469
2021-05-21,416325.847052
2021-05-22,321817.303382
2021-05-23,642252.402892
2021-05-24,599069.705756
2021-05-25,383004.894415
2021-05-26,372620.085985
2021-05-27,255104.717989
2021-05-28,232739.939603
2021-05-29,190981.574572
2021-05-30,190437.861853
2021-05-31,200096.397781
2021-06-01,137641.700972
2021-06-02,86864.365736
2021-06-03,95686.990843
2021-06-04,146518.117268
2021-06-05,112001.948226
2021-06-06,77800.870652
2021-06-07,115259.626597
2021-06-08,171814.045769
2021-06-09,155207.60782
2021-06-10,136666.891056
2021-06-11,195957.692125
2021-06-12,127159.775265
2021-06-13,99438.007399
2021-06-14,125462.46171
2021-06-15,118754.386583
2021-06-16,145082.687818
2021-06-17,97804.36012
2021-06-18,110364.268135
2021-06-19,88120.732038
2021-06-20,111465.199132
2021-06-21,212000.681996
2021-06-22,277078.70456
2021-06-23,154875.442932
2021-06-24,84075.782903
2021-06-25,96678.715912
2021-06-26,89724.644597
2021-06-27,60807.043377
2021-06-28,93578.570358
2021-06-29,98718.847267
2021-06-30,76804.716065
2021-07-01,83166.837597
2021-07-02,56876.130903
2021-07-03,48508.532558
2021-07-04,61620.860415
2021-07-05,83628.272971
2021-07-06,98809.702821
2021-07-07,103820.137243
2021-07-08,105217.503074
2021-07-09,69407.781199
2021-07-10,61758.18426
2021-07-11,43793.342824
2021-07-12,48039.063413
2021-07-13,54786.797926
2021-07-14,65808.269208
2021-07-15,79437.046046
2021-07-16,93339.57812
2021-07-17,64605.950723
2021-07-18,43366.638114
2021-07-19,53506.782291
2021-07-20,77467.080466
2021-07-21,96443.164399
2021-07-22,64777.057022
2021-07-23,85234.639916
2021-07-24,72606.379259
2021-07-25,69148.868812
2021-07-26,186981.559634
2021-07-27,106519.060408
2021-07-28,76234.734965
2021-07-29,78151.547614
2021-07-30,119556.938647
2021-07-31,91285.510377
2021-08-01,96066.518845
2021-08-02,81534.190971
2021-08-03,91508.507919
2021-08-04,91602.698096
2021-08-05,117932.644326
2021-08-06,83628.122021
2021-08-07,98559.46369
2021-08-08,102256.866414
2021-08-09,114155.154944
2021-08-10,106196.538695
2021-08-11,206858.643735
2021-08-12,102135.679663
2021-08-13,89183.372068
2021-08-14,69099.554291
2021-08-15,68381.117337
2021-08-16,106038.183234
2021-08-17,134386.28779
2021-08-18,286874.929984
2021-08-19,82025.176369
2021-08-20,92391.626005
2021-08-21,103356.035061
2021-08-22,95739.337952
2021-08-23,99950.298092
2021-08-24,135748.014341
2021-08-25,133576.215679
2021-08-26,149380.057395
2021-08-27,75215.698843
2021-08-28,99737.572881
