date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,1905.6999336329275
2020-09-12,7810.75457998258
2020-09-13,12646.549289604329
2020-09-14,55162.37139817228
2020-09-15,16943.857895256417
2020-09-16,6242.540646584495
2020-09-17,6725.692271815324
2020-09-18,7042.486616605076
2020-09-19,4492.764863770313
2020-09-20,3331.4429256480225
2020-09-21,5053.329265369918
2020-09-22,8785.589600878866
2020-09-23,5070.699118467313
2020-09-24,9086.70557814454
2020-09-25,6098.0464597980335
2020-09-26,5141.447562251644
2020-09-27,5876.557808761885
2020-09-28,9859.216997538784
2020-09-29,12300.518130092853
2020-09-30,11544.38722275997
2020-10-01,10432.184867884285
2020-10-02,7436.084633342605
2020-10-03,9491.177448387025
2020-10-04,7903.85930123156
2020-10-05,8999.246959146658
2020-10-06,10743.974569610291
2020-10-07,11700.928216218064
2020-10-08,13789.913039072866
2020-10-09,13595.091036009553
2020-10-10,12125.902076967766
2020-10-11,10470.770351672407
2020-10-12,12508.99813566523
2020-10-13,12441.439191850997
2020-10-14,11065.489425317292
2020-10-15,17538.027792169207
2020-10-16,15254.728555617805
2020-10-17,19917.204270787624
2020-10-18,15533.978398536905
2020-10-19,16188.882499156838
2020-10-20,22094.597426921275
2020-10-21,14150.246976447483
2020-10-22,12550.157568389
2020-10-23,19028.20223403495
2020-10-24,11584.5331374042
2020-10-25,13417.325904152998
2020-10-26,19192.746390117078
2020-10-27,16890.355986536197
2020-10-28,17710.68277518125
2020-10-29,17342.71324247023
2020-10-30,13920.009436934979
2020-10-31,10033.965101696202
2020-11-01,8498.354010070563
2020-11-02,10194.378883810612
2020-11-03,13253.426365903042
2020-11-04,9837.27497209667
2020-11-05,8454.136356369421
2020-11-06,9876.197263860335
2020-11-07,11231.295098425722
2020-11-08,9838.404835030518
2020-11-09,9540.822032143293
2020-11-10,11486.36550365279
2020-11-11,20280.229954740676
2020-11-12,7887.082019931222
2020-11-13,9073.334155046063
2020-11-14,6803.072604916134
2020-11-15,8009.682487804921
2020-11-16,10404.837179539707
2020-11-17,10482.862026807356
2020-11-18,10735.496461542809
2020-11-19,9896.42495458732
2020-11-20,10295.313678142391
2020-11-21,8011.357142891384
2020-11-22,8372.068864350762
2020-11-23,8634.569442195296
2020-11-24,13178.191552854232
2020-11-25,14094.876105343097
2020-11-26,14982.246757930288
2020-11-27,15461.7284623849
2020-11-28,15295.253581799769
2020-11-29,11697.277290825958
2020-11-30,12469.165492115824
2020-12-01,13345.46544797396
2020-12-02,12762.898495986963
2020-12-03,19150.16112977549
2020-12-04,19914.344415729658
2020-12-05,14243.15564007451
2020-12-06,12273.186208663063
2020-12-07,11078.599295126734
2020-12-08,12553.996529891052
2020-12-09,11693.871028115238
2020-12-10,10738.570824884744
2020-12-11,10202.731625961378
2020-12-12,9398.538137969459
2020-12-13,8686.060674693494
2020-12-14,10498.758990474065
2020-12-15,9896.502509524222
2020-12-16,10811.502156198841
2020-12-17,11418.218047443257
2020-12-18,13008.028421133153
2020-12-19,16777.778113518536
2020-12-20,16053.758926484164
2020-12-21,25572.708667380943
2020-12-22,26646.07743872521
2020-12-23,30667.567826219587
2020-12-24,27561.550536017792
2020-12-25,21134.950207060287
2020-12-26,20358.254855245195
2020-12-27,22829.486485078483
2020-12-28,22725.96701799392
2020-12-29,28014.58849265996
2020-12-30,27539.515271312895
2020-12-31,32791.65775226085
2021-01-01,27674.380716418083
2021-01-02,30766.313272463634
2021-01-03,35386.560561668775
2021-01-04,40042.18897662046
2021-01-05,36208.7196995018
2021-01-06,34315.020002476216
2021-01-07,39017.838016360176
2021-01-08,40064.614774914764
2021-01-09,36011.935389932856
2021-01-10,38482.09161394506
2021-01-11,40136.15034467618
2021-01-12,28881.36016576174
2021-01-13,32026.99748030606
2021-01-14,34207.35384994797
2021-01-15,31477.989666989815
2021-01-16,28650.300797432785
2021-01-17,30230.716149098447
2021-01-18,32084.215206558914
2021-01-19,35916.9241371376
2021-01-20,30132.97523273737
2021-01-21,33953.85455718046
2021-01-22,31735.95999801456
2021-01-23,31761.922435492193
2021-01-24,33655.529969779425
2021-01-25,40246.87562588413
2021-01-26,50777.00430844801
2021-01-27,69925.84869637895
2021-01-28,70120.05400242873
2021-01-29,59673.51451975279
2021-01-30,65286.63333222914
2021-01-31,70195.21578476242
2021-02-01,78418.71782835765
2021-02-02,94913.94475605716
2021-02-03,91526.10609245786
2021-02-04,96751.06115882468
2021-02-05,119110.51983163085
2021-02-06,155404.7810840022
2021-02-07,159759.28015933352
2021-02-08,181335.33395060932
2021-02-09,262890.7434308186
2021-02-10,371825.8219119655
2021-02-11,339142.06461552257
2021-02-12,282333.69762123807
2021-02-13,268820.57557269663
2021-02-14,332843.7496212728
2021-02-15,391750.50005968986
2021-02-16,428237.72547547065
2021-02-17,467040.1160674219
2021-02-18,675092.9820625498
2021-02-19,1007972.1760027618
2021-02-20,1564920.8250061257
2021-02-21,959099.0235974367
2021-02-22,1253006.5111559054
2021-02-23,1271689.05181364
2021-02-24,905602.206384241
2021-02-25,956058.3856055175
2021-02-26,934054.439758315
2021-02-27,786410.187273332
2021-02-28,754401.7398491034
2021-03-01,738209.3564790267
2021-03-02,848401.7388636433
2021-03-03,689044.3831385417
2021-03-04,801660.370195139
2021-03-05,698104.7380202755
2021-03-06,638450.9437887114
2021-03-07,743160.0180128353
2021-03-08,716459.6909585948
2021-03-09,833165.3477587269
2021-03-10,1078491.6737600106
2021-03-11,1100451.4507016984
2021-03-12,1071623.8017219522
2021-03-13,905785.204021454
2021-03-14,1042182.9311485725
2021-03-15,1077563.4085718943
2021-03-16,1149902.2288777013
2021-03-17,1040776.6809896526
2021-03-18,1208323.934384025
2021-03-19,1002755.2553509627
2021-03-20,893137.7838422821
2021-03-21,929849.2582437015
2021-03-22,1050488.4500983816
2021-03-23,1071813.821791507
2021-03-24,1236141.6617472859
2021-03-25,1343366.0190038243
2021-03-26,1087846.0288150306
2021-03-27,1123903.5894492127
2021-03-28,1121005.1029115387
2021-03-29,1195990.705885906
2021-03-30,1219467.9773022109
2021-03-31,1386503.1830407844
2021-04-01,1355273.2134728876
2021-04-02,1807791.1618137374
2021-04-03,1800634.6979575779
2021-04-04,1698980.49993321
2021-04-05,2105192.47133655
2021-04-06,2108451.561380292
2021-04-07,2025126.0866780363
2021-04-08,1862815.5122033828
2021-04-09,1916372.0608191402
2021-04-10,1937526.4599016279
2021-04-11,1721953.7586401056
2021-04-12,2293193.1865071366
2021-04-13,2142823.6977492203
2021-04-14,1963540.882898402
2021-04-15,1957923.382775281
2021-04-16,2111092.012955093
2021-04-17,1955076.8931503112
2021-04-18,2247816.79355029
2021-04-19,2551201.4747756333
2021-04-20,4002611.9997632117
2021-04-21,5130836.798696618
