date,fee
2020-05-18,1645084.4916572536
2020-05-19,1775561.2437518712
2020-05-20,1820571.3058810316
2020-05-21,1849378.3981799802
2020-05-22,1440677.296133189
2020-05-23,946804.706337232
2020-05-24,657493.7361910081
2020-05-25,827603.0574706967
2020-05-26,677613.683396333
2020-05-27,732924.6796632584
2020-05-28,853430.7579530353
2020-05-29,878664.6818595976
2020-05-30,657817.0733437984
2020-05-31,585506.7360895417
2020-06-01,797174.9425607643
2020-06-02,941485.3606853995
2020-06-03,776062.7049722078
2020-06-04,605352.3517385277
2020-06-05,543489.6994651078
2020-06-06,301907.6268227415
2020-06-07,260562.50809474115
2020-06-08,406636.4738120517
2020-06-09,342633.98333964247
2020-06-10,383702.80759500863
2020-06-11,358586.1478894854
2020-06-12,276546.63863865007
2020-06-13,198747.52572435138
2020-06-14,154535.56499204904
2020-06-15,331897.5394305745
2020-06-16,486744.02864126104
2020-06-17,441694.5765698484
2020-06-18,426961.20394067984
2020-06-19,455940.84749635134
2020-06-20,275601.4944180034
2020-06-21,229941.522836396
2020-06-22,359813.90710992215
2020-06-23,435877.45783519704
2020-06-24,389254.6760242396
2020-06-25,376382.20911484445
2020-06-26,309843.39898071997
2020-06-27,205570.44794082484
2020-06-28,178764.56486770546
2020-06-29,308429.0740801252
2020-06-30,407570.9978240217
2020-07-01,573024.4296452526
2020-07-02,508041.742215826
2020-07-03,483917.63864390535
2020-07-04,291311.9755296127
2020-07-05,227461.6678589277
2020-07-06,343842.57674246695
2020-07-07,383192.85540633
2020-07-08,458027.5541822458
2020-07-09,497297.5530306061
2020-07-10,449292.3605503015
2020-07-11,308425.4623683152
2020-07-12,221079.76401371634
2020-07-13,387194.38504962996
2020-07-14,574220.6435098614
2020-07-15,610381.5495539389
2020-07-16,716184.4033015096
2020-07-17,709999.5107149627
2020-07-18,683656.0032552503
2020-07-19,429550.7648306736
2020-07-20,728928.6377370468
2020-07-21,983036.3423610942
2020-07-22,1354395.1138890372
2020-07-23,1294786.0701583773
2020-07-24,1180149.0307215666
2020-07-25,858917.214385171
2020-07-26,756952.0949084142
2020-07-27,1374164.0312097326
2020-07-28,2068233.3125357023
2020-07-29,1947460.6377326818
2020-07-30,2001441.1049378584
2020-07-31,1941965.3939893374
2020-08-01,1458101.8583463482
2020-08-02,1186625.8932754314
2020-08-03,1462225.131022965
2020-08-04,1271786.6601980897
2020-08-05,1629007.4629052852
2020-08-06,2257280.0735187405
2020-08-07,1581085.4226426075
2020-08-08,914417.4451211933
2020-08-09,753619.4058827481
2020-08-10,1590960.91715522
2020-08-11,1725541.3336078895
2020-08-12,1434068.595431624
2020-08-13,1308130.3843481194
2020-08-14,1235970.7420608914
2020-08-15,781249.7192365109
2020-08-16,738827.019615116
2020-08-17,1039042.9711176682
2020-08-18,1884820.1712966005
2020-08-19,1752084.096865355
2020-08-20,1530692.5298239037
2020-08-21,1593533.297467438
2020-08-22,1037715.3060040694
2020-08-23,687192.6892732894
2020-08-24,935577.0129148529
2020-08-25,1047930.5471573024
2020-08-26,1243104.697429696
2020-08-27,1376032.1197868148
2020-08-28,1185702.88443205
2020-08-29,739847.3577083944
2020-08-30,747182.0416838928
2020-08-31,1106756.23405091
2020-09-01,1482768.2098839122
2020-09-02,1479767.4279188013
2020-09-03,1395705.5877617563
2020-09-04,1627552.2519450325
2020-09-05,1194764.202043694
2020-09-06,702104.7246068447
2020-09-07,1013314.9128077822
2020-09-08,828756.688953968
2020-09-09,951067.7367485326
2020-09-10,1143117.1577410991
2020-09-11,950636.0785381682
2020-09-12,603185.8387659127
2020-09-13,511382.639878603
2020-09-14,812045.3640994175
2020-09-15,840012.9290704164
2020-09-16,836640.1418227283
2020-09-17,775631.4865232134
2020-09-18,767896.3806674958
2020-09-19,508932.3257722371
2020-09-20,369072.5297394151
2020-09-21,651495.211931687
2020-09-22,784686.7000322203
2020-09-23,987625.5211380282
2020-09-24,876760.764518957
2020-09-25,808166.9715529039
2020-09-26,454248.9414048372
2020-09-27,396754.63611584733
2020-09-28,630702.4703141593
2020-09-29,901520.4416318231
2020-09-30,1012265.7091958182
2020-10-01,1112910.519327098
2020-10-02,1282340.0414637416
2020-10-03,729810.8272192655
2020-10-04,608653.2742959016
2020-10-05,1077775.7541831392
2020-10-06,1212862.3068129292
2020-10-07,1155618.1201848164
2020-10-08,1127253.3074152032
2020-10-09,1219938.8803909044
2020-10-10,849165.112814522
2020-10-11,588491.9465920371
2020-10-12,867286.4801417345
2020-10-13,838286.7546622666
2020-10-14,855520.4559966382
2020-10-15,883046.68105192
2020-10-16,715890.4967848052
2020-10-17,403470.9206418815
2020-10-18,428080.4967828472
2020-10-19,601346.0208316607
2020-10-20,933661.995726549
2020-10-21,1533604.3061356698
2020-10-22,2168112.452923044
2020-10-23,1816746.4778265075
2020-10-24,1223835.7785601143
2020-10-25,834663.0835843986
2020-10-26,1540653.260097053
2020-10-27,2675728.53589114
2020-10-28,3009047.123802262
2020-10-29,3519809.452443941
2020-10-30,3603433.0967615643
2020-10-31,3532178.0365265803
2020-11-01,2462436.19566281
2020-11-02,2929434.870324902
2020-11-03,3965203.328945708
2020-11-04,2908191.980739885
2020-11-05,4151497.227674275
2020-11-06,3575352.6031653485
2020-11-07,2032811.1075597806
2020-11-08,1449519.603074449
2020-11-09,2162037.0475067743
2020-11-10,2394981.4724519853
2020-11-11,1667273.0613728552
2020-11-12,1715441.7467499578
2020-11-13,1639360.1327545538
2020-11-14,905520.3008360415
2020-11-15,676884.4075923295
2020-11-16,1415284.3603735783
2020-11-17,1616921.6156128678
2020-11-18,1756402.6592784056
2020-11-19,1654125.0367413717
2020-11-20,1398087.2245816612
2020-11-21,874903.972044369
2020-11-22,591911.7515601515
2020-11-23,1081508.4376790493
2020-11-24,1660774.2653337403
2020-11-25,1834654.3454447214
2020-11-26,1769335.541219088
2020-11-27,1444076.2081993273
2020-11-28,987154.1277773058
2020-11-29,721393.3082046196
2020-11-30,1492834.2292142888
2020-12-01,2769992.1043695123
2020-12-02,2470254.8478549095
2020-12-03,2829640.0551874693
2020-12-04,2000763.1966648274
2020-12-05,1367755.8346449544
2020-12-06,895907.7760106818
2020-12-07,1332465.9616767436
2020-12-08,1330998.80135926
2020-12-09,1359229.9097883531
2020-12-10,1326917.881507883
2020-12-11,1285753.5689344914
2020-12-12,919208.0303586152
2020-12-13,739417.9030832394
2020-12-14,1154640.7188306304
2020-12-15,1364832.3043135572
2020-12-16,1775654.1665944257
2020-12-17,3748054.1284544314
2020-12-18,4510788.741133611
2020-12-19,2742749.1347568934
2020-12-20,1733348.474048352
2020-12-21,3257475.4398191026
2020-12-22,3169504.8765304065
2020-12-23,3326913.8347209
2020-12-24,2530235.97826581
