date,fee
2020-05-18,1275.0725529877766
2020-05-19,1316.9625086415635
2020-05-20,1357.1736504030207
2020-05-21,1372.6873887581542
2020-05-22,1367.2878080737805
2020-05-23,1412.3855723661316
2020-05-24,1395.4208882689
2020-05-25,1411.9013166175387
2020-05-26,1363.6651969468444
2020-05-27,1281.197982409579
2020-05-28,1328.1615718496357
2020-05-29,1474.997508122012
2020-05-30,1419.6107531958908
2020-05-31,1418.4910125054068
2020-06-01,1530.113664876641
2020-06-02,1615.526299128305
2020-06-03,1720.2051821920845
2020-06-04,1754.6936818300949
2020-06-05,1683.8868838053118
2020-06-06,1764.0510382487264
2020-06-07,1781.8877272929144
2020-06-08,1541.5245731685848
2020-06-09,1486.3911972390604
2020-06-10,1478.3787387445786
2020-06-11,1472.3973858648974
2020-06-12,1489.1906356901025
2020-06-13,1627.8113009264925
2020-06-14,1668.5067082633498
2020-06-15,1577.9713347946993
2020-06-16,1447.4128401281735
2020-06-17,2020.0413925612663
2020-06-18,3136.3723591079843
2020-06-19,8838.282584768145
2020-06-20,19575.202700227896
2020-06-21,31594.33890039004
2020-06-22,53336.0698136537
2020-06-23,81496.79789662392
2020-06-24,99758.46119337979
2020-06-25,174688.96920368975
2020-06-26,222760.2097857089
2020-06-27,241885.68159280968
2020-06-28,222372.52754898934
2020-06-29,229761.26908404322
2020-06-30,248710.81248462514
2020-07-01,255995.7096020127
2020-07-02,265486.25738737197
2020-07-03,272911.3679276991
2020-07-04,284710.67021417647
2020-07-05,283258.36397945473
2020-07-06,158245.51021036474
2020-07-07,104509.43089562058
2020-07-08,91842.59533913615
2020-07-09,91968.70393670449
2020-07-10,99704.07364622643
2020-07-11,96801.63712356014
2020-07-12,91028.98881687365
2020-07-13,98648.59332974184
2020-07-14,92012.99515725758
2020-07-15,95122.45480447495
2020-07-16,108605.60259687548
2020-07-17,97752.8264505403
2020-07-18,91544.98981297591
2020-07-19,91382.48173464573
2020-07-20,85036.94664250038
2020-07-21,74738.81551818558
2020-07-22,91601.8831295407
2020-07-23,123318.6361847641
2020-07-24,125413.47697750256
2020-07-25,131912.8478628917
2020-07-26,147397.53352171337
2020-07-27,120508.01664596802
2020-07-28,79314.32509169185
2020-07-29,59857.19087008281
2020-07-30,68297.83737802587
2020-07-31,270187.0186868036
2020-08-01,299534.121084091
2020-08-02,284787.9877286846
2020-08-03,142357.2081572136
2020-08-04,198792.23059928903
2020-08-05,181326.1828964647
2020-08-06,134532.41946748903
2020-08-07,130343.9691797587
2020-08-08,137139.98089673283
2020-08-09,168374.73720586026
2020-08-10,148631.8690291609
2020-08-11,154794.85206740242
2020-08-12,158474.26459641368
2020-08-13,138412.0897971684
2020-08-14,136766.33513217105
2020-08-15,171984.43643688373
2020-08-16,207447.74609458045
2020-08-17,163562.47003491875
2020-08-18,122350.92851686965
2020-08-19,125195.52396794819
2020-08-20,121824.8753077992
2020-08-21,122871.52921393176
2020-08-22,110131.40115973675
2020-08-23,105929.61639512629
2020-08-24,103979.63457834482
2020-08-25,116685.50408863448
2020-08-26,17548.454171889978
2020-08-27,134705.519601877
2020-08-28,117331.54118995674
2020-08-29,118172.6719111477
2020-08-30,29122.51632180096
2020-08-31,102117.59841159683
2020-09-01,92060.20541666397
2020-09-02,10632.338606430705
2020-09-03,115116.64439173389
2020-09-04,34238.9508420144
2020-09-05,28109.56134675067
2020-09-06,95758.22064486169
2020-09-07,20902.94205481111
2020-09-08,18596.87813333393
2020-09-09,90748.91521569407
2020-09-10,14721.092769088238
2020-09-11,82416.42666360199
2020-09-12,13512.270545739651
2020-09-13,15332.609941251943
2020-09-14,20117.012488538257
2020-09-15,25416.046518742456
2020-09-16,18364.43484150821
2020-09-17,30087.657835381033
2020-09-18,179804.56078962918
2020-09-19,32995.20550449792
2020-09-20,5419.71620528804
2020-09-21,3124.8282340130245
2020-09-22,83243.46940415271
2020-09-23,85212.51884477057
2020-09-24,90495.21916179391
2020-09-25,99681.6797679193
2020-09-26,104478.36228776223
2020-09-27,103027.64318028191
2020-09-28,104005.80078656808
2020-09-29,104786.44369188175
2020-09-30,110630.41683056987
2020-10-01,106694.64942322072
2020-10-02,107751.82171835113
2020-10-03,3272.838868360292
2020-10-04,109330.67167132795
2020-10-05,102870.82773380405
2020-10-06,6121.124757572442
2020-10-07,4311.450162080151
2020-10-08,4744.8827854338515
2020-10-09,114201.00425475706
2020-10-10,5013.075132414676
2020-10-11,112912.41122577312
2020-10-12,114020.11449064246
2020-10-13,116618.28011664242
2020-10-14,9393.697123341248
2020-10-15,8786.060179471619
2020-10-16,14987.674525205184
2020-10-17,11268.397141748233
2020-10-18,34501.84204639631
2020-10-19,109000.68510820951
2020-10-20,29448.53144206148
2020-10-21,17354.262851863223
2020-10-22,25765.038019368694
2020-10-23,129804.87346434886
2020-10-24,26877.690783726466
2020-10-25,115416.58783822031
2020-10-26,28529.26454235392
2020-10-27,27838.96516629495
2020-10-28,27520.94575890428
2020-10-29,24292.294628877888
2020-10-30,6156.977228711846
2020-10-31,18690.67477269892
2020-11-01,148926.18676674782
2020-11-02,34171.493637231295
2020-11-03,28817.557022081106
2020-11-04,152476.45444466293
2020-11-05,150295.76033018078
2020-11-06,154604.19724006415
2020-11-07,164506.3813378613
2020-11-08,166296.24058980573
2020-11-09,48128.054903063916
2020-11-10,174368.9789187891
2020-11-11,37440.2069041223
2020-11-12,28310.3572038391
2020-11-13,172343.30055047828
2020-11-14,187056.94590779734
2020-11-15,182744.6077874076
2020-11-16,173892.36128075045
2020-11-17,179544.01748455488
2020-11-18,36184.94737542892
2020-11-19,44801.45334737238
2020-11-20,69267.93986369431
2020-11-21,66813.59064583959
2020-11-22,220902.43273379572
2020-11-23,85212.12283652103
2020-11-24,81362.00463300264
2020-11-25,243034.90935742768
2020-11-26,261366.77181735923
2020-11-27,77198.54721187167
2020-11-28,46882.788522437026
2020-11-29,169926.26253367323
2020-11-30,183840.13783616415
2020-12-01,19910.94526387351
