date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-02-27,
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-06,
2021-03-07,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-13,
2021-03-14,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-20,
2021-03-21,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-27,
2021-03-28,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,
2021-04-10,
2021-04-11,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-16,
2021-04-17,
2021-04-18,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-24,
2021-04-25,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-01,
2021-05-02,
2021-05-03,11268.687376835449
2021-05-04,4308.896841339981
2021-05-05,7260.063195496528
2021-05-06,9182.056096087252
2021-05-07,8660.875920193073
2021-05-08,3759.9310929131307
2021-05-09,6138.71926648288
2021-05-10,5458.260641036559
2021-05-11,8666.918471699264
2021-05-12,19315.018397281594
2021-05-13,17527.046489033895
2021-05-14,18933.30683730611
2021-05-15,23067.527492555506
2021-05-16,16613.997144003086
2021-05-17,23715.043364983798
2021-05-18,29200.760286251774
2021-05-19,65585.88491703945
2021-05-20,77949.79322487734
2021-05-21,52433.64565403703
2021-05-22,37801.61152487434
2021-05-23,50879.35553006039
2021-05-24,54984.664203869586
2021-05-25,33379.013643108025
2021-05-26,26704.270120370315
2021-05-27,20413.431633140208
2021-05-28,21056.867026321244
2021-05-29,14249.684638520977
2021-05-30,20314.783761988958
2021-05-31,20999.43407472597
2021-06-01,15996.352430047018
2021-06-02,15497.909177951633
2021-06-03,13988.662843341244
2021-06-04,20224.94166619946
2021-06-05,27597.349993809294
2021-06-06,10645.907397260717
2021-06-07,17343.24610576046
2021-06-08,20876.15236954668
2021-06-09,21091.64592456286
2021-06-10,23102.1783262865
2021-06-11,13286.019883161696
2021-06-12,8115.439234311634
2021-06-13,7254.307761017258
2021-06-14,15097.032469450098
2021-06-15,17671.3836459171
2021-06-16,23341.46209661282
2021-06-17,42416.18848371849
2021-06-18,18179.584823566693
2021-06-19,8081.931854232528
2021-06-20,22859.3311566017
2021-06-21,18007.423333743878
2021-06-22,14558.00953126623
2021-06-23,18101.460551981716
2021-06-24,3802.2892844992934
2021-06-25,6662.649547497403
2021-06-26,4028.601394541799
2021-06-27,6294.929229451831
2021-06-28,4041.314510705149
2021-06-29,5271.885115512717
2021-06-30,7274.65155320235
2021-07-01,4164.687848081791
2021-07-02,2205.5747203651504
2021-07-03,3087.883304108187
2021-07-04,2518.939499214481
2021-07-05,2113.5918943425104
2021-07-06,5853.661263184628
2021-07-07,3250.594626093544
2021-07-08,1641.9916915775318
2021-07-09,6336.143434804683
2021-07-10,7574.971235516721
2021-07-11,2117.193289166189
2021-07-12,8394.845578695464
2021-07-13,4636.179715085715
2021-07-14,1729.8279898700084
2021-07-15,4430.805181698414
2021-07-16,4424.76667185978
2021-07-17,2954.8526171987564
2021-07-18,1195.7867635092498
2021-07-19,14695.25667919985
2021-07-20,5999.572286515121
2021-07-21,42692.3170017195
2021-07-22,2415.7038266618765
2021-07-23,2899.803712494786
2021-07-24,7136.674341247901
2021-07-25,3780.536572362382
2021-07-26,5830.769874607866
2021-07-27,205.70604045973553
2021-07-28,1553.3831955956407
2021-07-29,565.4991070178279
2021-07-30,2496.827484985075
2021-07-31,1162.5917667933468
2021-08-01,1768.912728005917
2021-08-02,145.0674568823195
2021-08-03,3247.6628625323883
2021-08-04,2753.015216621307
2021-08-05,1363.7808339738315
2021-08-06,1220.828777064145
2021-08-07,223.8466349549079
2021-08-08,2467.649225568356
2021-08-09,2397.8154168001574
