date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,11396.279614892259
2020-08-08,392.13408947109787
2020-08-09,2195.577895580704
2020-08-10,2710.536185813395
2020-08-11,6724.157540010331
2020-08-12,2331.2214346186124
2020-08-13,4990.26595806412
2020-08-14,3318.476701667746
2020-08-15,10949.341019526633
2020-08-16,11715.910253502803
2020-08-17,4071.804846477692
2020-08-18,3840.591324358281
2020-08-19,7777.184633470858
2020-08-20,15994.470073573235
2020-08-21,3358.99691968847
2020-08-22,6657.509101475031
2020-08-23,6686.890163234767
2020-08-24,13631.741112568123
2020-08-25,16717.932757779046
2020-08-26,27124.45314191413
2020-08-27,19428.33795467701
2020-08-28,18359.812321708025
2020-08-29,47507.718179482355
2020-08-30,16043.923294039601
2020-08-31,9486.727077698386
2020-09-01,4183.122846355276
2020-09-02,9373.529257853177
2020-09-03,2853.2917881067824
2020-09-04,4351.606260362453
2020-09-05,1810.0211247811026
2020-09-06,4659.5464398005215
2020-09-07,5703.8241261272215
2020-09-08,8628.588834411827
2020-09-09,2647.3443924661988
2020-09-10,4929.695374322245
2020-09-11,3882.550779072895
2020-09-12,4825.365937945657
2020-09-13,4494.160499679629
2020-09-14,3254.1736475319335
2020-09-15,4101.672678053176
2020-09-16,3035.9055076500044
2020-09-17,2481.117683587944
2020-09-18,10208.854081590722
2020-09-19,7994.014415979016
2020-09-20,10013.734287633377
2020-09-21,7760.95632132797
2020-09-22,4923.454779225111
2020-09-23,6747.420616828129
2020-09-24,3046.144142887476
2020-09-25,5988.417231347365
2020-09-26,5846.365607332294
2020-09-27,3350.8201120822123
2020-09-28,6351.764759372994
2020-09-29,4265.970436496667
2020-09-30,2386.1517512489418
2020-10-01,3861.0865953428056
2020-10-02,12507.197330015275
2020-10-03,7576.142831011326
2020-10-04,7057.0634847304
2020-10-05,6320.388726471656
2020-10-06,5955.089763877276
2020-10-07,9072.908451718858
2020-10-08,2509.51573520715
2020-10-09,6794.303793473815
2020-10-10,7266.789445282285
2020-10-11,8539.07719555769
2020-10-12,5262.191212935007
2020-10-13,8960.27306292294
2020-10-14,12084.225351566996
2020-10-15,7706.270484505847
2020-10-16,2874.8573815658065
2020-10-17,2703.8788988026877
2020-10-18,9322.028483477847
2020-10-19,3400.1137946250137
2020-10-20,1977.102247210447
2020-10-21,3114.946818639022
2020-10-22,15403.531949324351
2020-10-23,5727.222535077598
2020-10-24,5152.041878126571
2020-10-25,3589.079831045802
2020-10-26,6834.0775048865535
2020-10-27,10131.242663287547
2020-10-28,5329.152908071497
2020-10-29,10638.777934047586
2020-10-30,2433.975938393832
2020-10-31,1433.8507083487136
2020-11-01,3283.063617867978
2020-11-02,3930.6833792130524
2020-11-03,4393.046088054055
2020-11-04,3778.278013822904
2020-11-05,6009.702462607063
2020-11-06,2203.9644344052067
2020-11-07,1601.664428828517
2020-11-08,3187.745598354144
2020-11-09,9765.474191011037
2020-11-10,9787.043425673135
2020-11-11,1824.4512897314928
2020-11-12,1087.7709054073337
2020-11-13,6255.29711919003
2020-11-14,2234.408106647676
2020-11-15,2432.3919431478935
2020-11-16,4189.96971374319
2020-11-17,4026.4259984445507
2020-11-18,2894.492476033045
2020-11-19,1991.2497445863698
2020-11-20,2564.4217497400446
2020-11-21,3306.6038178162275
2020-11-22,4653.434531470119
2020-11-23,4426.703378569115
2020-11-24,1831.9559895408963
2020-11-25,3415.250617842242
2020-11-26,1638.3388807243505
2020-11-27,10007.151873527011
2020-11-28,5968.991950095808
2020-11-29,6569.280127355151
2020-11-30,2881.7699959768765
2020-12-01,3787.7293276687187
2020-12-02,1661.2067275988552
2020-12-03,3762.619092382811
2020-12-04,3528.4067404574316
2020-12-05,3044.0019121761984
2020-12-06,7135.235971494632
2020-12-07,7731.034419252634
2020-12-08,4590.083463845648
2020-12-09,2888.250311366068
2020-12-10,5377.375257626728
2020-12-11,2593.2713783337945
2020-12-12,4151.337369765458
2020-12-13,3835.4689792950567
2020-12-14,2062.8158181260014
2020-12-15,3372.6780234674034
2020-12-16,4611.716553635978
2020-12-17,3422.50772238548
2020-12-18,4006.267075414751
2020-12-19,2755.348818226821
2020-12-20,5395.063006794619
2020-12-21,3664.6187765180457
2020-12-22,4184.360390317231
2020-12-23,3413.3033100301604
2020-12-24,4184.772264252128
2020-12-25,9911.193605032877
2020-12-26,4386.051544811103
2020-12-27,17048.780692756463
2020-12-28,5864.657489737567
2020-12-29,10478.953010193847
2020-12-30,11231.64314163593
2020-12-31,4523.238393098589
2021-01-01,4310.321675905477
2021-01-02,5303.884277692401
2021-01-03,11833.409252468333
2021-01-04,5691.682344213009
2021-01-05,15374.991669386387
2021-01-06,36917.44399258269
2021-01-07,7203.828721891925
2021-01-08,6884.559664619078
2021-01-09,4173.17029755325
2021-01-10,7154.111460349285
2021-01-11,3099.424583072872
2021-01-12,8849.759538224893
2021-01-13,10653.873672203557
2021-01-14,17297.997940438516
2021-01-15,18771.72671532526
2021-01-16,46619.132996302935
2021-01-17,28489.291393725696
2021-01-18,12836.37411997671
2021-01-19,18503.505074954555
2021-01-20,18928.83598690923
2021-01-21,13007.611599995415
2021-01-22,13270.096621306453
2021-01-23,16812.310987410125
2021-01-24,23554.335203765142
2021-01-25,10877.087285322603
2021-01-26,30796.971207362403
2021-01-27,13430.710936717525
2021-01-28,23597.094462415247
2021-01-29,19305.747205643474
2021-01-30,21454.132914021993
2021-01-31,16853.219319046442
2021-02-01,29896.6326362653
2021-02-02,33886.59442497562
2021-02-03,9116.165764491006
2021-02-04,31973.534012454158
2021-02-05,16390.087789542118
2021-02-06,27008.000510250786
2021-02-07,26958.34417407819
2021-02-08,15537.198383907175
2021-02-09,18703.865043839076
2021-02-10,20073.065059882905
2021-02-11,16990.97557384355
2021-02-12,40350.497473292286
2021-02-13,17644.65179297352
2021-02-14,25781.99749190041
2021-02-15,29023.648730879537
2021-02-16,22019.250198446647
2021-02-17,43280.18368648033
2021-02-18,25697.985028851315
2021-02-19,9837.275344457905
2021-02-20,22830.12710593426
2021-02-21,31590.586353390016
2021-02-22,20226.630652648786
2021-02-23,9251.609799883556
2021-02-24,15549.059272755021
2021-02-25,27072.874482154522
2021-02-26,16971.2868738449
2021-02-27,28736.430329762552
2021-02-28,14467.178139507216
2021-03-01,19319.463441323132
2021-03-02,19585.573314826688
2021-03-03,14885.49426968015
2021-03-04,35381.66439658766
2021-03-05,28070.711176792352
2021-03-06,41215.838976398714
2021-03-07,33693.453262543175
2021-03-08,32089.03248401417
2021-03-09,36134.88033445498
2021-03-10,24084.61120628359
2021-03-11,67573.07804358113
2021-03-12,20598.406311612158
2021-03-13,23754.81571086532
2021-03-14,32211.140021951276
2021-03-15,26056.76915146055
2021-03-16,28476.786777268437
2021-03-17,15935.481191044415
2021-03-18,29377.055217457368
2021-03-19,19981.034254361286
2021-03-20,15339.677041136662
2021-03-21,18448.07221509812
2021-03-22,22598.2943630232
2021-03-23,20108.873068378827
2021-03-24,16988.56502246173
2021-03-25,14911.833123879744
2021-03-26,22482.756971700874
2021-03-27,25113.75667851598
2021-03-28,18093.469138272067
2021-03-29,8608.621977728586
2021-03-30,23380.377740895474
2021-03-31,17612.745151510593
2021-04-01,29535.78468206207
2021-04-02,27901.039972600327
2021-04-03,37996.15217900777
2021-04-04,55107.62199360766
