date,fee
2020-05-18,429789.3114588312
2020-05-19,381745.18552677723
2020-05-20,433374.8711862959
2020-05-21,558817.5357156171
2020-05-22,400592.7890405457
2020-05-23,254544.28770343136
2020-05-24,326858.6305490577
2020-05-25,426052.9715338076
2020-05-26,430099.6238399411
2020-05-27,482478.6865222122
2020-05-28,495020.60596731596
2020-05-29,433309.56714773853
2020-05-30,461951.72986166656
2020-05-31,363826.85356875026
2020-06-01,447621.6137366712
2020-06-02,494386.5349228705
2020-06-03,395520.1134533652
2020-06-04,423515.6238414258
2020-06-05,437418.4845181695
2020-06-06,499015.70786828955
2020-06-07,547956.552960267
2020-06-08,557978.767960437
2020-06-09,525929.6567759959
2020-06-10,3227244.8674159404
2020-06-11,3550108.588101946
2020-06-12,485739.5372892766
2020-06-13,378851.34470935795
2020-06-14,311093.331704881
2020-06-15,585427.3697365597
2020-06-16,542411.1364140109
2020-06-17,566264.7271710483
2020-06-18,515215.70028662536
2020-06-19,566576.5171700201
2020-06-20,446615.15738157055
2020-06-21,453167.6312793906
2020-06-22,692258.837476149
2020-06-23,776285.4475948835
2020-06-24,777343.488793711
2020-06-25,684671.3277610748
2020-06-26,617414.80329973
2020-06-27,555729.9223377594
2020-06-28,543789.0034026707
2020-06-29,614799.0416189454
2020-06-30,814082.0910413383
2020-07-01,744877.7733921481
2020-07-02,658612.9876377125
2020-07-03,680455.3382047279
2020-07-04,514688.0972372276
2020-07-05,479034.3020116547
2020-07-06,656790.2935437174
2020-07-07,661198.8650677332
2020-07-08,888340.2808515023
2020-07-09,788199.9261453582
2020-07-10,616693.2436418448
2020-07-11,537985.2281236362
2020-07-12,509177.33347985486
2020-07-13,861865.5732181994
2020-07-14,719831.3969435572
2020-07-15,855450.260051797
2020-07-16,902845.6082757706
2020-07-17,924962.2072649446
2020-07-18,859445.6398498495
2020-07-19,943833.257135812
2020-07-20,1200700.936038838
2020-07-21,1306621.4648096266
2020-07-22,1371389.960573298
2020-07-23,1647923.3999834496
2020-07-24,1572774.995169129
2020-07-25,1878712.6041917405
2020-07-26,1706208.6637275687
2020-07-27,2394822.892932859
2020-07-28,1714141.5030963654
2020-07-29,1786578.9884339042
2020-07-30,1767389.5284634295
2020-07-31,2050521.3747676644
2020-08-01,1853732.80083026
2020-08-02,2184377.4901398905
2020-08-03,2019910.689291414
2020-08-04,1705057.2734705869
2020-08-05,1631442.601653133
2020-08-06,1762245.1090128366
2020-08-07,2162951.091890626
2020-08-08,2021048.7735248087
2020-08-09,2367298.386040857
2020-08-10,3690002.7818480763
2020-08-11,3783090.320694473
2020-08-12,6874447.982809084
2020-08-13,8608038.415810341
