date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,15.26123835327854
2020-07-26,18.249861249866825
2020-07-27,24.31637147018797
2020-07-28,18.647387999837473
2020-07-29,18.012677083171603
2020-07-30,16.60762981879548
2020-07-31,17.85054154709017
2020-08-01,18.31197478140434
2020-08-02,15.700003448952836
2020-08-03,26.466012915674682
2020-08-04,26.203599221647046
2020-08-05,15.739448767052917
2020-08-06,25.30071107935988
2020-08-07,18.837570837653523
2020-08-08,16.633627935098165
2020-08-09,15.863804021680323
2020-08-10,29.852546862981338
2020-08-11,21.190202022962968
2020-08-12,16.33906877719674
2020-08-13,24.8958844191685
2020-08-14,22.900438141619542
2020-08-15,18.13447087114303
2020-08-16,19.77209174630135
2020-08-17,26.7904122527198
2020-08-18,30.392870817591064
2020-08-19,22.540179534327738
2020-08-20,26.908491764939416
2020-08-21,27.66435638727833
2020-08-22,30.561922063116356
2020-08-23,21.378335686665842
2020-08-24,28.328907346156253
2020-08-25,41.653355064057415
2020-08-26,35.5251156560469
2020-08-27,34.53885470726224
2020-08-28,39.04868399756459
2020-08-29,22.033537649339436
2020-08-30,21.12988140544952
2020-08-31,31.757192056799713
2020-09-01,32.3984344272754
2020-09-02,69.88211247468708
2020-09-03,32.44466727679877
2020-09-04,24.418826590289374
2020-09-05,23.866336024926586
2020-09-06,26.164025626308586
2020-09-07,33.99187145223205
2020-09-08,27.339572764992113
2020-09-09,27.67908428498572
2020-09-10,26.658116563304052
2020-09-11,34.722506166465614
2020-09-12,37.48162920506958
2020-09-13,31.07650390589908
2020-09-14,33.375346252314124
2020-09-15,23.680123489422304
2020-09-16,33.14597463504539
2020-09-17,29.54710160084548
2020-09-18,37.904385589912394
2020-09-19,30.160681189447946
2020-09-20,26.005347774441532
2020-09-21,24.602093862701047
2020-09-22,20.149256121330964
2020-09-23,20.627210605703848
2020-09-24,18.19786586752088
2020-09-25,18.157011924948634
2020-09-26,17.48247155004148
2020-09-27,13.26105420916034
2020-09-28,18.368069840367234
2020-09-29,16.318322319868617
2020-09-30,15.692063794613372
2020-10-01,13.102888796565026
2020-10-02,30.321283280704975
2020-10-03,12.703056599390507
2020-10-04,11.256643233519114
2020-10-05,12.702672623198438
2020-10-06,14.129875618501515
2020-10-07,18.53814567647998
2020-10-08,15.288389468652428
2020-10-09,17.726186801645607
2020-10-10,12.13903962105053
2020-10-11,10.763832533797173
2020-10-12,15.853302632461773
2020-10-13,20.54575831295687
2020-10-14,17.500913016427806
2020-10-15,12.12533612623743
2020-10-16,14.62486289444966
2020-10-17,13.598772296841311
2020-10-18,11.579761394171713
2020-10-19,16.365195490552335
2020-10-20,14.16560662193722
2020-10-21,17.674574708428388
2020-10-22,12.948949250900771
2020-10-23,22.77365038867207
2020-10-24,12.23432307090144
2020-10-25,12.783355748665638
2020-10-26,23.91039227787611
2020-10-27,23.384027723460317
2020-10-28,29.609087812267585
2020-10-29,17.334422808805694
2020-10-30,22.12587603737649
2020-10-31,13.85363004296161
2020-11-01,23.98275172214246
2020-11-02,21.326083880696608
2020-11-03,18.642777805133516
2020-11-04,16.18871580082495
2020-11-05,30.168109970761602
2020-11-06,28.121051498925738
2020-11-07,22.25714676748061
2020-11-08,18.16200609582161
2020-11-09,64.70671034422175
2020-11-10,35.68686786582366
2020-11-11,43.586688778618154
2020-11-12,35.92891882687474
2020-11-13,22.432217568500796
2020-11-14,21.307769868929146
2020-11-15,18.136264151201825
2020-11-16,24.78741007471317
2020-11-17,23.47085861368676
2020-11-18,24.418314487698883
2020-11-19,24.683801967120576
2020-11-20,29.416599758102738
2020-11-21,21.513320984112408
2020-11-22,20.78294226599417
2020-11-23,29.566056178467523
2020-11-24,36.454770317942476
2020-11-25,21.29931725660675
2020-11-26,27.33470639852073
2020-11-27,31.021947468959972
2020-11-28,19.201031397794246
2020-11-29,25.705409960100113
2020-11-30,28.775100688626704
2020-12-01,37.2859395802042
2020-12-02,27.943547463374284
2020-12-03,31.6717700484262
2020-12-04,26.54375122887096
2020-12-05,26.701661155110102
2020-12-06,17.553677236295698
2020-12-07,30.157223892753187
2020-12-08,22.926692847300426
2020-12-09,24.524996417638633
2020-12-10,16.657577160018473
2020-12-11,21.015003967995625
2020-12-12,32.046885414951554
2020-12-13,18.493064752336213
2020-12-14,29.07555146042853
2020-12-15,35.27525320464565
2020-12-16,32.96027471493368
2020-12-17,25.599368716894382
2020-12-18,29.350003736699257
2020-12-19,22.651087624971478
2020-12-20,16.02683624981672
2020-12-21,30.18194147288409
2020-12-22,29.179927853912954
2020-12-23,29.371519195928773
2020-12-24,27.158867691413434
2020-12-25,13.799969029269803
2020-12-26,128.47692598647737
2020-12-27,116.83141849820271
2020-12-28,283.66488278408855
2020-12-29,248.5758011729859
2020-12-30,262.4517028856521
2020-12-31,287.0322477609817
2021-01-01,279.7044162017167
2021-01-02,228.11654107153242
2021-01-03,240.19397938183658
2021-01-04,268.0450943566447
2021-01-05,248.06276866522205
2021-01-06,221.13426984889628
2021-01-07,213.38051301133675
2021-01-08,322.27503303981194
2021-01-09,206.77009574814193
2021-01-10,272.98490356161386
2021-01-11,244.26790350117142
2021-01-12,238.4193993439512
2021-01-13,303.8674698161107
2021-01-14,359.47575670654135
2021-01-15,388.91440822746193
2021-01-16,452.93599682505874
2021-01-17,497.87272256672713
2021-01-18,504.2795683034099
2021-01-19,453.7839343567031
2021-01-20,394.3568766257078
2021-01-21,348.3523707766859
2021-01-22,424.98917273398126
2021-01-23,46.93659556194714
2021-01-24,418.32491297530095
2021-01-25,480.7056200746618
2021-01-26,378.7912974999261
2021-01-27,434.3028153036296
2021-01-28,420.30492889748723
2021-01-29,384.1751374414257
2021-01-30,266.4319629755175
2021-01-31,315.16145809997664
2021-02-01,339.5543738434609
2021-02-02,491.5036003066937
2021-02-03,467.9012961878275
2021-02-04,453.39381860488055
2021-02-05,527.8722662678039
2021-02-06,512.4348127469918
2021-02-07,363.84465270872533
2021-02-08,528.1901560751264
2021-02-09,62.251749533839615
2021-02-10,44.649150941851445
2021-02-11,572.9208922190412
2021-02-12,764.7634589808795
2021-02-13,646.0254521937577
2021-02-14,563.7016969637748
2021-02-15,41.034269454077865
2021-02-16,854.1089520808142
2021-02-17,1077.6259596876146
2021-02-18,1077.4471062734976
2021-02-19,1050.490108120667
2021-02-20,1134.2330599777752
2021-02-21,937.6544412694948
2021-02-22,45.12966635890837
2021-02-23,44.96740239875973
2021-02-24,1255.304888763834
2021-02-25,1115.1803132712464
2021-02-26,1085.8024432600657
2021-02-27,922.6072431991014
2021-02-28,990.9833019166548
2021-03-01,989.1378186224994
2021-03-02,1164.4807329200844
2021-03-03,1071.276202344988
2021-03-04,1057.0624346858738
2021-03-05,903.577774410491
2021-03-06,915.0071646460232
2021-03-07,907.4349753981095
2021-03-08,966.232549202173
2021-03-09,1181.3466310342174
2021-03-10,1456.6916375938472
2021-03-11,1293.3893644757547
2021-03-12,1368.9540197371564
2021-03-13,1446.5132053286272
2021-03-14,1285.751599100255
2021-03-15,1383.1592765446005
2021-03-16,1398.479455535989
2021-03-17,1469.9245172637743
2021-03-18,41.34285674341971
2021-03-19,42.54077224623749
2021-03-20,1762.359647803381
2021-03-21,1799.1369807790386
2021-03-22,42.695553306383836
2021-03-23,2254.535925337188
2021-03-24,43.26200664691361
2021-03-25,2082.217397291787
2021-03-26,42.17369791921434
2021-03-27,2290.6172160943734
2021-03-28,2244.4262157774383
2021-03-29,50.75785462737141
2021-03-30,41.54512696109767
