date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,2828.280473563694
2020-12-06,1684.4783677370056
2020-12-07,3471.0341874059545
2020-12-08,3767.2377339284994
2020-12-09,1593.232123619877
2020-12-10,3275.6635664020014
2020-12-11,1690.5871159810126
2020-12-12,1173.8215224198534
2020-12-13,1975.0220856543394
2020-12-14,1343.6431075117216
2020-12-15,1533.5649892842266
2020-12-16,2762.1679813460332
2020-12-17,3414.786283128855
2020-12-18,1824.7853630557684
2020-12-19,3111.287756392149
2020-12-20,2227.512342021181
2020-12-21,2300.9590239317563
2020-12-22,1445.022579694364
2020-12-23,5029.911818240577
2020-12-24,2927.098136498407
2020-12-25,4379.108316013226
2020-12-26,1989.3249895096733
2020-12-27,3507.7230431296557
2020-12-28,2216.3422909209494
2020-12-29,2586.852935847505
2020-12-30,1689.210049072904
2020-12-31,1838.6897369839583
2021-01-01,2076.0236884977717
2021-01-02,1641.7329653794202
2021-01-03,3320.9234249984406
2021-01-04,5982.41949729161
2021-01-05,7063.430197720828
2021-01-06,6723.343799839769
2021-01-07,8091.370206677229
2021-01-08,10585.701150706263
2021-01-09,8863.678525913681
2021-01-10,12717.155293507134
2021-01-11,21736.266067235323
2021-01-12,11447.5541628938
2021-01-13,8550.451298788757
2021-01-14,11056.174856471305
2021-01-15,17094.352644485458
2021-01-16,13449.692561166074
2021-01-17,12937.553716408773
2021-01-18,8282.427663512462
2021-01-19,10167.714876244121
2021-01-20,10107.194561553852
2021-01-21,12511.19466306483
2021-01-22,16471.628291978497
2021-01-23,8862.331759059209
2021-01-24,7891.676228278441
2021-01-25,9359.507564045576
2021-01-26,7078.0686538227765
2021-01-27,7136.511332668235
2021-01-28,6454.801984615126
2021-01-29,5557.422197242897
2021-01-30,6157.963388497943
2021-01-31,7083.437973980861
2021-02-01,11763.752483551967
2021-02-02,10322.22486453914
2021-02-03,11444.208932690633
2021-02-04,9754.628270155687
2021-02-05,11303.319258383814
2021-02-06,9681.46594920657
2021-02-07,9919.451919913467
2021-02-08,8225.86547822639
2021-02-09,12496.486331996985
2021-02-10,7936.111478749242
2021-02-11,6086.561641164255
2021-02-12,6651.614972066005
2021-02-13,16567.134692059633
2021-02-14,14009.63231986209
2021-02-15,10741.812419425867
2021-02-16,7366.929803600433
2021-02-17,5563.713321778935
2021-02-18,5521.808940986768
2021-02-19,7388.936787592487
2021-02-20,8785.658578431843
2021-02-21,5473.616125024515
2021-02-22,6696.9538738180045
2021-02-23,10017.902437083452
2021-02-24,6567.503585102369
2021-02-25,3615.9648878081825
2021-02-26,3817.7274418471684
2021-02-27,3671.905754271925
2021-02-28,3803.914591207019
2021-03-01,2169.375084407856
2021-03-02,4004.732365878113
2021-03-03,2831.917821957177
2021-03-04,2638.306315866679
2021-03-05,2478.6463744784173
2021-03-06,2838.1021233798087
2021-03-07,2478.6460086775855
2021-03-08,2378.163892214742
2021-03-09,2399.974356692384
2021-03-10,1456.1664808660869
2021-03-11,1405.984419803725
2021-03-12,1363.3898729506102
2021-03-13,2168.5931186450507
2021-03-14,2994.788985584428
2021-03-15,963.1373423179439
2021-03-16,1373.9641251250196
2021-03-17,2311.8244518599095
2021-03-18,1964.2955802624124
2021-03-19,4047.68210866937
2021-03-20,1899.5782707053058
2021-03-21,1840.5492501717201
2021-03-22,1732.0368533830465
2021-03-23,1521.3292837205759
2021-03-24,1550.1741193402931
2021-03-25,882.1213488334697
2021-03-26,1194.0066216022403
2021-03-27,1127.1708582628148
2021-03-28,1703.0815782268369
2021-03-29,1411.0683914113931
2021-03-30,901.3521559211723
2021-03-31,973.0641018530775
2021-04-01,852.2537508124677
2021-04-02,660.4083276890686
2021-04-03,492.7553780448592
2021-04-04,1025.3900943371802
2021-04-05,1710.649098077377
2021-04-06,1673.0702215065623
2021-04-07,1015.216679935316
2021-04-08,904.5642880394796
2021-04-09,749.8805097057759
2021-04-10,754.5174067026535
2021-04-11,765.9906577425957
2021-04-12,928.3835693823225
2021-04-13,920.390641168287
2021-04-14,961.0757695023228
2021-04-15,782.3753060326183
2021-04-16,891.9865258722166
2021-04-17,692.5793547078596
2021-04-18,600.0644877848597
2021-04-19,383.37799230778774
2021-04-20,797.1159027020725
2021-04-21,487.7975560433375
2021-04-22,695.2763137801434
2021-04-23,837.1184406697477
2021-04-24,924.2578293182111
2021-04-25,727.5623579895685
2021-04-26,872.5619493446027
2021-04-27,1151.7145587733635
2021-04-28,890.0507742945194
2021-04-29,936.9415188211864
2021-04-30,1960.558933656451
2021-05-01,2263.009542974926
2021-05-02,1050.1682581597593
2021-05-03,1782.8298307839623
2021-05-04,1524.6827125872
2021-05-05,507.90543014484246
2021-05-06,498.75967434073283
2021-05-07,597.9206818754396
2021-05-08,841.456452676912
2021-05-09,508.0233474389278
2021-05-10,447.0220452905612
2021-05-11,329.1573754894513
2021-05-12,262.8421146285808
2021-05-13,399.4391962212048
2021-05-14,226.25356917768488
2021-05-15,337.7658920380835
2021-05-16,226.1397903466176
2021-05-17,207.8282163898613
2021-05-18,269.23422568868216
2021-05-19,394.47373689254835
2021-05-20,219.20101598620815
2021-05-21,98.72206185770014
2021-05-22,98.33611046871894
2021-05-23,247.13378759000443
2021-05-24,231.17519092190548
2021-05-25,122.5314502989527
2021-05-26,174.54894741210558
