date,fee
2020-05-18,10.776472595120303
2020-05-19,12.173425922593964
2020-05-20,67.65522518740138
2020-05-21,122.07124400767925
2020-05-22,190.5823139737454
2020-05-23,259.16028370300506
2020-05-24,381.5876236910673
2020-05-25,379.7034790790405
2020-05-26,378.84168630281573
2020-05-27,373.9378428291566
2020-05-28,366.4667061035525
2020-05-29,356.1899630374655
2020-05-30,334.6586932474773
2020-05-31,302.7418467861467
2020-06-01,286.4307938685781
2020-06-02,292.17716280389027
2020-06-03,297.66457359653003
2020-06-04,297.85585532695666
2020-06-05,298.3611369879336
2020-06-06,298.44244513436996
2020-06-07,297.1873413692274
2020-06-08,296.1634335970821
2020-06-09,296.0793942926276
2020-06-10,296.0892019118514
2020-06-11,292.4932332073877
2020-06-12,288.9046844458312
2020-06-13,288.5578911146208
2020-06-14,295.23133165208674
2020-06-15,305.5041327261698
2020-06-16,308.1605251688343
2020-06-17,309.59330856441096
2020-06-18,309.964838056088
2020-06-19,306.2670358847664
2020-06-20,307.5529245828968
2020-06-21,312.2724502349676
2020-06-22,313.0034280849499
2020-06-23,312.657971724979
2020-06-24,312.580126444673
2020-06-25,310.1475693766466
2020-06-26,306.897086494851
2020-06-27,306.2510377922136
2020-06-28,1184.0740330988128
2020-06-29,1186.8191368482137
2020-06-30,1185.0248821146085
2020-07-01,1427.0541627345708
2020-07-02,1697.9442948960514
2020-07-03,1768.2619476113762
2020-07-04,2866.327958403883
2020-07-05,3050.8462226855004
2020-07-06,3203.7204329860683
2020-07-07,3374.629840460722
2020-07-08,3436.927367597227
2020-07-09,3447.0040704837043
2020-07-10,3453.3635349157203
2020-07-11,3463.963385457208
2020-07-12,3467.8513459366122
2020-07-13,3465.9651628598426
2020-07-14,3465.450359686525
2020-07-15,3486.283102628869
2020-07-16,3522.23206803835
2020-07-17,3980.903835406094
2020-07-18,4433.302967361617
2020-07-19,4651.568856393423
2020-07-20,4894.607095656675
2020-07-21,4934.663672244121
2020-07-22,4005.1839242244046
2020-07-23,4194.418325219138
2020-07-24,5796.9467820373
2020-07-25,4715.215443601255
2020-07-26,4243.562645124448
2020-07-27,5378.644018134503
2020-07-28,5721.061396262901
2020-07-29,6330.179812707879
2020-07-30,7113.858946009355
2020-07-31,7591.170933561443
2020-08-01,7373.948149227986
2020-08-02,7047.083857369344
2020-08-03,18.612333062495274
2020-08-04,15.622363089773328
2020-08-05,15.622363089773328
2020-08-06,15.696177914080073
2020-08-07,15.776108419517968
2020-08-08,17.367361442055333
2020-08-09,19.049211328263034
2020-08-10,19.145923873064525
2020-08-11,19.145923873064525
2020-08-12,19.145923873064525
2020-08-13,19.145923873064525
2020-08-14,27.587287667603167
2020-08-15,36.02865146214181
2020-08-16,36.36605256692786
2020-08-17,36.487443972389485
2020-08-18,28.507168583210543
2020-08-19,28.470764167874073
2020-08-20,28.434359752537603
2020-08-21,30.03454575496916
2020-08-22,31.634731757400715
2020-08-23,32.43823118942278
2020-08-24,33.24173062144485
2020-08-25,33.24173062144485
2020-08-26,33.24173062144485
2020-08-27,33.24173062144485
2020-08-28,33.24173062144485
