date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-31,
2020-07-30,
2020-07-24,
2020-07-29,
2020-08-14,
2020-08-12,
2020-07-27,
2020-08-09,
2020-08-10,
2020-07-25,
2020-07-28,
2020-08-03,
2020-08-17,
2020-08-25,
2020-07-26,
2020-08-13,
2020-08-08,
2020-08-07,
2020-08-19,
2020-08-22,
2020-08-23,
2020-08-16,
2020-08-06,
2020-08-21,
2020-08-15,
2020-08-11,
2020-08-05,
2020-08-02,
2020-08-20,
2020-08-01,
2020-08-18,
2020-08-04,
2020-08-24,
2020-10-14,30.052092187285673
2020-10-15,20.189289759729682
2020-10-16,6.358098133349494
2020-10-17,3.2026165774913564
2020-10-18,1.9561995662843923
2020-10-19,2.784448399809033
2020-10-20,2.6764887162436612
2020-10-21,9.425204464896426
2020-10-22,3.1786537819641647
2020-10-24,14.681124966422608
2020-10-25,5.946417083349395
2020-10-26,5.265119608698207
2020-10-27,4.498715348637566
2020-10-28,5.05155987070504
2020-10-29,4.499743077285303
2020-10-30,4.077112068502693
2020-10-31,3.2543677524868215
2020-11-01,3.2148829337138944
2020-11-02,3.0419138758404363
2020-11-03,2.559530788648463
2020-11-04,2.386946159225462
2020-11-05,2.802340026020529
2020-11-06,3.6922473404758844
2020-11-12,9.19351186402742
2020-11-13,62.35401614380091
2020-11-14,65.95007928680704
2020-11-15,69.3241767313684
2020-11-16,67.41408396984478
2020-11-17,51.07119842222112
2020-11-18,98.15797632424453
2020-11-19,64.19659700907076
2020-11-20,63.847262985407454
2020-11-21,80.42066334146921
2020-11-22,102.51192514035317
2020-11-23,89.6116958076482
2020-11-24,98.23755778638672
2020-11-25,100.25985045622826
2020-11-26,90.35838495358256
2020-11-27,80.88291124684118
2020-11-28,82.79986536999778
2020-11-29,83.16994408383513
2020-11-30,87.93108037964963
2020-12-01,92.81880037262071
2020-12-02,92.73518401079663
2020-12-03,101.10068155465135
2020-09-07,
2020-09-17,
2020-09-15,
2020-09-03,
2020-08-27,
2020-09-08,
2020-09-02,
2020-08-30,
2020-09-04,
2020-09-09,
2020-08-29,
2020-09-06,
2020-09-16,
2020-09-10,
2020-09-11,
2020-08-28,
2020-09-05,
2020-08-31,
2020-09-01,
2020-09-30,
2020-09-19,
2020-09-28,
2020-09-23,
2020-10-11,
2020-09-25,
2020-10-09,
2020-09-12,
2020-09-20,
2020-10-07,
2020-10-10,
2020-10-06,
2020-10-02,
2020-09-27,
2020-10-05,
2020-09-21,
2020-10-08,
2020-09-22,
2020-10-04,
2020-09-26,
2020-09-24,
2020-09-29,
2020-09-18,
2020-10-03,
2020-09-13,
2020-11-07,4.507311388327487
2020-11-10,10.98404790815229
2020-10-23,3.1487487636609206
2020-11-09,7.2169235078324565
2020-11-08,4.235197235569447
2020-11-11,7.151757044702485
2020-10-13,
2020-08-26,
2020-10-12,
2020-09-14,
2020-10-01,
2020-12-04,97.51076977245354
2020-12-05,16.230012733560823
2020-12-06,15.41999857050032
2020-12-07,14.652864023949599
2020-12-18,62.23496927848874
2020-12-19,9.478971182520986
2020-12-20,9.068488423412445
2020-12-21,10.386016160933767
2020-12-22,9.929062990126493
2020-12-23,9.948934196958293
2020-12-24,6.775273040602593
2020-12-25,7.011113379523445
2020-12-26,7.2394650292608675
2020-12-27,8.215939398024057
2020-12-28,12.861435387902068
2020-12-29,10.534782039948357
2020-12-30,10.75917357639518
2020-12-31,8.305738207900633
2021-01-01,7.942785737588755
2021-01-02,10.42007902654784
2021-01-03,11.37492933411938
2021-01-04,11.241810670434244
2021-01-05,12.005170915406566
2021-01-06,14.047526281552429
2021-01-07,11.867345683135277
2021-01-08,16.49647486339142
2021-01-09,19.088912521823918
2021-01-10,21.65025774108814
2021-01-16,394.66885002306634
2021-01-17,103.38094655175053
2021-01-18,32.00658539783422
2021-01-19,30.930792009325568
2021-01-20,22.837015091026554
2021-01-21,27.22325610686388
2021-01-22,22.621966391520047
2021-01-26,18.070813331840764
2021-01-27,19.765463305428227
2021-01-28,14.895239365861062
2021-01-29,17.078690585783665
2021-01-30,11.992413568954232
2021-01-31,15.08086806295306
2021-02-01,17.905429343680467
2021-02-06,20.723710926592737
2021-02-07,26.10616117607073
2021-02-08,30.535184286887798
2021-02-09,26.675551127004216
2021-02-10,24.182332638543468
2021-02-11,21.492692640282257
2021-02-12,28.727555204910807
2021-02-13,48.12367799187334
2021-02-14,41.283536461930964
2021-02-15,39.977845533311026
2021-02-16,36.6236115105912
2021-02-17,40.24917635693853
2021-02-18,44.24818415498909
2021-02-19,34.79270426470192
2021-02-23,35.36658005953512
2021-02-24,22.216405772367093
2021-02-25,24.935499037640774
2021-02-26,26.88963141709777
2021-02-27,29.814106025496482
2021-02-28,50.95827002584945
2021-03-01,43.11571360849182
2020-12-12,70.66855335761687
2020-12-08,179.19601560429197
2020-12-14,80.76335731277999
2020-12-09,201.21626485760976
2021-01-12,12.574051588034107
2020-12-16,84.69803119849912
2020-12-17,85.70388423152602
2020-12-13,77.93444528048894
2020-12-10,84.90582529604418
2021-01-11,15.074061705898183
2021-02-05,
2021-01-23,21.95025459936152
2021-01-14,56.54950650788629
2020-12-11,80.23510964764553
2021-01-25,22.89229647258407
2021-01-13,12.288683177439944
2021-02-02,16.957409010824183
2021-01-24,19.737386546705608
2021-02-03,18.17811895549769
2020-12-15,84.05287268515966
2021-01-15,364.7532617332827
2021-03-04,111.03926504158814
2021-03-05,113.44545209564008
2021-02-22,61.68368772575357
2021-02-04,21.23328544755327
2021-03-03,144.7186788882712
2021-02-20,38.862428209488655
2021-03-09,73.65364433040465
2021-03-08,53.365780715682696
2021-02-21,34.39097729085125
2021-03-02,91.47281985217698
2021-03-10,114.72391567825427
2021-03-11,103.3759250022339
2021-03-06,74.53858496881917
2021-03-12,118.98516709501331
2021-03-07,59.08783665113311
2021-03-13,103.43619162881767
2021-03-25,162.01937864940732
2021-03-26,160.11096458045884
2021-03-27,165.1761507182513
2021-03-28,170.50387809485036
2021-03-29,194.6122395119849
2021-03-30,202.0085536513521
2021-03-31,218.7783561994245
2021-04-01,212.98828033860534
2021-04-02,215.23486897826731
2021-04-03,195.34163426652952
2021-04-04,185.00477890425483
2021-04-05,216.32297242267717
2021-04-06,233.26172046189512
2021-04-07,284.8447894819448
2021-04-08,237.30337488079118
2021-04-09,347.82622978668746
2021-04-10,312.2102361504819
2021-04-11,340.31137606474357
2021-04-12,566.9104927137986
2021-04-20,285.47955528950285
2021-04-21,321.3523268927472
2021-04-22,345.8264935667998
2021-04-23,368.9571300769775
2021-04-24,301.3525777422748
2021-04-25,316.21206223149784
2021-04-26,504.1155487803186
2021-04-27,688.029249186318
2021-04-28,712.4461972217616
2021-04-29,462.9933489040073
2021-04-30,448.225189059573
2021-05-01,452.95998100864074
2021-05-02,405.5539622241743
2021-05-03,431.10352443775855
2021-05-04,464.83847710543733
2021-05-05,412.61325063416314
2021-05-06,462.9930184169059
2021-05-07,480.7119403412185
2021-05-08,436.3207881174337
2021-05-09,427.39716301429263
2021-05-10,363.65116493963507
2021-05-11,411.09945374482373
2021-05-12,426.3906696820943
2021-05-13,417.72848712860406
2021-05-14,497.7259483377994
2021-05-15,2034.387697445259
2021-05-16,522.8331588367324
2021-05-17,638.0389726972144
2021-05-18,819.1122563132466
2021-05-19,1017.1042314038573
2021-05-20,484.5414806993049
2021-05-21,526.4471066709658
2021-05-22,693.9922048947832
2021-05-23,341.25211335697367
2021-05-24,295.55470161596645
2021-05-25,366.7914237263265
2021-05-26,448.57848132600884
