date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,15.591996971311701
2020-07-26,24.37739640617346
2020-07-27,21.772838728470592
2020-07-28,16.801089335560327
2020-07-29,9.823462053565299
2020-07-30,7.675585675352801
2020-07-31,8.403778804664505
2020-08-01,6.038392122389067
2020-08-02,5.5657660757706395
2020-08-03,6.777566073503123
2020-08-04,7.8785049894624875
2020-08-05,7.328712441959679
2020-08-06,6.747932913357453
2020-08-07,6.023500339041275
2020-08-08,5.462426159193467
2020-08-09,5.708366168083448
2020-08-10,14.706161924111676
2020-08-11,9.056460010887553
2020-08-12,9.687931778789542
2020-08-13,5.117508374758801
2020-08-14,5.976568721223585
2020-08-15,3.105312691409957
2020-08-16,4.975660388601509
2020-08-17,7.464693953533282
2020-08-18,58.18775907808414
2020-08-19,76.39619700670245
2020-08-20,32.60803936249067
2020-08-21,26.35003106849653
2020-08-22,88.54398041158247
2020-08-23,73.142267399909
2020-08-24,129.24683157843498
2020-08-25,104.10995432516498
2020-08-26,110.1110417851575
2020-08-27,109.349454970789
2020-08-28,107.6223090397937
2020-08-29,85.30975609171998
2020-08-30,80.4751915965078
2020-08-31,80.43111798863947
2020-09-01,77.3337776656792
2020-09-02,71.66181366037358
2020-09-03,78.98646464669227
2020-09-04,78.75225769918453
2020-09-05,66.74060603733676
2020-09-06,66.20390020805947
2020-09-07,62.22132619619715
2020-09-08,53.54332811821049
2020-09-09,60.99944797164859
2020-09-10,61.682063167513135
2020-09-11,61.69274319035534
2020-09-12,54.117188183478696
2020-09-13,57.97521275094167
2020-09-14,59.224919094280295
2020-09-15,55.91653672312554
2020-09-16,57.3013220050131
2020-09-17,56.96452705003081
2020-09-18,54.180215020859215
2020-09-19,48.80789172281205
2020-09-20,53.67961045446641
2020-09-21,60.69454248850952
2020-09-22,56.19060560975349
2020-09-23,55.086357406132116
2020-09-24,56.67210676316008
2020-09-25,51.0697881522075
2020-09-26,48.14603488671471
2020-09-27,43.90984931286889
2020-09-28,52.613870628038235
2020-09-29,50.816176567209425
2020-09-30,51.84566506325448
2020-10-01,55.80356984104894
2020-10-02,54.64306403673592
2020-10-03,45.46416027420074
2020-10-04,44.670984831474094
2020-10-05,49.2842785502095
2020-10-06,56.14051522484362
2020-10-07,59.300130264287525
2020-10-08,51.307154118613944
2020-10-09,49.456662298117315
2020-10-10,39.60898217056677
2020-10-11,37.42319946795763
2020-10-12,46.14482001328488
2020-10-13,45.86443331855402
2020-10-14,39.30813807733424
2020-10-15,44.772218799431656
2020-10-16,45.259586292042094
2020-10-17,35.191086745902375
2020-10-18,35.99148242159088
2020-10-19,40.017378078969486
2020-10-20,51.436065715327445
2020-10-21,67.11876711983315
2020-10-22,50.30654672318988
2020-10-23,43.98957295615003
2020-10-24,34.98320350917459
2020-10-25,32.1599321263925
2020-10-26,49.73629673732356
2020-10-27,51.90312620259857
2020-10-28,45.68543099667599
2020-10-29,42.04506718750966
2020-10-30,37.314594679981845
2020-10-31,32.99221735951437
2020-11-01,30.761007110001863
2020-11-02,44.63578604383994
2020-11-03,42.61982974758308
2020-11-04,39.48187558858416
2020-11-05,47.30893644378392
2020-11-06,44.236415563486005
2020-11-07,41.84966888787304
2020-11-08,29.216323187876238
2020-11-09,76.7960191916668
2020-11-10,73.95018426756857
2020-11-11,79.97368459036427
2020-11-12,50.86055100562654
2020-11-13,40.768585779414444
2020-11-14,34.11346320259359
2020-11-15,32.084871528399425
2020-11-16,38.733977105253274
2020-11-17,52.96645963343456
2020-11-18,48.54074223348284
2020-11-19,42.00475411643579
2020-11-20,60.44198386939762
2020-11-21,53.66862983122115
2020-11-22,48.51020653490957
2020-11-23,57.813057861431204
2020-11-24,63.65800719992949
2020-11-25,53.12184561041566
2020-11-26,58.00033329491249
2020-11-27,56.63991630462999
2020-11-28,45.93452990548082
2020-11-29,43.21850951995561
2020-11-30,57.76477239483169
2020-12-01,51.99067201084924
2020-12-02,48.14738857890719
2020-12-03,39.600107244886736
2020-12-04,43.39059234991944
2020-12-05,39.73428368863047
2020-12-06,34.14760901727173
2020-12-07,43.999651320151
2020-12-08,43.48340274617358
2020-12-09,41.861101021533834
2020-12-10,33.28659324621687
2020-12-11,38.903954097909796
2020-12-12,35.01253580643073
2020-12-13,34.90197555039289
2020-12-14,39.771137210048
2020-12-15,47.167389030201605
2020-12-16,45.41632601702226
2020-12-17,51.25255086737736
2020-12-18,45.5387695926761
2020-12-19,48.502685454250816
2020-12-20,46.31359349616999
2020-12-21,57.60788220102689
2020-12-22,60.62384430561791
2020-12-23,62.04728800888187
2020-12-24,47.491849386351035
2020-12-25,39.500979123713066
2020-12-26,45.63955229134465
2020-12-27,52.96194696987676
2020-12-28,218.19168678331476
2020-12-29,122.31628654358262
2020-12-30,104.71239467329127
2020-12-31,110.33095889320848
2021-01-01,116.63635004332237
2021-01-02,124.72875515606145
2021-01-03,123.59412165680659
2021-01-04,121.93015307247995
2021-01-05,103.48555269580068
2021-01-06,100.43318841970736
2021-01-07,124.9978603917335
2021-01-08,96.8927047190368
2021-01-09,87.3407545625315
2021-01-10,92.97526352476325
2021-01-11,109.09840060294744
2021-01-12,86.91265367330666
2021-01-13,123.08283720295144
2021-01-14,146.76769045791522
2021-01-15,149.02372028366486
2021-01-16,225.07530037498944
2021-01-17,172.06867817405316
2021-01-18,151.73567929944005
2021-01-19,136.37412897500428
2021-01-20,150.00146359964447
2021-01-21,132.16411685355422
2021-01-22,137.1033750459842
2021-01-23,118.84153728459454
2021-01-24,115.44861770836216
2021-01-25,124.48717745246482
2021-01-26,110.91098636965668
2021-01-27,202.3481842485793
2021-01-28,153.5219410834063
2021-01-29,159.12967490025525
2021-01-30,129.93832179429418
2021-01-31,136.40240828456305
2021-02-01,134.25919502790262
2021-02-02,125.73868878797104
2021-02-03,141.9280115971329
2021-02-04,152.69446937071487
2021-02-05,149.8396094200443
2021-02-06,144.43419328478765
2021-02-07,143.8531129469966
2021-02-08,156.57987078978482
2021-02-09,155.3873248364694
2021-02-10,153.98509050052726
2021-02-11,151.09728809001527
2021-02-12,177.83074496724953
2021-02-13,180.32760046023614
2021-02-14,152.74636503208998
2021-02-15,164.32314628147006
2021-02-16,177.44295691007798
2021-02-17,179.82022686533858
2021-02-18,176.2913257478994
2021-02-19,189.54711797186602
2021-02-20,263.02121628350073
2021-02-21,196.0703202680237
2021-02-22,171.49075668428134
2021-02-23,108.30221681547285
2021-02-24,170.70389896181112
2021-02-25,161.22219584390913
2021-02-26,175.88518622129095
2021-02-27,178.17656523129676
2021-02-28,164.3578937437078
2021-03-01,166.95884133975244
2021-03-02,159.91773591152688
2021-03-03,161.6605257013394
2021-03-04,188.52139002224243
2021-03-05,210.09973294618246
2021-03-06,177.46431686490746
2021-03-07,178.3952788545464
2021-03-08,174.60644841951813
2021-03-09,210.98541800696134
2021-03-10,192.26659805280653
2021-03-11,172.0965062114649
2021-03-12,176.30230658940707
2021-03-13,178.54299335815767
2021-03-14,163.813967682672
2021-03-15,181.9292943626762
2021-03-16,185.95383614299362
2021-03-17,174.58523896705742
2021-03-18,215.80719656470706
2021-03-19,174.71776073237308
2021-03-20,171.5495716435262
2021-03-21,148.5202576534716
2021-03-22,162.69136798283859
2021-03-23,151.96672750527696
2021-03-24,168.65229268158578
2021-03-25,180.20309028997934
2021-03-26,140.28260433016942
2021-03-27,137.86516495252414
2021-03-28,135.38410360832762
2021-03-29,164.70181837547594
2021-03-30,164.4451848319333
2021-03-31,188.58628543774543
2021-04-01,189.47649235632866
