date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-09,0.2
2020-09-10,0.22000000000000003
2020-09-11,1.151686
2020-09-14,2.289098
2020-09-15,0.2506879999999998
2020-09-16,2.716175
2020-09-17,0.4800000000000004
2020-09-21,0.2791199999999998
2020-09-24,5.600021
2020-09-25,6.936881999999999
2020-09-26,0.9400000000000013
2020-09-28,2.224813000000001
2020-09-29,0.03999999999999915
2020-09-30,0.330093999999999
2020-10-01,0.49801300000000026
2020-10-02,3.5321710000000017
2020-10-04,0.1999999999999993
2020-10-05,1.7148029999999999
2020-10-06,1.9637339999999988
2020-10-07,2.628243000000001
2020-10-08,1.394241000000001
2020-10-09,0.002080999999996891
2020-10-12,333.580079
2020-10-13,45.806061
2020-10-14,2947.966058
2020-10-15,564.3827260000003
2020-10-16,172.25975000000017
2020-10-17,58.63580000000002
2020-10-18,521.5742659999996
2020-10-19,433.02236600000015
2020-10-20,1227.3154569999997
2020-10-21,841.8229760000004
2020-10-22,4052.5873569999994
2020-10-23,1863.181066000001
2020-10-24,1005.5216879999989
2020-10-25,815.1074129999997
2020-10-26,2669.6797540000025
2020-10-27,6517.544945999998
2020-10-28,6585.0981390000015
2020-10-29,8810.696120999997
2020-10-30,10956.128266
2020-10-31,5632.226375999999
2020-11-01,6420.142406999999
2020-11-02,14537.146857000007
2020-11-03,26043.84071399999
2020-11-04,102350.12409900001
2020-11-05,38178.23519800001
2020-11-06,25503.797909000015
2020-11-07,14295.282868999988
2020-11-08,7747.432795999979
2020-11-09,15998.263496000029
2020-11-10,13214.564679999952
2020-11-11,10649.509363000048
2020-11-12,10836.623240999994
2020-11-13,12478.095873999991
2020-11-14,6917.305391000002
2020-11-15,8854.684218999988
2020-11-16,11518.417919000029
2020-11-17,9516.342802999949
2020-11-18,12460.182052000018
2020-11-19,12911.438509
2020-11-20,21013.853269000014
2020-11-21,13063.686088999966
2020-11-22,7510.642625000037
2020-11-23,16128.276390000014
2020-11-24,24128.067217999953
2020-11-25,23371.519761000003
2020-11-26,10613.250820999965
2020-11-27,8467.643848000094
2020-11-28,9454.718276
2020-11-29,10277.35962699994
2020-11-30,17956.557633999968
2020-12-01,26815.57540500001
2020-12-02,20409.59878
2020-12-03,10920.115648000035
2020-09-07,0.0
2020-09-08,0.0
2020-10-10,0.0
2020-09-06,0.0
2020-09-12,0.0
2020-09-20,0.0
2020-10-11,0.0
2020-09-05,0.0
2020-09-18,0.0
2020-09-19,0.0
2020-09-27,0.0
2020-09-23,0.0
2020-09-22,0.0
2020-09-13,0.0
2020-10-03,0.0
2020-12-04,8698.59568899998
2020-12-05,5294.483453999972
2020-12-06,10711.462945000036
2020-12-07,10244.08370399999
2020-12-08,23696.53079400002
2020-12-09,15133.422956999973
2020-12-10,17545.933349000057
2020-12-11,17027.84644200001
2020-12-12,8837.132183999987
2020-12-13,5506.006399999955
2020-12-14,13158.876190999988
2020-12-15,33712.92084100004
2020-12-16,17346.97415699996
2020-12-17,12799.359752000077
2020-12-18,13324.873825000017
2020-12-19,6470.851048999932
2020-12-20,2590.084212000016
2020-12-21,9087.50962399994
2020-12-22,10097.836024000077
2020-12-23,13612.276621000026
2020-12-24,10488.980703999987
2020-12-25,16215.305930999923
2020-12-26,10719.965954000014
2020-12-27,7470.581545999972
2020-12-28,14949.745528000058
2020-12-29,7736.71418000001
2020-12-30,14486.392408999964
2020-12-31,8323.20224100002
2021-01-01,24387.964861999964
2021-01-02,9900.384246000089
2021-01-03,9384.136660999968
2021-01-04,17387.570874999976
2021-01-05,19140.703921000008
2021-01-06,52552.573162999935
2021-01-07,27163.00586699997
2021-01-08,17168.53882600018
2021-01-09,16334.676805999829
2021-01-10,15633.694786000066
2021-01-11,11872.011373999994
2021-01-12,8249.648539999966
2021-01-13,14872.09992800001
2021-01-14,18284.259707000107
2021-01-15,40414.898248999845
2021-01-16,25245.75721499999
2021-01-17,19984.581733
2021-01-18,27042.179589000065
2021-01-19,44731.63749999995
2021-01-20,57158.29175000009
2021-01-21,35560.25904399995
2021-01-22,21520.01585600013
2021-01-23,13545.97629999998
2021-01-24,16073.312118999893
2021-01-25,23896.51316000009
2021-01-26,8382.599873000057
2021-01-27,15155.495470999973
2021-01-28,10142.264818999916
2021-01-29,13122.2865879999
2021-01-30,11390.389212000184
2021-01-31,10236.910536999814
2021-02-01,7055.963279000018
2021-02-02,13118.091003000038
2021-02-03,13570.325188999996
2021-02-04,7742.737347000046
2021-02-05,4245.436910999939
2021-02-06,3727.4033830000553
2021-02-07,4764.10211200011
2021-02-08,30988.559794999892
2021-02-09,8514.969272000017
2021-02-10,10487.947356000077
2021-02-11,8624.998866999988
2021-02-12,8914.128678999841
2021-02-13,9253.903391000116
2021-02-14,5398.636488999939
2021-02-15,5041.0050890001
2021-02-16,9910.637145000044
2021-02-17,9007.884920999873
2021-02-18,6954.540401000064
2021-02-19,7222.556379999965
2021-02-20,5449.460578999948
2021-02-21,4540.366298000095
2021-02-22,13965.369468000019
2021-02-23,6682.8915529998485
2021-02-24,5237.213128000032
2021-02-25,7426.939807000104
2021-02-26,3996.4994139999617
2021-02-27,3956.1514409999363
2021-02-28,5962.245918000117
2021-03-01,11060.949459000025
2021-03-02,9004.56946899998
2021-03-03,4592.765562999994
2021-03-04,5648.234308999963
2021-03-05,5960.596308999928
2021-03-06,7812.976381000131
2021-03-07,7317.574820999987
2021-03-08,6994.756379999919
2021-03-09,5234.026491000084
2021-03-10,5707.92264499981
2021-03-11,6451.090440000175
2021-03-12,16409.13530700002
2021-03-13,8217.408614999847
2021-03-14,6961.254538000096
2021-03-15,12292.356701999903
2021-03-16,7426.833557000151
2021-03-17,6884.629879999906
2021-03-18,6420.4073250000365
2021-03-19,7850.815675999969
2021-03-20,9062.7095329999
2021-03-21,8516.737982000224
2021-03-22,10047.400425999891
2021-03-23,10103.76984600001
2021-03-24,11636.366695000092
2021-03-25,9560.373177999863
2021-03-26,10230.122599000111
2021-03-27,8068.394636999816
2021-03-28,6555.035810000263
2021-03-29,17117.838570999913
2021-03-30,4343.215268000029
2021-03-31,5749.56037400011
2021-04-01,8626.13141499972
2021-04-02,4861.294651000295
2021-04-03,2959.996812999714
2021-04-04,4704.275148999877
2021-04-05,5295.427833999973
2021-04-06,3758.8046770002693
2021-04-07,3550.8981059999205
2021-04-08,5117.798160000239
2021-04-09,3389.06153799966
2021-04-10,1806.408524000086
2021-04-11,3021.7394739999436
2021-04-12,1975.6994440001436
2021-04-13,9077.372529000044
2021-04-14,6048.329802999739
2021-04-15,5558.205111000221
2021-04-16,5069.082024000119
2021-04-17,4533.10778399976
2021-04-18,4722.009622000158
2021-04-19,5774.263716000132
2021-04-20,6353.625465999823
2021-04-21,4131.797330999747
2021-04-22,3446.2754930001684
2021-04-23,3120.2201669998467
2021-04-24,1348.930436000228
