date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,158.9598715790514
2020-11-04,95.26618306077769
2020-11-05,793.6746544539103
2020-11-06,519.0436936492337
2020-11-07,149.6964781469928
2020-11-08,61.57391790921751
2020-11-09,54.259522736107094
2020-11-10,90.42986706194756
2020-11-11,80.22926790193495
2020-11-12,42.36832952268368
2020-11-13,84.24751880587466
2020-11-14,48.32138119094109
2020-11-15,76.33283180389078
2020-11-16,54.60860261729271
2020-11-17,44.927915653878856
2020-11-18,48.670846053298234
2020-11-19,76.4717662251113
2020-11-20,99.92506957111289
2020-11-21,58.564319971534424
2020-11-22,120.83992840536493
2020-11-23,94.06774406431249
2020-11-24,91.56573604354047
2020-11-25,85.3566352648061
2020-11-26,88.16323330538751
2020-11-27,38.416702503818556
2020-11-28,57.63487322152426
2020-11-29,20.343864148680822
2020-11-30,44.41313665264495
2020-12-01,48.49978822148416
2020-12-02,50.98235425716976
2020-12-03,64.78888603491534
2020-12-04,70.40622550050719
2020-12-05,21.288940237372813
2020-12-06,42.779004917143105
2020-12-07,35.8173277076763
2020-12-08,36.542130543917715
2020-12-09,25.175504367762912
2020-12-10,10.917960015028507
2020-12-11,54.34015233536459
2020-12-12,26.389774819785167
2020-12-13,33.462806864704945
2020-12-14,32.78391452756829
2020-12-15,56.55715860963435
2020-12-16,32.454135483365164
2020-12-17,59.91260040306118
2020-12-18,62.85840151378848
2020-12-19,53.04262198736687
2020-12-20,33.807138899436524
2020-12-21,44.620321541095784
2020-12-22,39.93233591893507
2020-12-23,66.67195648814145
2020-12-24,19.482694430032375
2020-12-25,11.265518706217797
2020-12-26,11.152144007060109
2020-12-27,26.764964201502416
2020-12-28,24.896622806494783
2020-12-29,29.736180027597197
2020-12-30,59.47084256107464
2020-12-31,63.46495536791957
2021-01-01,46.43588364763022
2021-01-02,69.29970982583563
2021-01-03,62.5573172646247
2021-01-04,98.34839049863511
2021-01-05,79.26047717500879
2021-01-06,108.33983278432997
2021-01-07,126.09981173620577
2021-01-08,110.89265103835443
2021-01-09,99.73627584586221
2021-01-10,198.8632446261953
2021-01-11,251.72697401502978
2021-01-12,349.7660474228926
2021-01-13,746.6565940867963
2021-01-14,324.5429252422352
2021-01-15,343.0424690772381
2021-01-16,649.2947294774419
2021-01-17,463.24884852635006
2021-01-18,1034.1197113480866
2021-01-19,2153.117684486124
2021-01-20,2853.437178033498
2021-01-21,1846.0621781799587
2021-01-22,1597.9560419108918
2021-01-23,1248.1811800444027
2021-01-24,1269.664794527585
2021-01-25,2002.6538378171965
2021-01-26,2870.344962609212
2021-01-27,2416.6297378703134
2021-01-28,2702.19243076266
2021-01-29,8892.128985375242
2021-01-30,4156.0696530121495
2021-01-31,2429.6077380635666
2021-02-01,1859.4273189655535
2021-02-02,1651.8551971457673
2021-02-03,1399.9011484312884
2021-02-04,880.1223521260769
2021-02-05,2936.1736493961353
2021-02-06,1688.0537944289142
2021-02-07,2130.13984350468
2021-02-08,1960.0086077805713
2021-02-09,3280.135667510333
2021-02-10,5472.932765741389
2021-02-11,3298.9889004212678
2021-02-12,5151.45622299817
2021-02-13,9174.316208730672
2021-02-14,4252.117573053108
2021-02-15,8863.762355113036
2021-02-16,22374.987894324917
2021-02-17,12799.457405087898
2021-02-18,9209.174051046057
2021-02-19,26979.0126513669
2021-02-20,28337.384947229802
2021-02-21,35247.789246239634
2021-02-22,61717.74724346213
2021-02-23,51340.523072295175
2021-02-24,74202.81670752433
2021-02-25,74908.98773293007
2021-02-26,58729.798455492186
2021-02-27,63841.05279436404
2021-02-28,81555.39131200155
2021-03-01,82364.80387753471
2021-03-02,106950.3617044744
2021-03-03,74536.75042693854
2021-03-04,106276.1708545537
2021-03-05,50794.90174465425
2021-03-06,84369.87560035665
2021-03-07,68972.45844548148
2021-03-08,60744.81081679348
2021-03-09,59856.534091344794
2021-03-10,42835.26262298852
2021-03-11,57685.213663639406
2021-03-12,66063.96500965854
2021-03-13,50737.14053623523
2021-03-14,57545.38134319446
2021-03-15,58545.20678343736
2021-03-16,43422.220123295454
2021-03-17,45258.17056151089
2021-03-18,37844.977940167155
2021-03-19,46203.68430140499
2021-03-20,46370.698937649715
2021-03-21,47921.715839810735
2021-03-22,51802.92556286802
2021-03-23,34114.35134560612
2021-03-24,45592.094965667166
2021-03-25,36977.85742084569
2021-03-26,30158.403472087193
2021-03-27,30996.820309072802
2021-03-28,41927.75589957002
2021-03-29,48990.215792683055
2021-03-30,33260.62900182297
2021-03-31,43512.9598173128
2021-04-01,36479.99538850192
2021-04-02,47133.0708467338
2021-04-03,34993.06771411664
2021-04-04,43941.92438092434
2021-04-05,43702.83500345276
2021-04-06,42983.525558300666
2021-04-07,43097.73042015899
2021-04-08,53304.175285164725
2021-04-09,44321.633290146725
2021-04-10,29729.252911168966
2021-04-11,33913.82180672593
2021-04-12,36305.102549507596
2021-04-13,54184.513871024355
2021-04-14,85951.07449760319
2021-04-15,69039.73032581316
2021-04-16,61871.21900055759
2021-04-17,41234.960332337505
2021-04-18,129356.26233697448
2021-04-19,112145.7981325306
2021-04-20,87133.80330592781
2021-04-21,63968.99640984025
2021-04-22,117474.34173216863
2021-04-23,137255.36998922884
2021-04-24,74331.82484099158
2021-04-25,143375.38378318353
2021-04-26,376586.9118974737
2021-04-27,571883.9138898854
2021-04-28,656668.8753326711
2021-04-29,607644.2320649775
2021-04-30,776725.3148596524
2021-05-01,736245.2172303657
2021-05-02,658751.6043028281
2021-05-03,535162.0023963697
2021-05-04,543248.9726247995
2021-05-05,333981.2032904124
2021-05-06,320762.15343649057
2021-05-07,437002.1980327725
2021-05-08,263376.78335368185
2021-05-09,395798.5978312081
2021-05-10,390237.52122325613
2021-05-11,341869.9444231648
2021-05-12,659277.8726666633
2021-05-13,653862.855335508
2021-05-14,601127.4639969395
2021-05-15,848389.6761628983
2021-05-16,630455.446516152
2021-05-17,659332.5287675805
