date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,81.28000000000003
2020-05-31,3.990000000000009
2020-06-01,6.180000000000007
2020-06-02,19.839999999999975
2020-06-03,9.370000000000005
2020-06-04,2.0500000000000114
2020-06-05,109.14999999999998
2020-06-06,158.73000000000002
2020-06-07,10.849999999999971
2020-06-08,5.909999999999968
2020-06-09,3.900000000000091
2020-06-10,41.809999999999945
2020-06-11,144.45000000000005
2020-06-12,52.639999999999986
2020-06-13,157.88999999999987
2020-06-14,349.0400000000002
2020-06-15,286.0
2020-06-16,467.87999999999965
2020-06-17,637.44
2020-06-18,487.2600000000002
2020-06-19,1331.3799999999997
2020-06-20,2483.76
2020-06-21,2599.6
2020-06-22,2745.520000000001
2020-06-23,3571.84
2020-06-24,1934.0400000000009
2020-06-25,1998.449999999997
2020-06-26,1192.7900000000025
2020-06-27,2794.579999999998
2020-06-28,695.6499999999994
2020-06-29,643.4000000000005
2020-06-30,537.6600000000014
2020-07-01,269.62999999999755
2020-07-02,926.3300000000017
2020-07-03,2373.2700000000004
2020-07-04,318.7199999999991
2020-07-05,1006.5
2020-07-06,1442.8499999999992
2020-07-07,938.3899999999994
2020-07-08,2463.2000000000016
2020-07-09,661.0
2020-07-10,1314.699999999997
2020-07-11,1210.530000000006
2020-07-12,3228.999999999999
2020-07-13,1051.7299999999952
2020-07-14,304.59999999999945
2020-07-15,589.1400000000006
2020-07-16,536.6000000000023
2020-07-17,1034.5899999999965
2020-07-18,2762.540000000001
2020-07-19,3607.85
2020-07-20,2664.050000000005
2020-07-21,1946.2899999999995
2020-07-22,1637.7499999999977
2020-07-23,3709.260000000001
2020-07-24,762.8999999999994
2020-07-25,2088.6299999999974
2020-07-26,1990.9200000000012
2020-07-27,1869.3500000000029
2020-07-28,3151.279999999999
2020-07-29,1644.7500000000023
2020-07-30,2276.2099999999955
2020-07-31,3816.7700000000013
2020-08-01,3164.939999999998
2020-08-02,2002.4400000000064
2020-08-03,1739.4300000000023
2020-08-04,1469.1199999999908
2020-08-05,4550.940000000005
2020-08-06,9017.269999999999
2020-08-07,3226.2100000000064
2020-08-08,2199.659999999999
2020-08-09,2891.47
2020-08-10,2791.9999999999923
2020-08-11,1841.0800000000017
2020-08-12,824.2400000000052
2020-08-13,1108.0099999999948
2020-08-14,19616.259999999987
2020-08-15,18795.390000000014
2020-08-16,51600.23999999999
2020-08-17,50893.080000000016
2020-08-18,16318.539999999979
2020-08-19,21676.880000000005
2020-08-20,19693.29999999999
2020-08-21,6274.530000000019
2020-08-22,7125.5
2020-08-23,3494.960000000021
2020-08-24,4888.4599999999655
2020-08-25,3900.780000000019
2020-08-26,17682.889999999985
2020-08-27,13482.359999999986
2020-08-28,9225.62000000001
2020-08-29,3912.6500000000187
2020-08-30,7457.809999999953
2020-08-31,24151.680000000048
2020-09-01,14434.26000000001
2020-09-02,30472.539999999983
2020-09-03,24845.980000000025
2020-09-04,6592.730000000011
2020-09-05,12950.640000000014
2020-09-06,6429.699999999986
2020-09-07,7767.010000000018
2020-09-08,10066.369999999926
2020-09-09,33291.17000000004
2020-09-10,25606.02000000002
2020-09-11,18567.489999999907
2020-09-12,22922.87000000004
2020-09-13,24969.48000000005
2020-09-14,17300.78999999992
2020-09-15,8606.080000000047
2020-09-16,24203.790000000037
2020-09-17,36945.669999999984
2020-09-18,41696.96999999997
2020-09-19,10702.480000000047
2020-09-20,15725.399999999907
2020-09-21,4029.1300000000047
2020-09-22,9313.46000000008
2020-09-23,6037.9699999999675
2020-09-24,4227.559999999962
2020-09-25,5021.470000000023
2020-09-26,4947.799999999958
2020-09-27,4400.430000000079
2020-09-28,4199.98999999994
2020-09-29,2382.8500000000467
2020-09-30,9945.089999999962
2020-10-01,5078.960000000052
2020-10-02,10023.97999999993
2020-10-03,8272.709999999986
2020-10-04,10925.970000000041
2020-10-05,4735.7700000000605
2020-10-06,4924.890000000005
2020-10-07,4052.3499999999767
2020-10-08,2036.6500000000233
2020-10-09,6855.939999999962
2020-10-10,1476.8099999999813
2020-10-11,10436.570000000056
2020-10-12,3168.04999999993
2020-10-13,5736.900000000023
2020-10-14,4210.4499999999625
2020-10-15,5852.350000000089
2020-10-16,8644.709999999977
2020-10-17,3967.9199999999814
2020-10-18,3293.66
2020-10-19,5354.79999999993
2020-10-20,50201.060000000056
2020-10-21,13054.559999999949
2020-10-22,12310.670000000042
2020-10-23,10248.999999999925
2020-10-24,10092.750000000122
2020-10-25,1189.0800000000092
2020-10-26,32316.940000000017
2020-10-27,6961.709999999991
2020-10-28,4453.889999999953
2020-10-29,14890.34
2020-10-30,15711.019999999879
2020-10-31,4033.4600000001024
2020-11-01,10099.639999999898
2020-11-02,20601.7100000001
2020-11-03,28765.350000000104
2020-11-04,6360.099999999851
2020-11-05,7779.289999999982
2020-11-06,13020.220000000169
2020-11-07,8278.699999999888
2020-11-08,4568.720000000084
2020-11-09,9933.699999999852
2020-11-10,9552.600000000093
2020-11-11,6559.189999999898
2020-11-12,5585.200000000195
2020-11-13,4135.249999999925
2020-11-14,7626.179999999935
2020-11-15,3498.9900000001303
2020-11-16,12674.449999999888
2020-11-17,12899.869999999963
2020-11-18,20461.029999999944
2020-11-19,14426.530000000019
2020-11-20,3988.150000000056
2020-11-21,21263.260000000075
2020-11-22,5008.309999999935
2020-11-23,16130.09
2020-11-24,14459.100000000093
2020-11-25,8846.319999999889
2020-11-26,19087.530000000123
2020-11-27,3799.409999999888
2020-11-28,6586.380000000065
2020-11-29,11225.660000000074
2020-11-30,11751.18
2020-12-01,15508.509999999813
2020-12-02,15667.14000000001
2020-12-03,9598.060000000158
2020-12-04,5589.189999999916
2020-12-05,14052.289999999963
2020-12-06,9735.130000000121
2020-12-07,7742.95
2020-12-08,3866.5699999998324
2020-12-09,11943.890000000141
2020-12-10,31823.139999999945
2020-12-11,9624.889999999963
2020-12-12,2915.2100000000837
2020-12-13,1911.1900000000464
2020-12-14,7299.769999999972
2020-12-15,21465.789999999946
2020-12-16,97403.09999999989
2020-12-17,37090.42000000012
2020-12-18,22837.929999999804
2020-12-19,11254.360000000177
2020-12-20,5491.4799999999905
2020-12-21,30312.139999999945
2020-12-22,17622.020000000055
2020-12-23,24079.59000000002
2020-12-24,32062.94000000002
2020-12-25,18320.469999999794
2020-12-26,35894.28000000012
2020-12-27,47063.730000000076
2020-12-28,20065.11999999982
2020-12-29,11468.8
2020-12-30,8943.120000000159
2020-12-31,8302.730000000009
2021-01-01,12291.159999999953
2021-01-02,50429.46999999978
2021-01-03,41468.580000000205
2021-01-04,23062.44000000007
2021-01-05,26963.829999999794
2021-01-06,19202.65999999987
2021-01-07,69388.27000000009
2021-01-08,39609.97000000009
2021-01-09,53938.04000000015
2021-01-10,34942.61000000006
2021-01-11,137582.2799999999
2021-01-12,38803.65999999992
2021-01-13,43300.21000000007
2021-01-14,42421.70999999981
2021-01-15,43990.990000000114
2021-01-16,20602.46
2021-01-17,15182.940000000224
2021-01-18,91525.4699999999
2021-01-19,45202.31000000029
2021-01-20,30234.359999999833
2021-01-21,22017.24000000011
2021-01-22,19527.389999999665
2021-01-23,17193.910000000207
2021-01-24,55060.06999999976
2021-01-25,57684.57000000041
2021-01-26,37430.39999999963
2021-01-27,38530.75000000041
2021-01-28,15994.539999999943
2021-01-29,22191.479999999738
2021-01-30,22185.02000000024
2021-01-31,70719.40999999986
2021-02-01,59716.36999999995
2021-02-02,38288.7000000002
2021-02-03,29388.49000000002
2021-02-04,60718.509999999944
2021-02-05,46834.12999999977
2021-02-06,17203.23000000022
2021-02-07,47403.43000000004
2021-02-08,26409.489999999776
2021-02-09,178403.93
2021-02-10,28257.90999999996
2021-02-11,32957.82999999989
2021-02-12,9642.410000000335
2021-02-13,5870.519999999683
2021-02-14,116751.55000000008
2021-02-15,33645.12000000024
2021-02-16,52908.19999999976
2021-02-17,38142.730000000076
2021-02-18,28257.179999999997
2021-02-19,35809.090000000186
2021-02-20,28474.680000000037
2021-02-21,19975.040000000114
2021-02-22,45212.34999999996
2021-02-23,23627.719999999703
2021-02-24,21597.389999999854
2021-02-25,44273.47999999989
2021-02-26,47833.42000000038
2021-02-27,14839.260000000037
2021-02-28,28393.670000000224
2021-03-01,10886.30946581279
2021-03-02,10504.207542015874
2021-03-03,22099.544951110613
2021-03-04,91209.80152774527
2021-03-05,111025.39084444744
2021-03-06,115459.10568307887
