date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-02-27,
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-06,
2021-03-07,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-13,
2021-03-14,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-20,
2021-03-21,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-27,
2021-03-28,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,
2021-04-10,
2021-04-11,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-17,179.9982527647645
2021-04-18,811.0218633790297
2021-04-19,974.1822491291384
2021-04-20,1150.972096765142
2021-04-21,1324.8688822105332
2021-04-22,2192.7701882746733
2021-04-23,11746.024314125087
2021-04-24,6291.095355849963
2021-04-25,9189.243929081233
2021-04-26,19808.07000399557
2021-04-27,17882.903059240623
2021-04-28,34064.137548965926
2021-04-29,17028.677972101952
2021-04-30,33579.75803305438
2021-05-01,29266.660040014536
2021-05-02,23039.3592428538
2021-05-03,27335.677725448153
2021-05-04,44935.485848712284
2021-05-05,36034.27853138657
2021-05-06,51103.58847681298
2021-05-07,32695.027679791176
2021-05-08,47898.65455116194
2021-05-09,42787.0443442661
2021-05-10,45904.58249571733
2021-05-11,48960.63764651098
2021-05-12,66970.48156328345
2021-05-13,73012.49713361506
2021-05-14,68802.23663808162
2021-05-15,47724.682505650715
2021-05-16,61587.18815769986
2021-05-17,60480.210493874685
2021-05-18,63968.46587874585
2021-05-19,178070.0716000694
2021-05-20,60296.07338168396
2021-05-21,62237.803148427076
2021-05-22,53723.02885308848
2021-05-23,68699.31054712234
2021-05-24,51270.26196207295
2021-05-25,43524.94068048517
2021-05-26,30930.51254513749
2021-05-27,21939.52576413791
2021-05-28,23194.966044269986
2021-05-29,12659.289627303082
2021-05-30,12152.45515139758
2021-05-31,15475.142458513503
2021-06-01,12317.891064951265
2021-06-02,19396.996001746025
2021-06-03,24356.004515484507
2021-06-04,22768.637882072115
2021-06-05,17615.657896909626
2021-06-06,11147.051210342068
2021-06-07,23384.257325780993
2021-06-08,22702.811056933522
2021-06-09,16652.572269821158
2021-06-10,11759.62869922733
2021-06-11,14534.350002199844
2021-06-12,14414.405778219521
2021-06-13,15843.83510256418
2021-06-14,20238.926135850805
2021-06-15,18675.46545524931
2021-06-16,16027.442617319288
2021-06-17,23536.644829291992
2021-06-18,22269.640576036745
2021-06-19,19504.41898925146
2021-06-20,16670.126975530926
2021-06-21,27678.036389508787
2021-04-16,
2021-06-22,33955.31537491133
2021-06-23,17919.337704218753
2021-06-24,11566.741082055261
2021-06-25,15242.706573009946
2021-06-26,11341.484140214301
2021-06-27,8743.395800611594
2021-06-28,12178.965172285049
2021-06-29,13398.225476606964
2021-06-30,10781.011189668257
2021-07-01,11169.2840313203
2021-07-02,8954.744533527117
2021-07-03,8632.572031855734
2021-07-04,11792.478523534672
2021-07-05,10933.657883408247
2021-07-06,14812.703456292307
2021-07-07,16272.19952508123
2021-07-08,16735.773271668073
2021-07-09,11242.562317461186
2021-07-10,11524.812522681743
2021-07-11,11143.380105247572
2021-07-12,10888.841273150469
2021-07-13,9858.055582502298
2021-07-14,10390.581072850871
2021-07-15,10217.745930574067
2021-07-16,11154.031144069388
2021-07-17,8505.549196901691
2021-07-18,5945.031320811603
2021-07-19,9682.368730071457
2021-07-20,13875.39613111512
2021-07-21,12648.631115894186
2021-07-22,7522.994467882986
2021-07-23,7017.654974059604
2021-07-24,6191.506517216468
2021-07-25,7319.235302243413
2021-07-26,22460.80093899588
2021-07-27,14186.16001851678
2021-07-28,10427.834037114935
2021-07-29,14555.106451846708
2021-07-30,10044.277616309899
2021-07-31,9174.87316528015
2021-08-01,12019.149005737712
2021-08-02,9634.137385665976
