date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-02-27,
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-06,
2021-03-07,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-13,
2021-03-14,
2021-03-30,0.0
2021-03-28,0.0
2021-04-01,0.0
2021-03-18,0.0
2021-03-19,0.0
2021-04-06,0.0
2021-03-15,0.0
2021-03-29,0.0
2021-04-11,0.0
2021-04-18,0.0
2021-04-20,0.0
2021-04-02,0.0
2021-03-25,0.0
2021-03-27,0.0
2021-04-03,0.0
2021-03-20,0.0
2021-04-10,0.0
2021-04-08,0.0
2021-03-16,0.0
2021-04-17,0.0
2021-03-23,0.0
2021-04-09,0.0
2021-03-17,0.0
2021-04-13,0.0
2021-03-24,0.0
2021-04-04,0.0
2021-04-23,0.0
2021-04-05,0.0
2021-04-12,0.0
2021-04-19,0.0
2021-04-07,0.0
2021-04-16,0.0
2021-03-26,0.0
2021-03-21,0.0
2021-03-31,0.0
2021-03-22,0.0
2021-05-10,0.0
2021-05-07,0.0
2021-05-05,0.0
2021-05-20,0.0
2021-05-17,0.0
2021-05-12,0.0
2021-05-14,0.0
2021-04-30,0.0
2021-05-16,0.0
2021-04-27,0.0
2021-04-22,0.0
2021-05-09,0.0
2021-04-29,0.0
2021-05-22,0.0
2021-05-04,0.0
2021-04-14,0.0
2021-05-15,0.0
2021-05-03,0.0
2021-05-21,0.0
2021-05-01,0.0
2021-05-08,0.0
2021-05-18,0.0
2021-04-25,0.0
2021-05-02,0.0
2021-04-21,0.0
2021-04-28,0.0
2021-05-19,0.0
2021-05-06,0.0
2021-04-15,0.0
2021-04-26,0.0
2021-04-24,0.0
2021-05-23,0.0
2021-05-28,0.0
2021-05-31,0.0
2021-05-13,0.0
2021-06-01,0.0
2021-05-27,0.0
2021-05-26,0.0
2021-05-25,0.0
2021-05-11,0.0
2021-06-02,0.0
2021-05-30,0.0
2021-06-03,0.0
2021-06-04,0.0
2021-05-24,0.0
2021-06-18,0.0
2021-05-29,0.0
2021-06-07,0.0
2021-06-19,0.0
2021-06-06,0.0
2021-06-15,0.0
2021-06-10,0.0
2021-06-09,0.0
2021-06-13,0.0
2021-06-21,0.0
2021-06-11,0.0
2021-06-08,0.0
2021-06-16,0.0
2021-06-20,0.0
2021-06-14,0.0
2021-06-12,0.0
2021-06-17,0.0
2021-06-05,0.0
2021-08-09,663.5935591841275
2021-08-10,4256.870026535113
2021-08-11,3979.108815860869
2021-08-12,2913.8722087683013
2021-08-13,2211.3695396642242
2021-08-14,2459.037233618774
2021-08-15,1798.7885399600789
2021-08-16,4598.6918116817915
2021-08-17,11147.292733490833
2021-08-18,19281.720382789088
2021-08-19,32641.017070794707
2021-08-20,58678.69994508061
2021-08-21,212024.3943196209
2021-08-22,122687.75925826584
2021-08-23,201820.10146024547
2021-08-24,384471.1077764056
2021-08-25,500586.0049075958
2021-08-26,447780.56024264137
2021-08-27,553875.4398702784
2021-08-28,467486.28320906765
2021-08-29,329449.19857404276
2021-08-30,594942.1632293612
2021-08-31,375572.7318978831
2021-09-01,342891.22573655366
2021-09-02,467563.8500957088
2021-09-03,308385.05406857125
2021-09-04,239622.0973776965
2021-09-05,178768.60789868754
2021-09-06,213131.1209059208
2021-09-07,500930.1430654901
2021-09-08,256779.44472584894
2021-09-09,325654.14144923305
2021-09-10,471090.89914206933
2021-09-11,550465.126453949
2021-09-12,663844.5032166182
2021-09-13,613868.1077050901
2021-09-14,341104.13559895445
2021-09-15,353518.6069764985
2021-09-16,632216.1471399143
2021-09-17,535277.3994823529
2021-09-18,602321.2516518858
2021-09-19,626314.9335110923
2021-09-20,1132971.8728576475
2021-09-21,1169646.8043673243
2021-09-22,1012078.7004668782
2021-09-23,50.034158544650076
2021-09-24,97.21013454342184
2021-09-25,90.89453934708172
2021-09-26,72.94407138455935
2021-09-27,185.34392368449625
2021-09-28,164.16694187440547
2021-09-29,254.96708215960746
2021-07-21,0.0
2021-07-16,0.0
