date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-02-27,
2021-02-28,
2021-03-01,
2021-03-03,0.0
2021-03-02,
2021-03-13,0.0
2021-03-11,0.0
2021-03-09,0.0
2021-03-05,0.0
2021-03-10,0.0
2021-03-07,0.0
2021-03-04,0.0
2021-03-12,0.0
2021-03-06,0.0
2021-03-08,0.0
2021-03-22,159.09327246467376
2021-05-29,14.462861088032016
2021-05-30,226.40498948115234
2021-05-31,253.03802506717236
2021-06-01,131.8001777684143
2021-06-02,829.7751076707766
2021-06-03,553.3760835506357
2021-06-04,471.1156216051892
2021-06-05,206.87211480476873
2021-06-06,798.5105154887176
2021-06-07,546.6392181745575
2021-06-08,381.35076824211967
2021-06-09,460.23811693595906
2021-06-10,286.3997144025948
2021-06-11,264.48856303926607
2021-06-12,98.45665286605464
2021-06-13,178.8553739830821
2021-06-14,316.4227907272671
2021-06-15,206.0005831897443
2021-06-16,634.8658825061968
2021-06-17,535.3358351170525
2021-06-18,1054.637867957327
2021-06-19,155.88271131837183
2021-06-20,165.81759044895807
2021-06-21,325.0256385071057
2021-03-18,0.0
2021-03-23,0.0
2021-03-17,0.0
2021-04-08,0.0
2021-03-29,0.0
2021-03-28,0.0
2021-03-16,0.0
2021-03-20,0.0
2021-03-19,0.0
2021-04-04,0.0
2021-03-31,0.0
2021-03-30,0.0
2021-03-27,0.0
2021-04-01,0.0
2021-04-07,0.0
2021-03-25,0.0
2021-03-14,0.0
2021-04-06,0.0
2021-03-15,0.0
2021-03-26,0.0
2021-03-24,0.0
2021-03-21,0.0
2021-04-22,0.0
2021-04-21,0.0
2021-04-29,0.0
2021-05-13,0.0
2021-04-02,0.0
2021-05-23,0.0
2021-04-27,0.0
2021-04-28,0.0
2021-05-14,0.0
2021-04-03,0.0
2021-04-24,0.0
2021-05-10,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-04-11,0.0
2021-04-12,0.0
2021-05-20,0.0
2021-04-26,0.0
2021-04-14,0.0
2021-04-19,0.0
2021-04-17,0.0
2021-05-03,0.0
2021-05-01,0.0
2021-05-02,0.0
2021-04-05,0.0
2021-05-11,0.0
2021-05-08,0.0
2021-05-04,0.0
2021-04-15,0.0
2021-05-17,0.0
2021-05-05,0.0
2021-04-09,0.0
2021-05-12,0.0
2021-05-07,0.0
2021-05-15,0.0
2021-04-13,0.0
2021-04-20,0.0
2021-04-23,0.0
2021-04-18,0.0
2021-04-25,0.0
2021-05-09,0.0
2021-04-10,
2021-04-16,0.0
2021-05-25,0.0
2021-05-21,0.0
2021-05-19,0.0
2021-04-30,0.0
2021-05-24,0.0
2021-05-28,0.0
2021-05-16,0.0
2021-05-22,0.0
2021-05-18,0.0
2021-05-06,0.0
2021-06-22,293.37754471029814
2021-06-23,134.92757073254901
2021-06-24,154.9906985057043
2021-06-25,824.6497435304857
2021-06-26,458.8280449788234
2021-06-27,236.00049592022867
2021-06-28,203.29760560110688
2021-06-29,510.2174383035487
2021-06-30,232.2268381308783
2021-07-01,170.29671189623633
2021-07-02,338.4609638773468
2021-07-03,133.17737875361544
2021-07-04,287.06189955867603
2021-07-05,139.15267273859797
2021-07-06,124.6902843751981
2021-07-07,124.15542771418257
2021-07-08,260.609163235773
2021-07-09,121.54770197227879
2021-07-10,131.36384473695594
2021-07-11,218.26553929303117
2021-07-12,312.5305237626699
2021-07-13,224.81247421559374
2021-07-14,204.67339218166944
2021-07-15,286.3348203734216
2021-07-16,182.0279377752819
2021-07-17,136.7927910159533
2021-07-18,176.5227512521026
2021-07-19,186.35181232766
2021-07-20,271.22729342130685
2021-07-21,104.41019818315725
2021-07-22,135.43474902803962
2021-07-23,68.28091255521097
2021-07-24,153.0513473674886
2021-07-25,177.77878300336278
2021-07-26,272.06472567688905
2021-07-27,208.92913724702507
2021-07-28,344.1536007461375
2021-07-29,595.8558279736587
2021-07-30,283.0660659192566
2021-07-31,281.9652479769514
2021-08-01,303.9695164862213
2021-08-02,192.49696532801997
2021-08-03,858.7358463650786
2021-08-04,5015.449272954767
2021-08-05,306.10089189581373
