date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,108871.75872862074
2020-09-10,821046.7815817958
2020-09-11,622530.539425346
2020-09-12,605749.4089619552
2020-09-13,518486.5181090447
2020-09-14,465212.05031660944
2020-09-15,590858.7884057314
2020-09-16,457856.59848863306
2020-09-17,363828.5445971426
2020-09-18,235064.7960739508
2020-09-19,248836.58734260983
2020-09-20,185007.7432405019
2020-09-21,246216.691725694
2020-09-22,138066.87082028514
2020-09-23,169153.72658042068
2020-09-24,160958.49633344283
2020-09-25,124280.34169495796
2020-09-26,99016.09236003573
2020-09-27,114160.74258361758
2020-09-28,91341.35083190692
2020-09-29,238834.33163278186
2020-09-30,146291.2304095653
2020-10-01,168735.47152836548
2020-10-02,173343.189533977
2020-10-03,78244.73508943722
2020-10-04,147347.17496444608
2020-10-05,82596.9090308647
2020-10-06,120094.540359408
2020-10-07,159042.28971731124
2020-10-08,162967.02302585568
2020-10-09,120199.8849913319
2020-10-10,82241.98346200398
2020-10-11,84664.67746721067
2020-10-12,75517.70998013206
2020-10-13,48336.08994391719
2020-10-14,69061.7481039729
2020-10-15,59730.038119487945
2020-10-16,60122.34228659899
2020-10-17,36416.53378886589
2020-10-18,54242.12060642285
2020-10-19,50114.296700319566
2020-10-20,63991.435711673184
2020-10-21,77029.50951659122
2020-10-22,73938.57361329484
2020-10-23,48263.979843290304
2020-10-24,34729.13879501294
2020-10-25,34391.67970129217
2020-10-26,76468.37449953555
2020-10-27,66273.98006466994
2020-10-28,77888.95393466414
2020-10-29,75855.54265684543
2020-10-30,88390.12452021522
2020-10-31,42897.35783620298
2020-11-01,43725.352054800875
2020-11-02,43602.74435116687
2020-11-03,58111.013232399244
2020-11-04,67914.59644160654
2020-11-05,122531.93029298558
2020-11-06,136274.23563124202
2020-11-07,230416.38247282323
2020-11-08,93448.46643141613
2020-11-09,77876.69806170951
2020-11-10,107455.9342453058
2020-11-11,107708.28825451937
2020-11-12,81672.19121922579
2020-11-13,122459.46617455943
2020-11-14,119820.43159179456
2020-11-15,189803.2064013906
2020-11-16,163970.4079388462
2020-11-17,220876.20165317514
2020-11-18,321227.6880592377
2020-11-19,248117.20821197302
2020-11-20,309735.96983648784
2020-11-21,417065.6626698276
2020-11-22,498738.2907239703
2020-11-23,277903.504923898
2020-11-24,310348.63313930354
2020-11-25,242945.171546464
2020-11-26,670797.4531182267
2020-11-27,210252.5198955462
2020-11-28,129914.70355323674
2020-11-29,112914.31641713287
2020-11-30,253813.8873602414
2020-12-01,419135.75431187666
2020-12-02,292750.8230576882
2020-12-03,216313.17276679396
2020-12-04,241771.00403000932
2020-12-05,223949.6462511698
2020-12-06,171331.3854692528
2020-12-07,159462.59510175363
2020-12-08,283877.7541407785
2020-12-09,226016.79602712192
2020-12-10,200969.04313977945
2020-12-11,209021.38227457067
2020-12-12,135517.81489113593
2020-12-13,131124.0098868473
2020-12-14,134480.78362925324
2020-12-15,189216.05862874386
2020-12-16,281091.29885945603
2020-12-17,437880.2883216135
2020-12-18,220101.33788202555
2020-12-19,223306.31276987866
2020-12-20,181334.775661398
2020-12-21,271813.6340130027
2020-12-22,277480.36330699077
2020-12-23,588860.8149214773
2020-12-24,508779.29320088186
2020-12-25,259603.24201404257
2020-12-26,293514.44230219827
2020-12-27,556975.1507603753
2020-12-28,596080.3655904784
2020-12-29,392486.4506953848
2020-12-30,511854.9594823117
2020-12-31,388304.843932775
2021-01-01,469767.86870452
2021-01-02,564659.8711373636
2021-01-03,1285684.5654868847
2021-01-04,1743124.317312641
2021-01-05,1480322.0193943572
2021-01-06,1404258.008032589
2021-01-07,1433539.422637924
2021-01-08,1807280.8678685029
2021-01-09,1058064.1369117796
2021-01-10,1030384.6082710279
2021-01-11,2134404.3237661324
2021-01-12,997634.1517805166
2021-01-13,868646.8222464913
2021-01-14,829222.0259217194
2021-01-15,1225114.175341133
2021-01-16,1011658.0612310001
2021-01-17,862251.7633194829
2021-01-18,783161.7326520665
2021-01-19,1476243.6712611774
2021-01-20,1030232.3097738448
2021-01-21,1369576.963773918
2021-01-22,1165840.0266068408
2021-01-23,918948.8752867978
2021-01-24,1009735.0142989701
2021-01-25,1582508.7956884492
2021-01-26,1275556.9954675331
2021-01-27,1139468.3902490675
2021-01-28,947928.1946310286
2021-01-29,1886602.7403311592
2021-01-30,1139408.3451103005
2021-01-31,1212367.0166780725
2021-02-01,1251334.1547943025
2021-02-02,1461384.3266967717
2021-02-03,1231370.0297034609
2021-02-04,2123257.122020944
2021-02-05,1655131.0716592863
2021-02-06,1646968.424657297
2021-02-07,1242764.3050664251
2021-02-08,1623416.296967163
2021-02-09,1403781.1119815984
2021-02-10,1690368.2881031274
2021-02-11,1123760.8988645687
2021-02-12,1266714.2708107135
2021-02-13,1365640.2391055378
2021-02-14,976826.5160844249
2021-02-15,1797993.4603350135
2021-02-16,1038839.015073115
2021-02-17,1342906.9014909079
2021-02-18,1051014.7469337215
2021-02-19,1427064.318177934
2021-02-20,1985057.4502300103
2021-02-21,1033903.0737090448
2021-02-22,2529485.639705114
2021-02-23,3833150.834643059
2021-02-24,1561392.2572520555
2021-02-25,1153608.5461477397
2021-02-26,1575656.357123822
2021-02-27,1105281.4035109216
2021-02-28,1669070.3642029974
2021-03-01,1236843.4354074425
2021-03-02,1505687.3447414243
2021-03-03,1041040.8540484386
2021-03-04,1148417.667710948
2021-03-05,1061464.20738741
2021-03-06,864228.0355170622
2021-03-07,868811.5111882946
2021-03-08,989651.6839486785
2021-03-09,1240591.2596057958
2021-03-10,853942.6574157876
2021-03-11,909495.1852184279
2021-03-12,843228.7210985643
2021-03-13,1256757.3668563466
2021-03-14,854799.7238425349
2021-03-15,909970.1186129601
2021-03-16,780559.5416863713
2021-03-17,789942.9559836208
2021-03-18,673112.7243464219
2021-03-19,712338.9237494778
2021-03-20,525431.5448217585
2021-03-21,873047.1985919499
2021-03-22,1055081.2302185183
2021-03-23,1055102.974176411
2021-03-24,1267798.0231923333
2021-03-25,1095024.5569485931
2021-03-26,804051.8472201448
2021-03-27,564675.2839874419
2021-03-28,587210.0803212804
2021-03-29,865103.0268739857
2021-03-30,679719.3952707147
2021-03-31,969070.2570232123
2021-04-01,833786.5347731833
2021-04-02,942588.8910137665
2021-04-03,1186611.8175233044
2021-04-04,720420.8372607362
2021-04-05,732113.7041317484
2021-04-06,910120.8255846088
2021-04-07,1133161.6697829731
2021-04-08,836991.5453367489
2021-04-09,718584.2815039892
2021-04-10,818043.4989914995
2021-04-11,654274.067129619
2021-04-12,943191.4264340927
2021-04-13,998617.649956525
2021-04-14,1386727.3935731463
2021-04-15,1232371.308662876
2021-04-16,1138771.6150011332
2021-04-17,807891.103478698
2021-04-18,2571199.043524782
2021-04-19,1279325.4128711564
