date,fee
2020-05-20,
2020-05-23,
2020-05-22,
2020-05-18,
2020-06-13,
2020-05-25,
2020-05-31,
2020-05-21,
2020-05-19,
2020-05-27,
2020-06-02,
2020-05-24,
2020-06-17,
2020-06-01,
2020-06-07,
2020-05-29,
2020-06-18,
2020-05-26,
2020-06-09,
2020-06-03,
2020-06-04,
2020-06-08,
2020-05-30,
2020-06-12,
2020-06-11,
2020-06-23,
2020-06-10,
2020-06-20,
2020-06-05,
2020-06-06,
2020-06-22,
2020-06-24,
2020-06-14,
2020-06-19,
2020-06-16,
2020-06-15,
2020-06-28,
2020-06-21,
2020-06-29,
2020-06-26,
2020-06-25,
2020-05-28,
2020-07-10,
2020-07-06,
2020-07-01,
2020-06-27,
2020-07-11,
2020-07-08,
2020-07-12,
2020-07-07,
2020-07-04,
2020-07-05,
2020-06-30,
2020-07-02,
2020-07-09,
2020-07-03,
2020-07-14,
2020-07-21,
2020-07-18,
2020-07-22,
2020-07-13,
2020-07-24,
2020-07-29,
2020-07-25,
2020-07-23,
2020-07-15,
2020-07-16,
2020-07-28,
2020-08-07,
2020-08-02,
2020-08-05,
2020-07-27,
2020-07-31,
2020-07-19,
2020-08-06,
2020-08-01,
2020-07-26,
2020-07-20,
2020-07-30,
2020-08-08,
2020-07-17,
2020-08-04,
2020-08-03,
2020-08-19,
2020-08-09,
2020-08-17,
2020-08-13,
2020-08-15,
2020-08-12,
2020-08-10,
2020-08-21,
2020-08-18,
2020-08-23,
2020-08-11,
2020-08-16,
2020-08-14,
2020-08-24,
2020-08-20,
2020-08-22,
2020-08-25,
2020-10-03,0.2207987157
2020-10-04,22.211085639
2020-10-05,57.33143711
2020-10-06,1279.515164122
2020-10-07,293.119251144
2020-10-08,54.685889103
2020-10-09,18756.753572644
2020-10-10,750.041718061
2020-10-11,156.252852912
2020-10-12,1324.882101893
2020-10-13,214.620682697
2020-10-14,114.651505922
2020-10-15,610.653837499
2020-10-16,92.511223748
2020-10-17,38.489162137
2020-10-18,465.638078984
2020-10-19,274.178541079
2020-10-20,142.391138077
2020-10-21,48.558677984
2020-10-22,828.591535903
2020-10-23,1312.472936267
2020-10-24,32.827317348
2020-10-25,49.497115506
2020-10-26,808.913775046
2020-10-27,1362.985171973
2020-10-28,1966.25740674
2020-10-29,1429.682189055
2020-10-30,1336.679246495
2020-10-31,27786.429475152
2020-11-01,481.247019462
2020-11-02,15166.67163661
2020-11-03,3059.059543736
2020-11-04,27523.648192729
2020-11-05,2682.168756671
2020-11-06,36765.853061551
2020-11-07,17.297502257
2020-11-08,22.536381621
2020-11-09,1039.493767948
2020-11-10,1221.668231225
2020-11-11,1621.009613275
2020-11-12,17732.960825955
2020-11-13,17706.453143199
2020-11-14,150.074066259
2020-11-15,116.39683924
2020-11-16,4022.424008407
2020-11-17,8207.007271759
2020-11-18,15148.065981722
2020-11-19,3737.064284107
2020-11-20,8685.370767415
2020-11-21,17.727927507
2020-11-22,6763.430833201
2020-11-23,9494.089126205
2020-11-24,10194.86960189
2020-11-25,3525.137160471
2020-11-26,10379.747947059
2020-11-27,11650.569150019
2020-11-28,22.016797197
2020-11-29,70.323216871
2020-11-30,2799.263849664
2020-12-01,2614.147695682
2020-12-02,23448.675166917
2020-12-03,284751.191578725
2020-09-03,
2020-08-26,
2020-09-06,
2020-08-29,
2020-09-14,
2020-09-07,
2020-08-28,
2020-09-10,
2020-09-09,
2020-09-13,
2020-09-01,
2020-09-08,
2020-09-26,
2020-09-15,
2020-09-17,
2020-08-30,
2020-09-12,
2020-09-11,
2020-08-27,
2020-09-04,
2020-09-20,
2020-09-18,
2020-09-22,
2020-09-21,
2020-09-19,
2020-09-05,
2020-10-02,
2020-09-24,
2020-09-02,
2020-08-31,
2020-09-23,
2020-09-25,
2020-09-27,
2020-09-16,
2020-09-29,
2020-09-28,
2020-10-01,
2020-09-30,
2020-12-04,15817.676944982
2020-12-05,25636.656048038
2020-12-06,17706.363902778
2020-12-07,35477.870157107
2020-12-08,26114.978916009
2020-12-09,691.5023638
2020-12-10,24286.424049619
2020-12-11,42501.192881593
2020-12-12,247.154637908
2020-12-13,412.442588868
2020-12-14,288.941590375
2020-12-15,244.978302182
2020-12-16,10689.391933185
2020-12-17,10732.288732886
2020-12-18,6767.051237048
2020-12-19,511.734111324
2020-12-20,629.904369136
2020-12-21,6963.330962988
2020-12-22,1512.928449612
2020-12-23,19199.966728608
2020-12-24,21490.734314288
2020-12-25,1246.935816976
2020-12-26,1192.435489966
2020-12-27,1519.227476831
2020-12-28,14628.845709983
2020-12-29,23337.137806402
2020-12-30,28813.681839993
2020-12-31,5654.012784765
2021-01-01,531.247953384
2021-01-02,413.641796808
2021-01-03,4035.578409236
2021-01-04,7748.762944367
2021-01-05,7685.560144135
2021-01-06,1880.33643147
2021-01-07,8854.882413589
2021-01-08,3710.740432917
2021-01-09,3448.542191761
2021-01-10,2698.615515857
2021-01-11,10774.778384463
2021-01-12,31862.419169087
2021-01-13,1105.691172143
2021-01-14,1087.625913749
2021-01-15,1004.442822103
2021-01-16,507.79757028
2021-01-17,453.972830334
2021-01-18,318.989803633
2021-01-19,2159.78895665
2021-01-20,10753.803275909
2021-01-21,26879.704841473
2021-01-22,35522.574226267
2021-01-23,25728.792379138
2021-01-24,5589.494648952
2021-01-25,82623.196466133
2021-01-26,18728.008613549
2021-01-27,26755.768550225
2021-01-28,150982.301097568
2021-01-29,62402.860227756
2021-01-30,29587.675076481
2021-01-31,3833.277551417
2021-02-01,30217.544261504
2021-02-02,7763.084980151
2021-02-03,15035.84731033
2021-02-04,15306.318635577
2021-02-05,33977.4961292
2021-02-06,17936.748028172
2021-02-07,20741.989835757
2021-02-08,369622.526441398
2021-02-09,1097410.67847219
2021-02-10,964116.85890364
2021-02-11,2599207.33622959
2021-02-12,3599225.49333745
2021-02-13,3668363.12771605
2021-02-14,2687040.64297885
2021-02-15,1287563.09108117
2021-02-16,1350099.39044463
2021-02-17,1670207.5134678
2021-02-18,887679.170749851
2021-02-19,861820.432617351
2021-02-20,1201693.65454337
2021-02-21,1391577.47014293
2021-02-22,1893282.14715636
2021-02-23,500115.281356906
2021-02-24,346120.121606201
2021-02-25,925427.821880954
2021-02-26,651323.424907816
2021-02-27,442553.962193837
2021-02-28,445200.448200226
2021-03-01,108708.536539606
2021-03-02,27972.62637635
2021-03-03,684239.033113652
2021-03-04,662354.082431135
2021-03-05,356310.159516584
2021-03-06,108404.2112474
2021-03-07,109061.225730224
2021-03-08,281949.746291119
2021-03-09,1548763.47010644
2021-03-10,1339932.98550973
2021-03-11,1504968.41941794
2021-03-12,2736480.13368582
2021-03-13,1993618.59219702
2021-03-14,1737109.7529556
2021-03-15,1781413.3409836
2021-03-16,2898017.62381979
2021-03-17,6318495.88090496
2021-03-18,3912620.91887209
2021-03-19,1906062.43182905
2021-03-20,958984.567206367
2021-03-21,962328.660339925
2021-03-22,954151.252670278
2021-03-23,997178.521101832
2021-03-24,749110.456290058
2021-03-25,622390.082193643
2021-03-26,1532035.79248475
2021-03-27,1570990.84115232
2021-03-28,1654736.9978406
2021-03-29,720017.941451406
2021-03-30,578587.687541624
2021-03-31,630259.570797959
2021-04-01,606536.154735706
2021-04-02,351515.935704235
2021-04-03,258818.341811739
2021-04-04,107595.075668371
2021-04-05,378609.00091431
2021-04-06,288443.793808069
2021-04-07,319809.64015094
2021-04-08,128892.921639774
2021-04-09,134922.966206961
2021-04-10,55636.37401265
2021-04-11,247007.941007363
2021-04-12,123807.735909484
2021-04-13,145032.816106781
2021-04-14,162945.116341882
2021-04-15,131737.838885637
2021-04-16,59361.995989357
2021-04-17,30951.003793337
2021-04-18,85735.472894928
2021-04-19,208110.686457337
2021-04-20,115070.952171171
2021-04-21,111434.3834396
2021-04-22,171611.068228216
2021-04-23,187037.642785974
2021-04-24,40322.897614431
2021-04-25,87490.23963091
2021-04-26,346792.896534142
2021-04-27,680971.503339758
2021-04-28,372255.807148704
2021-04-29,382623.782062824
2021-04-30,183945.013294758
2021-05-01,98648.706392534
2021-05-02,4688.192599514
2021-05-03,106502.762883315
2021-05-04,118548.602327063
2021-05-05,113677.019633499
2021-05-06,307443.161009071
2021-05-07,562542.270822719
2021-05-08,225169.439499452
2021-05-09,40037.896221507
2021-05-10,132257.175348056
2021-05-11,202543.710848125
2021-05-12,269872.750888924
2021-05-13,84853.720343912
2021-05-14,35103.927603699
2021-05-15,14474.837793215
2021-05-16,17842.191711333
2021-05-17,67766.448818938
2021-05-18,85309.252683705
2021-05-19,495776.754701484
2021-05-20,123857.935972637
2021-05-21,136991.160404073
2021-05-22,279959.850212163
2021-05-23,1464220.50656801
2021-05-24,2001239.46471522
2021-05-25,1518458.45525473
2021-05-26,250170.620772074
2021-05-27,763628.559750887
2021-05-28,188481.550258975
2021-05-29,52111.268892947
2021-05-30,38844.602543975
2021-05-31,52878.551860257
2021-06-01,35000.707199363
2021-06-02,39142.047803425
2021-06-03,930327.757800023
2021-06-04,52007.650954089
2021-06-05,42758.510098542
2021-06-06,63211.539006964
2021-06-07,45782.253070621
2021-06-08,38314.229706328
2021-06-09,46570.409410337
2021-06-10,12691.511606332
2021-06-11,16432.609379436
2021-06-12,15591.028900206
2021-06-13,8830.736984781
2021-06-14,11025.207008183
2021-06-15,29136.279645636
2021-06-16,13214.532874578
2021-06-17,4060.207414343
2021-06-18,87909.632159449
2021-06-19,6439.567050484
2021-06-20,7981.211854145
2021-06-21,19226.046996898
2021-06-22,33701.498966634
2021-06-23,15950.763187092
2021-06-24,16759.765818835
2021-06-25,11496.000492493
2021-06-26,16062.861249945
2021-06-27,6690.522458379
2021-06-28,15701.523273771
2021-06-29,11769.351367723
2021-06-30,15501.665374502
2021-07-01,7922.926602103
2021-07-02,95563.57371421
2021-07-03,5518.502682794
2021-07-04,4559.306997368
2021-07-05,6204.322343554
2021-07-06,19893.250578155
2021-07-07,70365.292841446
2021-07-08,143003.650587371
2021-07-09,19444.99471254
2021-07-10,11809.556936152
2021-07-11,6978.783703354
2021-07-12,21284.866877215
2021-07-13,13318.849535873
2021-07-14,315540.535484982
2021-07-15,11122.796445461
2021-07-16,52997.764074125
2021-07-17,6132.126029839
2021-07-18,9931.339455229
2021-07-19,23810.30684552
2021-07-20,15980.821315784
2021-07-21,14031.317645848
2021-07-22,69062.473005819
2021-07-23,56047.68677765
2021-07-24,32486.917387248
2021-07-25,8962.855812395
2021-07-26,29101.396090922
2021-07-27,76567.962470104
2021-07-28,50940.675137906
2021-07-29,46026.495282358
2021-07-30,44455.761786044
2021-07-31,10222.172728242
2021-08-01,26716.226067688
2021-08-02,65949.831991586
2021-08-03,63233.610087594
2021-08-04,53045.785053728
2021-08-05,8634.705349895
2021-08-06,173616.866973033
2021-08-07,14883.073541643
2021-08-08,23269.28825943
2021-08-09,123957.136475924
2021-08-10,109888.721668496
2021-08-11,226231.620186717
2021-08-12,88043.303959215
2021-08-13,24077.54131759
2021-08-14,18626.387145912
2021-08-15,41677.805273787
2021-08-16,612865.203481992
2021-08-17,754436.299208989
2021-08-18,467414.887088597
2021-08-19,593386.369064209
2021-08-20,281114.017862476
2021-08-21,72665.135052755
2021-08-22,508485.556243782
2021-08-23,117399.433744636
2021-08-24,224548.064442004
2021-08-25,187916.760942699
2021-08-26,242681.053083643
2021-08-27,124097.194427411
2021-08-28,140643.767234323
2021-08-29,60306.327413463
2021-08-30,366370.48373406
2021-08-31,186353.655110312
2021-09-01,294806.301901703
2021-09-02,363934.199228599
2021-09-03,81891.689213135
2021-09-04,15953.155855235
2021-09-05,63335.553026055
2021-09-06,88277.06432337
2021-09-07,541388.819733458
2021-09-08,284255.733169376
2021-09-09,299999.778990786
2021-09-10,767949.54360033
2021-09-11,281947.107944837
2021-09-12,74263.309756325
2021-09-13,263053.123993857
2021-09-14,198277.171901888
2021-09-15,240538.150158591
2021-09-16,80390.988335075
2021-09-17,210541.423313118
2021-09-18,62525.763463777
2021-09-19,66612.847136704
2021-09-20,717122.434504225
2021-09-21,340302.261905574
2021-09-22,163278.914643531
2021-09-23,155277.813363389
2021-09-24,239891.30532788
2021-09-25,71486.938751519
2021-09-26,122470.065565191
2021-09-27,142001.687481036
2021-09-28,164618.797969612
2021-09-29,196804.077550132
2021-09-30,169207.283568124
2021-10-01,81393.125383149
2021-10-02,102210.948252438
2021-10-03,196784.828540654
2021-10-04,199402.969008331
2021-10-05,182393.553066807
2021-10-06,221108.471908108
2021-10-07,402985.787451833
2021-10-08,417408.760465124
2021-10-09,188981.515895496
2021-10-10,78520.007275972
2021-10-11,120705.533660972
2021-10-12,278444.341418377
2021-10-13,102250.808272445
2021-10-14,71795.788162335
2021-10-15,113677.348918851
2021-10-16,36849.776905162
2021-10-17,18858.084014007
2021-10-18,75935.956686378
2021-10-19,46557.234663812
2021-10-20,66787.062115094
2021-10-21,67820.958806592
2021-10-22,181580.661144349
2021-10-23,209695.80835879
2021-10-24,52892.851257678
2021-10-25,94224.842617096
2021-10-26,147332.990723104
2021-10-27,495130.145052192
2021-10-28,249241.175860068
2021-10-29,235308.698180986
