date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,56.117051283
2020-11-14,139.638972273
2020-11-15,129.736457076
2020-11-16,253.19053896900002
2020-11-17,194.574578757
2020-11-18,182.396632329
2020-11-19,121.243882209
2020-11-20,177.61306785
2020-11-21,48.486008385
2020-11-22,749.764781253
2020-11-23,473.044672338
2020-11-24,347.692368462
2020-11-25,362.196918801
2020-11-26,504.060340029
2020-11-27,560.7212180490001
2020-11-28,19.496249994
2020-11-29,45.944211858
2020-11-30,337.97307328799997
2020-12-01,184.899413823
2020-12-02,158.476067715
2020-12-03,4461.9968572200005
2020-12-04,11807.290685853
2020-12-05,9014.639653752001
2020-12-06,6495.660183711
2020-12-07,16971.051002733
2020-12-08,6884.4381446219995
2020-12-09,8735.035319445
2020-12-10,11169.437448228
2020-12-11,9536.827113927
2020-12-12,3883.394808417
2020-12-13,3422.953658553
2020-12-14,10016.741154003
2020-12-15,5694.0850973100005
2020-12-16,6545.555261028
2020-12-17,6557.316727110001
2020-12-18,6378.171346104
2020-12-19,3053.368238058
2020-12-20,2674.207231656
2020-12-21,8126.485727601
2020-12-22,7533.9516739890005
2020-12-23,7952.376686544
2020-12-24,8657.038071558001
2020-12-25,3947.1697667969997
2020-12-26,2493.7090044330002
2020-12-27,4771.175400411
2020-12-28,7670.8387050989995
2020-12-29,18833.051479029
2020-12-30,12559.713199683001
2020-12-31,17221.026400487997
2021-01-01,4342.42598088
2021-01-02,2830.877069013
2021-01-03,11946.971963087999
2021-01-04,24441.890265510003
2021-01-05,7125.008709414001
2021-01-06,5468.997680949
2021-01-07,23845.614898215
2021-01-08,9631.056185286
2021-01-09,5393.098013367001
2021-01-10,5233.671111414001
2021-01-11,10939.408690017
2021-01-12,8361.30322161
2021-01-13,7669.101290577
2021-01-14,13112.29941915
2021-01-15,8635.548404837999
2021-01-16,5416.557304245
2021-01-17,5191.381981371001
2021-01-18,4868.46486309
2021-01-19,15991.682519289
2021-01-20,14630.891081748001
2021-01-21,12466.030695147
2021-01-22,24749.739118941
2021-01-23,15475.799745345
2021-01-24,10816.075935888
2021-01-25,30748.5857565
2021-01-26,34007.749513623
2021-01-27,52005.259825788
2021-01-28,54850.591585056
2021-01-29,48332.235219741
2021-01-30,26720.574628404
2021-01-31,42798.07268451
2021-02-01,80987.887931979
2021-02-02,74305.50074280001
2021-02-03,59683.629206457
2021-02-04,37323.285176822996
2021-02-05,55491.897598875
2021-02-06,30229.391957337
2021-02-07,23114.068760397
2021-02-08,110754.50425638299
2021-02-09,50268.523432011
2021-02-10,65515.481645691005
2021-02-11,50164.701254901
2021-02-12,44726.767234683
2021-02-13,28357.478174517
2021-02-14,20391.005017821
2021-02-15,30337.614566181
2021-02-16,71378.67284805301
2021-02-17,44896.477096704
2021-02-18,56433.722792127
2021-02-19,42944.807800956
2021-02-20,56204.685850971
2021-02-21,47575.245418833
2021-02-22,108047.83374602701
2021-02-23,111085.692582207
2021-02-24,79043.699875791
2021-02-25,93190.36138933501
2021-02-26,79733.608369161
2021-02-27,26436.513565833
2021-02-28,39673.752570996
2021-03-01,65483.559837603
2021-03-02,61084.711515582
2021-03-03,78771.332922021
2021-03-04,100854.82934675399
2021-03-05,103912.90738812
2021-03-06,42523.621434123
2021-03-07,41149.863613643996
2021-03-08,127429.693720845
2021-03-09,108850.586258505
2021-03-10,122510.27769033599
2021-03-11,81415.570126278
2021-03-12,116998.790581101
2021-03-13,41572.056632541
2021-03-14,43241.365291095004
2021-03-15,187042.583563395
2021-03-16,112742.414076651
2021-03-17,721266.9415930441
2021-03-18,268747.95505895105
2021-03-19,351257.951171691
2021-03-20,116372.17617603301
2021-03-21,109779.679538544
2021-03-22,222443.136181131
2021-03-23,199717.624666878
2021-03-24,215704.729019016
2021-03-25,176254.725443241
2021-03-26,152072.360965314
2021-03-27,44488.920960045
2021-03-28,67473.32216649
2021-03-29,184901.549352612
2021-03-30,126040.62049385099
2021-03-31,108289.81427132401
2021-04-01,131060.675632806
2021-04-02,80222.039362401
2021-04-03,70794.225362709
2021-04-04,59392.181712093
2021-04-05,184534.857207429
2021-04-06,190665.481327785
2021-04-07,175000.196946882
2021-04-08,115165.166299902
2021-04-09,179020.950819951
2021-04-10,90549.106835433
2021-04-11,79664.66454606
2021-04-12,196718.490612024
2021-04-13,117540.530088015
2021-04-14,95778.818264466
2021-04-15,78215.79404682001
2021-04-16,76012.03087890001
2021-04-17,71578.747592232
2021-04-18,246554.949726699
2021-04-19,274667.191901478
2021-04-20,157672.19214761403
2021-04-21,160041.029428695
2021-04-22,184577.388412431
2021-04-23,154287.62599540202
2021-04-24,76998.11075207099
2021-04-25,111756.530039565
2021-04-26,167173.930389405
2021-04-27,154002.271960494
2021-04-28,128016.08871979499
2021-04-29,134758.34891484
2021-04-30,178208.213198913
2021-05-01,49867.20704049
2021-05-02,48020.393838396005
2021-05-03,212026.629620181
2021-05-04,205707.402681585
2021-05-05,120374.41616583
2021-05-06,149165.688790437
2021-05-07,140259.22131194102
2021-05-08,45104.216764089004
2021-05-09,75932.844376668
2021-05-10,215054.640823518
2021-05-11,201374.961378471
2021-05-12,209127.891616143
2021-05-13,270571.716948864
2021-05-14,139536.228108507
2021-05-15,64388.348898798
2021-05-16,78836.37659790601
2021-05-17,229293.263127645
2021-05-18,197904.72381917998
2021-05-19,699095.751446847
2021-05-20,519670.092458568
2021-05-21,371941.379016354
2021-05-22,316346.788782609
2021-05-23,556795.03354884
2021-05-24,401557.60848820204
2021-05-25,269276.775892953
2021-05-26,228310.406686296
2021-05-27,188137.903087296
2021-05-28,193816.547789742
2021-05-29,84144.260872083
2021-05-30,63955.354947069
2021-05-31,78419.191654377
2021-06-01,124758.820878585
2021-06-02,118687.814956284
