date,fee
2020-05-18,0.0
2020-05-19,114.13824838721436
2020-05-20,752.6069359227339
2020-05-21,1452.742522070395
2020-05-22,1037.3976294754855
2020-05-23,891.563957056212
2020-05-24,1777.7232562722354
2020-05-25,779.9929306377189
2020-05-26,1024.863136770869
2020-05-27,873.253269156344
2020-05-28,1771.7999856875065
2020-05-29,4527.410207122828
2020-05-30,3733.907987023414
2020-05-31,3364.291694571594
2020-06-01,3954.857623487798
2020-06-02,5700.966807242874
2020-06-03,3117.319184864553
2020-06-04,3327.9121060133148
2020-06-05,2849.54548159933
2020-06-06,2887.6808870111117
2020-06-07,3941.8424998327237
2020-06-08,5006.885611172943
2020-06-09,9472.305684186063
2020-06-10,7401.692565109387
2020-06-11,14517.286429667001
2020-06-12,4739.220860895883
2020-06-13,4256.615720459046
2020-06-14,3673.5779495010725
2020-06-15,14876.449743624291
2020-06-16,9495.747364071925
2020-06-17,153560.10008275518
2020-06-18,90473.90821768623
2020-06-19,93998.41531588652
2020-06-20,18830.330432300503
2020-06-21,35233.935782047774
2020-06-22,37604.785590685926
2020-06-23,34107.95124243888
2020-06-24,31243.72488570673
2020-06-25,44517.33168966393
2020-06-26,35527.30679436627
2020-06-27,37433.504247887045
2020-06-28,21726.67999133771
2020-06-29,31087.926522690614
2020-06-30,29697.337630767677
2020-07-01,39705.478140358064
2020-07-02,45145.372063093804
2020-07-03,39459.6241879502
2020-07-04,27217.506495599657
2020-07-05,23490.481509521098
2020-07-06,30688.617669250718
2020-07-07,26443.76869234936
2020-07-08,40132.68475340815
2020-07-09,48922.704338669224
2020-07-10,45549.94919295676
2020-07-11,50927.08695311861
2020-07-12,72726.24772558162
2020-07-13,123382.23118078292
2020-07-14,68256.39926092666
2020-07-15,73567.62635213436
2020-07-16,66893.0369232247
2020-07-17,109881.60018840597
2020-07-18,112419.76611957526
2020-07-19,109107.31048214172
2020-07-20,131381.89850111003
2020-07-21,134911.04990475107
2020-07-22,161565.29510227623
2020-07-23,184167.25006014315
2020-07-24,184526.2204717624
2020-07-25,255087.1698483928
2020-07-26,274099.6730862172
2020-07-27,365843.0583833879
2020-07-28,241106.82631441276
2020-07-29,273080.0740199878
2020-07-30,337456.59805530217
2020-07-31,321174.42808461725
2020-08-01,261508.71522196627
2020-08-02,237609.45950664577
2020-08-03,224131.2777209424
2020-08-04,220913.3075740145
2020-08-05,190073.8580748163
2020-08-06,202196.82922396428
2020-08-07,314426.907877201
2020-08-08,312993.2526887704
2020-08-09,353437.3514640803
2020-08-10,580072.417423555
2020-08-11,440695.71760076174
2020-08-12,714704.7038742208
2020-08-13,735115.878994933
2020-08-14,511028.6311119142
2020-08-15,447300.5848091292
2020-08-16,457582.7480838865
2020-08-17,492402.325784859
2020-08-18,625294.6951723944
2020-08-19,581077.8794482771
2020-08-20,603798.6178137709
2020-08-21,671159.8427487278
2020-08-22,414004.2986552759
2020-08-23,371821.2679601636
2020-08-24,499987.3626916776
2020-08-25,490048.3713872914
2020-08-26,537448.656827144
2020-08-27,423494.4557212383
2020-08-28,623421.7932389926
2020-08-29,899239.362334712
2020-08-30,1508500.7472823996
2020-08-31,1756078.8135633531
2020-09-01,2860763.294598395
2020-09-02,2804222.2833328764
2020-09-03,2579214.9541426487
2020-09-04,1745939.65382964
2020-09-05,2489399.1341518583
2020-09-06,1893237.8826892148
2020-09-07,1318405.28949535
2020-09-08,1137683.603677605
2020-09-09,1285520.8404854713
2020-09-10,1228399.26557389
2020-09-11,939305.5016892123
2020-09-12,919071.0670234895
2020-09-13,1217535.5200160865
2020-09-14,1404834.724813276
2020-09-15,1190882.0638559936
2020-09-16,1067926.8371284963
2020-09-17,1748635.3245271554
2020-09-18,1851493.3137310965
2020-09-19,1407316.8186296374
2020-09-20,1121802.8514829858
2020-09-21,1348880.2293761538
2020-09-22,942675.3696282532
2020-09-23,1019103.531824101
2020-09-24,780350.0179787119
2020-09-25,723632.2791275516
2020-09-26,688163.9883617671
2020-09-27,876073.5415599005
2020-09-28,843478.740469936
2020-09-29,1062999.2567107345
2020-09-30,794700.9281367346
2020-10-01,1095292.278386881
2020-10-02,1316608.493026035
2020-10-03,794967.1602706512
2020-10-04,876528.8987627174
2020-10-05,752267.4174339515
2020-10-06,1236382.2462480324
2020-10-07,965422.7436991185
2020-10-08,918899.347149044
2020-10-09,797400.2684851841
2020-10-10,699862.4104681179
2020-10-11,573783.1512477574
2020-10-12,773231.821749694
2020-10-13,606353.281831542
2020-10-14,648991.6894121581
2020-10-15,655586.6348220347
2020-10-16,553020.2983383134
2020-10-17,405452.96118616237
2020-10-18,427609.62169093144
2020-10-19,484880.242939594
2020-10-20,588197.8351360343
2020-10-21,824143.0398434047
2020-10-22,702167.7384247477
2020-10-23,629803.8716649219
2020-10-24,391184.4400240884
2020-10-25,444656.0677204608
2020-10-26,6560985.367777259
2020-10-27,583244.8811023117
2020-10-28,1155127.419675121
2020-10-29,963360.89098631
2020-10-30,1001713.6351230273
2020-10-31,654956.2441541881
2020-11-01,468794.4080967715
2020-11-02,617513.2358695939
2020-11-03,633831.1860792334
2020-11-04,668230.9557124292
2020-11-05,863599.4727443896
2020-11-06,1059274.5439100626
2020-11-07,1216651.4889844656
2020-11-08,584237.8606464867
2020-11-09,725003.0875912794
2020-11-10,675262.4456837771
2020-11-11,699672.2774896381
2020-11-12,674502.1503520709
2020-11-13,743116.529776969
2020-11-14,1187603.8063046816
2020-11-15,671638.2469541052
2020-11-16,826140.7395773578
2020-11-17,1176806.2645194144
2020-11-18,861113.2058710352
2020-11-19,759932.8855133787
2020-11-20,900673.5923095597
2020-11-21,1127831.202245901
2020-11-22,1328665.6440967552
2020-11-23,1135460.9880436645
2020-11-24,1275959.386509335
2020-11-25,888401.9632562422
2020-11-26,2151487.5703824772
2020-11-27,678545.1061507595
2020-11-28,525336.4188803567
2020-11-29,580363.3318178497
2020-11-30,940626.3988673324
2020-12-01,1045154.6649417662
2020-12-02,776760.8850048741
2020-12-03,887339.7073430954
2020-12-04,900911.2628147686
2020-12-05,780393.1098042171
2020-12-06,1115416.1103551541
2020-12-07,864089.2502633824
2020-12-08,1123607.600397947
2020-12-09,1040680.9322305013
2020-12-10,895943.7732545938
2020-12-11,881468.6599579423
2020-12-12,680419.3520487386
2020-12-13,668428.7661570989
2020-12-14,717546.8364380359
2020-12-15,854434.2417810531
2020-12-16,930213.7211005219
2020-12-17,2993498.423030077
2020-12-18,967780.6296809226
2020-12-19,1039360.7862821855
2020-12-20,1005915.683102993
2020-12-21,1298080.3433889307
2020-12-22,1176214.2318256076
2020-12-23,1253285.662810965
2020-12-24,1109656.4828065252
2020-12-25,1045952.999016895
2020-12-26,1023804.1704213993
2020-12-27,1478220.550274865
2020-12-28,1328663.8137345677
2020-12-29,1649689.8086794564
2020-12-30,1603241.5155234926
2020-12-31,1635531.1298839343
2021-01-01,1485111.1048042541
2021-01-02,1656394.0842854355
2021-01-03,2383889.602430713
2021-01-04,3029042.0169717344
2021-01-05,2347653.938215445
2021-01-06,2275885.657581493
2021-01-07,2225854.447661574
2021-01-08,2462447.6194775775
2021-01-09,2337015.006048032
2021-01-10,2408707.191110501
2021-01-11,3894598.850038238
2021-01-12,2077330.0671599922
2021-01-13,1711197.9340220816
2021-01-14,1921816.2101755796
2021-01-15,2246818.1908897245
2021-01-16,2123799.418041996
2021-01-17,2002399.45369109
2021-01-18,2074012.8270687007
2021-01-19,3026305.97288705
2021-01-20,2309496.5185432476
2021-01-21,2739851.1388996397
