date,fee
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-02-27,
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-06,
2021-03-07,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-13,
2021-03-14,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-20,
2021-03-21,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-27,
2021-03-28,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,
2021-04-10,
2021-04-11,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-16,
2021-04-17,
2021-04-18,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-24,
2021-04-25,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-01,
2021-05-02,
2021-05-03,
2021-05-04,8754.247088563136
2021-05-05,15241.529434771432
2021-05-06,11509.949112765578
2021-05-07,8151.365737949877
2021-05-08,6965.798545068843
2021-05-09,14593.643374255731
2021-05-10,9120.438400618912
2021-05-11,8058.076653457408
2021-05-12,17085.786623711017
2021-05-13,16318.090935622673
2021-05-14,21916.289394311447
2021-05-15,8804.118008317762
2021-05-16,6056.6739340696795
2021-05-17,16620.900665127974
2021-05-18,10180.245260759191
2021-05-19,15074.955648567995
2021-05-20,5220.457565887927
2021-05-21,4903.3037197004505
2021-05-22,6014.400154610497
2021-05-23,9558.94254286614
2021-05-24,4639.07502552039
2021-05-25,4247.64786914245
2021-05-26,5553.84722126684
2021-05-27,8902.636886965514
2021-05-28,8032.980707905024
2021-05-29,6867.17574609911
2021-05-30,8296.201157201398
2021-05-31,6582.011551544152
2021-06-01,11243.118877098035
2021-06-02,10557.644749270039
2021-06-03,12269.224678582776
2021-06-04,9002.251214857983
2021-06-05,6567.768390964768
2021-06-06,7764.771227972347
2021-06-07,7205.666863599598
2021-06-08,5676.47775636098
2021-06-09,5533.437980874481
2021-06-10,4490.964443295777
2021-06-11,4194.717459461327
2021-06-12,3585.4618417960214
2021-06-13,5929.608638736173
2021-06-14,4099.175378194131
2021-06-15,4152.104388915397
2021-06-16,4663.253623844073
2021-06-17,2341.439251520331
2021-06-18,4372.977867619966
2021-06-19,4482.525033886774
2021-06-20,5735.105756024622
2021-06-21,4824.755463981107
2021-06-22,3910.9124759931465
2021-06-23,3635.088117186724
2021-06-24,3394.134760927394
2021-06-25,3701.577418056727
2021-06-26,2917.830197101728
2021-06-27,4488.470852266737
2021-06-28,3436.683931817443
2021-06-29,3773.1902625203484
2021-06-30,4447.4249013852395
2021-07-01,3359.928155567652
2021-07-02,2765.3971649031046
2021-07-03,2401.050541194942
2021-07-04,4583.563641192955
2021-07-05,2952.034418863982
2021-07-06,2654.7062763523445
2021-07-07,3514.147381393808
2021-07-08,2409.9148536590083
2021-07-09,3691.7727867548747
2021-07-10,3333.398429795256
2021-07-11,2434.6475467921287
2021-07-12,6092.132247064972
2021-07-13,2713.2729076019273
2021-07-14,4714.410489694623
2021-07-15,4334.824534116009
2021-07-16,6989.614670740999
2021-07-17,4933.695871559235
2021-07-18,1851.0609665942568
2021-07-19,1723.663916396562
2021-07-20,1754.1898006182462
2021-07-21,1837.6723235778143
2021-07-22,1653.379507151725
2021-07-23,1733.8554563984937
2021-07-24,1857.1190036688429
2021-07-25,2275.2112238802
2021-07-26,3058.4533396305364
2021-07-27,2158.989885943207
2021-07-28,2278.9809567515936
2021-07-29,2244.4995999807193
2021-07-30,2202.2804107024076
2021-07-31,2837.628291124346
2021-08-01,3165.997305394814
2021-08-02,2539.4658312049532
2021-08-03,2348.206344934987
2021-08-04,2867.1009585371703
2021-08-05,2866.5734768907114
2021-08-06,3057.5976466474185
2021-08-07,3421.691554591924
2021-08-08,3255.794387730907
2021-08-09,2957.1815587184738
