prices,market_caps,total_volumes,date
790.9370799734231,1597832.7185665786,2847457.8671211274,2020-07-18 02:00:00
790.9370799734231,1597832.7185665786,2847457.8671211274,2020-07-19 02:00:00
1082.6530873388413,5724673.312012482,5019136.927811409,2020-07-20 02:00:00
1069.372898557373,9727076.065099493,8982528.399317216,2020-07-21 02:00:00
887.1003346089773,10293438.279414421,8513449.557428844,2020-07-22 02:00:00
1193.3608277494309,18908035.223311175,15059971.605386708,2020-07-23 02:00:00
1857.1835926076506,36024669.344530724,20680410.544855755,2020-07-24 02:00:00
3211.0129226022736,74828273.63961473,39547808.30664905,2020-07-25 02:00:00
3401.357980111953,92823684.76793766,45862087.44624437,2020-07-26 02:00:00
3149.9604891188133,92461280.3137077,24913537.466832496,2020-07-27 02:00:00
2925.340926030011,88395689.23359336,15426257.89275663,2020-07-28 02:00:00
3530.3566645464543,105310193.86192027,21091182.682771023,2020-07-29 02:00:00
4483.940955887958,133823474.82537133,28491795.686796855,2020-07-30 02:00:00
4367.882142931428,130742067.0403693,16887210.499513198,2020-07-31 02:00:00
4128.207821176574,123514550.91779438,19458504.846103523,2020-08-01 02:00:00
3863.4160146489457,115642867.37689936,9230660.826303259,2020-08-02 02:00:00
4063.531280801435,121252456.28937012,9198283.161606908,2020-08-03 02:00:00
3793.0336748654836,114483744.34229554,8185937.398704175,2020-08-04 02:00:00
3697.18867415864,110868095.79080914,7410589.278658619,2020-08-05 02:00:00
4139.789640973393,123939741.48526707,12379082.720419895,2020-08-06 02:00:00
4867.841973366721,145661395.55316383,18534332.13112864,2020-08-07 02:00:00
4252.723418707703,128040526.9896224,19281850.603018984,2020-08-08 02:00:00
4447.390658814103,132824039.21957287,18326594.604225922,2020-08-09 02:00:00
4106.86147742551,122873620.58788335,12559000.518667888,2020-08-10 02:00:00
6330.479667494392,189941018.33178064,70382499.78843604,2020-08-11 02:00:00
5995.486917487749,180373623.98678675,35899512.72861595,2020-08-12 02:00:00
5810.733498428172,174150898.09916303,30940736.293257356,2020-08-13 02:00:00
5329.011232956575,159627059.18919334,37303997.847554505,2020-08-14 02:00:00
5014.231290831153,150146928.15426078,18075997.914605115,2020-08-15 02:00:00
5295.209090831003,157326688.5769334,29113253.04825769,2020-08-16 02:00:00
6650.413566309658,194363207.99457043,38623996.33338738,2020-08-17 02:00:00
8863.26271527658,266974326.00827655,73965450.65584199,2020-08-18 02:00:00
9681.352836727676,291004702.1550993,114873046.47320749,2020-08-19 02:00:00
12501.72897818399,376217792.6939968,93031732.68430768,2020-08-20 02:00:00
15120.262455212263,453193468.528042,177541533.11492872,2020-08-21 02:00:00
12190.003768604043,366726930.6374189,120004190.11496124,2020-08-22 02:00:00
14044.92462052158,414960780.07661843,85411303.24183309,2020-08-23 02:00:00
12452.203811985564,373403335.84753567,58609941.677798495,2020-08-24 02:00:00
14458.30674763866,432689839.05172706,67948448.29963556,2020-08-25 02:00:00
13490.224058482389,402932457.9552308,77272531.05236866,2020-08-26 02:00:00
15506.260384572266,464050626.3199156,102111018.31230333,2020-08-27 02:00:00
14173.47046841639,424805084.636695,84023276.9993834,2020-08-28 02:00:00
18953.535119958142,567363845.9947717,224663924.78959993,2020-08-29 02:00:00
27006.04624751229,810309725.0301003,549030462.6848361,2020-08-30 02:00:00
31909.648005328057,957650925.0632102,980566257.5994635,2020-08-31 02:00:00
35059.68029334105,1052672981.9315459,723016982.8053323,2020-09-01 02:00:00
31934.19433824931,969947902.6309767,577918940.2397996,2020-09-02 02:00:00
31814.888939650755,953095099.5304091,621038974.5176978,2020-09-03 02:00:00
29577.373430846397,883808977.7392486,522967570.40037143,2020-09-04 02:00:00
27494.139663664515,827540682.0411286,417609204.013613,2020-09-05 02:00:00
22122.49738607027,658546567.5669473,525080485.66933787,2020-09-06 02:00:00
24027.53566542955,718259420.9474828,390830330.1456167,2020-09-07 02:00:00
22843.028801594155,684943943.2233406,253609305.60170224,2020-09-08 02:00:00
22384.267711907516,671101484.9370757,217363098.45854887,2020-09-09 02:00:00
27823.4433113382,833298850.9988312,392409838.7280193,2020-09-10 02:00:00
33670.029133971664,995212706.8196737,563671589.2789654,2020-09-11 02:00:00
37822.68497270975,1129355883.9757464,476047951.37055606,2020-09-12 02:00:00
43337.7040319802,1298248546.3243217,679378798.2932298,2020-09-13 02:00:00
36727.67576854644,1093935333.3424954,643680603.7039937,2020-09-14 02:00:00
39549.516557579576,1180714836.1744218,823538105.1048338,2020-09-15 02:00:00
35914.101667320494,1076253987.5154867,682485839.9177438,2020-09-16 02:00:00
34717.515709288135,1041054592.9982511,749097153.3534782,2020-09-17 02:00:00
33018.051614666205,990342267.8047059,565320424.6630114,2020-09-18 02:00:00
33029.99570758582,991841418.7821102,552967758.2397293,2020-09-19 02:00:00
30843.04336065928,930153900.2751744,563943577.8943919,2020-09-20 02:00:00
27869.92838786227,841030117.7445372,515264178.53789586,2020-09-21 02:00:00
23983.160140743243,726538369.2882972,728712281.2846878,2020-09-22 02:00:00
24980.789496713107,749136821.434032,544744037.8871034,2020-09-23 02:00:00
21812.985648894337,659251618.2010062,343540993.6007571,2020-09-24 02:00:00
25136.003374626278,753245489.7342633,347642945.6024264,2020-09-25 02:00:00
26805.48828044668,805214245.282741,303719088.86360085,2020-09-26 02:00:00
31604.062358820684,942932874.319467,467500909.1976799,2020-09-27 02:00:00
30593.895120688598,915466480.2015519,545323492.9681497,2020-09-28 02:00:00
28513.36336386346,854127185.7887799,427052818.37595254,2020-09-29 02:00:00
25028.814567952013,751485619.2812469,743936207.7592701,2020-09-30 02:00:00
23788.970981151786,714590581.4182047,616306875.1449267,2020-10-01 02:00:00
22754.574104326348,679442115.7439853,768230845.3845489,2020-10-02 02:00:00
21086.94764069823,631917096.1047378,771539104.1260252,2020-10-03 02:00:00
18923.830225279227,565982559.2370872,477637911.3354144,2020-10-04 02:00:00
19149.696212170536,590304352.648317,770905790.839064,2020-10-05 02:00:00
19025.95891779978,572482592.8324924,552813975.2200539,2020-10-06 02:00:00
16699.658525113882,501965534.1290772,513616313.3186604,2020-10-07 02:00:00
14779.632851094122,443279792.2772892,635572691.9929807,2020-10-08 02:00:00
16616.81809135647,490999651.3770933,1108800391.53435,2020-10-09 02:00:00
18147.54072850288,543061429.8182037,811110059.8950623,2020-10-10 02:00:00
15985.152400980347,479567316.0694074,555280175.8182454,2020-10-11 02:00:00
16915.450963072726,508239044.0324568,647315934.0234697,2020-10-12 02:00:00
16501.893309452124,495775639.2081078,413384051.1323985,2020-10-13 02:00:00
15704.273171434992,471079035.5808852,260492105.3268448,2020-10-14 02:00:00
14548.570310185873,436374505.2337167,325094677.72894675,2020-10-15 02:00:00
14559.0330308254,437004210.6114015,306059655.3336089,2020-10-16 02:00:00
13428.000550491905,406390660.0696581,247825949.0526541,2020-10-17 02:00:00
