project_id,timestamp,active_users,business_type,deposits,gmv,market_cap_circulating,market_cap_fully_diluted,pe_circulating,pe_fully_diluted,price,project,ps_circulating,ps_fully_diluted,revenue_protocol,revenue_supply_side,revenue_total,token_incentives,token_trading_volume,tokenholders,treasury,tvl,volmc_circulating,volmc_fully_diluted
0x,2022-06-26T00:00:00.000Z,,transaction,,59437331.973952875,262815253.05940217,311624742.18179935,,,0.31162474218179936,0x,,,0.0,0.0,0.0,,22748187.965638574,193432,3708715.249371085,,0.08655581325980716,0.07299865795754903
0x,2022-06-25T00:00:00.000Z,,transaction,,27786852.397142816,258769564.99537972,303386463.07366246,,,0.30338646307366246,0x,,,0.0,0.0,0.0,,23823364.58820505,193406,3717484.1462073894,,0.09206401297088555,0.07852481072110565
0x,2022-06-24T00:00:00.000Z,,transaction,,0.0,246989914.65049684,290767129.6588684,,,0.29076712965886836,0x,,,0.0,0.0,0.0,,25091074.67658156,193381,3466533.1602800945,,0.10158744624081795,0.08629267932045387
0x,2022-06-23T00:00:00.000Z,,transaction,,31827262.21532438,230603910.79011253,271589004.99201095,,,0.27158900499201094,0x,,,0.0,0.0,0.0,,37110092.01271672,193359,3012317.370763951,,0.16092568372135285,0.13664062731040363
0x,2022-06-22T00:00:00.000Z,,transaction,,80299117.70839918,237087956.72162706,280337719.983253,,,0.280337719983253,0x,,,0.0,0.0,0.0,,38273798.20281704,193424,2920445.7796948114,,0.16143290756753026,0.13652746482030126
0x,2022-06-21T00:00:00.000Z,,transaction,,79341838.05297662,234637949.07793584,275880762.5295327,,,0.27588076252953264,0x,,,0.0,0.0,0.0,,31963704.768480383,193391,2838282.1038520653,,0.13622563994481354,0.11586057858984898
0x,2022-06-20T00:00:00.000Z,,transaction,,131368226.63448085,223262840.8654567,263722076.76302883,,,0.26372207676302883,0x,,,0.0,0.0,0.0,,25683573.354809314,193339,2709183.618752622,,0.11503738488343801,0.09738878773462584
0x,2022-06-19T00:00:00.000Z,,transaction,,120090681.05352703,210485684.8245357,249679067.16768783,,,0.24967906716768784,0x,,,0.0,0.0,0.0,,26738654.808559667,193305,2514028.5003407514,,0.12703312736374184,0.10709209671390524
0x,2022-06-18T00:00:00.000Z,,transaction,,241109649.5827857,230445759.2035129,270580130.91882724,,,0.2705801309188272,0x,,,0.0,0.0,0.0,,25489516.225897387,193294,2809234.711215606,,0.11060961292582044,0.09420320752799148
0x,2022-06-17T00:00:00.000Z,,transaction,,86790654.3662878,223621405.29145467,263781357.80652627,,,0.2637813578065263,0x,,,0.0,0.0,0.0,,99708604.28628361,193278,2709620.162329466,,0.44588130620290767,0.3779971606614298
0x,2022-06-16T00:00:00.000Z,,transaction,,160361497.65618974,231833833.60065866,273731787.1070213,,,0.2737317871070213,0x,,,0.0,0.0,0.0,,46663055.728386946,193242,2944750.523784006,,0.20127802315845572,0.17046999262143797
0x,2022-06-15T00:00:00.000Z,,transaction,,270249191.5447899,214272952.8997624,252172913.14731398,,,0.252172913147314,0x,,,0.0,0.0,0.0,,29340100.138122693,193199,2763012.4211165127,,0.13692862183986465,0.1163491342981109
0x,2022-06-14T00:00:00.000Z,,transaction,,321543303.62701106,209507028.75685194,248515439.05412066,,,0.24851543905412066,0x,,,0.0,0.0,0.0,,45911783.78592587,193135,2782246.9480458284,,0.21914197370060465,0.18474419118856997
0x,2022-06-13T00:00:00.000Z,,transaction,,421253774.3854209,256711965.2941216,299746495.59015256,,,0.29974649559015254,0x,,,0.0,0.0,0.0,,29918366.567927957,193087,3320215.737431677,,0.11654449582686846,0.09981223136245017
0x,2022-06-12T00:00:00.000Z,,transaction,,130458076.89787531,282318693.8669641,333053742.8269041,,,0.33305374282690414,0x,,,0.0,0.0,0.0,,29261157.30840511,193038,3611110.167849636,,0.10364583693559352,0.0878571640121541
