project_id,timestamp,active_users,business_type,deposits,gmv,market_cap_circulating,market_cap_fully_diluted,pe_circulating,pe_fully_diluted,price,project,ps_circulating,ps_fully_diluted,revenue_protocol,revenue_supply_side,revenue_total,token_incentives,token_trading_volume,tokenholders,treasury,tvl,volmc_circulating,volmc_fully_diluted
88mph,2022-07-17T00:00:00.000Z,,,,,3315195.98631417,5013633.934132977,,,2.654278037730653,88mph,,,,,,,13458.605290628217,4544.0,1390857.1338284707,9543079.698713379,0.004059671086170526,0.0026844012681104634
88mph,2022-07-16T00:00:00.000Z,,,,,3078120.6367779826,4657818.928103331,,,2.4659052988336687,88mph,,,,,,,14708.357636274965,4542.0,1292202.78005095,9019074.907983769,0.004778356462231095,0.0031577778920367405
88mph,2022-07-15T00:00:00.000Z,,,,,3088237.7356357696,4642749.956323782,,,2.4579276041373452,88mph,,,,,,,27532.534581692507,4541.0,1287986.1250873,8980598.296645014,0.008915289863856429,0.005930221278488427
88mph,2022-07-14T00:00:00.000Z,,,,,2944426.6604353474,4448464.205124921,,,2.355070393334555,88mph,,,,,,,20673.16563154735,4541.0,1234105.8092229867,8623987.3590831,0.007021117526659918,0.0046472590715084345
88mph,2022-07-13T00:00:00.000Z,,,,,2857216.070502161,4313676.197776608,,,2.2837120029226763,88mph,,,,,,,27720.58072979531,4535.0,1196669.4590850952,8262249.19697115,0.009701954645986352,0.006426208055227532
88mph,2022-07-12T00:00:00.000Z,,,,,2946556.2313386756,4452981.117186731,,,2.35746170084554,88mph,,,,,,,39906.69342957788,4537.0,1235344.2290419724,8551190.11304944,0.013543503091895016,0.008961792646178975
88mph,2022-07-11T00:00:00.000Z,,,,,3170770.5070461626,4857289.827979137,,,2.5715075896395856,88mph,,,,,,,29875.736562996604,4538.0,1349106.7088135434,9108163.156175692,0.009422232386924889,0.006150700827219595
88mph,2022-07-10T00:00:00.000Z,,,,,3105082.0931334384,4692109.829183193,,,2.4840593138307794,88mph,,,,,,,29046.132267113113,4538.0,1303461.8202874823,9513557.57566857,0.00935438464939319,0.006190420370481714
88mph,2022-07-09T00:00:00.000Z,,,,,2965289.1372179855,4466622.0596111,,,2.364683379645114,88mph,,,,,,,53291.47943221981,4537.0,1240914.9315196471,9367209.55122611,0.017971764966642517,0.011931047382338812
88mph,2022-07-08T00:00:00.000Z,,,,,2744687.6442544684,4147965.3041637354,,,2.1959826650197023,88mph,,,,,,,5512.082393981198,4539.0,1152686.38909543,9598358.51709571,0.002008273110974866,0.0013288641514065122
88mph,2022-07-07T00:00:00.000Z,,,,,2593210.5373896933,3928502.788179948,,,2.079796572470124,88mph,,,,,,,6810.578846709727,4538.0,1091730.5769920857,9253660.748485673,0.002626311573438694,0.0017336321784475626
88mph,2022-07-06T00:00:00.000Z,,,,,2685458.5352399447,4069076.9014117112,,,2.1542181968500573,88mph,,,,,,,41794.617424083975,4536.0,1130543.0592891867,9186559.786623076,0.015563307671905514,0.010271277352753863
88mph,2022-07-05T00:00:00.000Z,,,,,2752384.322216071,4171753.264818314,,,2.208576297175012,88mph,,,,,,,44713.77073374096,4538.0,1159089.6714802182,9255015.472626587,0.016245467746938715,0.01071822034894202
88mph,2022-07-04T00:00:00.000Z,,,,,2627139.4086690843,3998193.4321376095,,,2.116691636633622,88mph,,,,,,,42882.41094650263,4537.0,1110800.211460035,8707737.265142746,0.01632285321631522,0.010725446798499644
88mph,2022-07-03T00:00:00.000Z,,,,,2665147.9315165393,4069583.6817657435,,,2.1544864924578606,88mph,,,,,,,60054.07592550555,4538.0,1130528.4212790846,8019682.808930418,0.02253311165783327,0.014756810676872187
88mph,2022-07-02T00:00:00.000Z,,,,,2676409.6920431145,4036572.4671892812,,,2.1370099588696,88mph,,,,,,,63155.43987562204,4534.0,1121334.8430096782,7844697.629133021,0.023597074866146713,0.015645808514271022
88mph,2022-07-01T00:00:00.000Z,,,,,2647935.016317046,4068176.864660737,,,2.1537417065811932,88mph,,,,,,,44365.18026524653,4535.0,1130162.8211760735,6708161.480508653,0.016754633324405774,0.010905420718218045
88mph,2022-06-30T00:00:00.000Z,,,,,2796873.9761925866,4227386.060595179,,,2.238028967622844,88mph,,,,,,,75687.91309886904,4533.0,1174366.2203074084,6736045.314896498,0.027061610120132685,0.01790418760292095
88mph,2022-06-29T00:00:00.000Z,,,,,3526959.7951294095,5348908.540525191,,,2.831776442290486,88mph,,,,,,,2130.030266757694,4535.0,1484999.0660483197,6936598.926227296,0.0006039281393848551,0.0003982177393051019
