project_id,timestamp,active_users,business_type,deposits,gmv,market_cap_circulating,market_cap_fully_diluted,pe_circulating,pe_fully_diluted,price,project,ps_circulating,ps_fully_diluted,revenue_protocol,revenue_supply_side,revenue_total,token_incentives,token_trading_volume,tokenholders,treasury,tvl,volmc_circulating,volmc_fully_diluted
clipper,2022-06-26T00:00:00.000Z,,transaction,,10240028.24461113,,,,,,Clipper,,,0,13166.960053172,13166.960053172,,,,,15761265.8742184,,
clipper,2022-06-25T00:00:00.000Z,,transaction,,12402969.02949127,,,,,,Clipper,,,0,10516.46906781,10516.46906781,,,,,15849650.834328907,,
clipper,2022-06-24T00:00:00.000Z,,transaction,,14159327.626015497,,,,,,Clipper,,,0,20000.686777179,20000.686777179,,,,,15515630.171899794,,
clipper,2022-06-23T00:00:00.000Z,,transaction,,5124780.700999595,,,,,,Clipper,,,0,7072.871461755,7072.871461755,,,,,14982869.292811828,,
clipper,2022-06-22T00:00:00.000Z,,transaction,,8659826.79415061,,,,,,Clipper,,,0,6566.799361922,6566.799361922,,,,,15247162.097285312,,
clipper,2022-06-21T00:00:00.000Z,,transaction,,5500797.219271783,,,,,,Clipper,,,0,9816.371290809,9816.371290809,,,,,15288168.969266646,,
clipper,2022-06-20T00:00:00.000Z,,transaction,,12673455.55298802,,,,,,Clipper,,,0,16116.766835897,16116.766835897,,,,,15165747.443143634,,
clipper,2022-06-19T00:00:00.000Z,,transaction,,8300459.813466717,,,,,,Clipper,,,0,14379.71732865,14379.71732865,,,,,14440254.307072105,,
clipper,2022-06-18T00:00:00.000Z,,transaction,,8541539.87621781,,,,,,Clipper,,,0,22524.713066245,22524.713066245,,,,,15230917.063786386,,
clipper,2022-06-17T00:00:00.000Z,,transaction,,5443531.85383317,,,,,,Clipper,,,0,10612.069590004,10612.069590004,,,,,15123573.201921666,,
clipper,2022-06-16T00:00:00.000Z,,transaction,,11207480.306453502,,,,,,Clipper,,,0,19732.102813147,19732.102813147,,,,,16225331.425772209,,
clipper,2022-06-15T00:00:00.000Z,,transaction,,23020902.520851754,,,,,,Clipper,,,0,64195.473384507,64195.473384507,,,,,16255693.395328304,,
clipper,2022-06-14T00:00:00.000Z,,transaction,,22487973.146755725,,,,,,Clipper,,,0,39489.031483594,39489.031483594,,,,,16361360.558394207,,
