project_id,timestamp,active_users,business_type,deposits,gmv,market_cap_circulating,market_cap_fully_diluted,pe_circulating,pe_fully_diluted,price,project,ps_circulating,ps_fully_diluted,revenue_protocol,revenue_supply_side,revenue_total,token_incentives,token_trading_volume,tokenholders,treasury,tvl,volmc_circulating,volmc_fully_diluted
convex-finance,2022-06-26T00:00:00.000Z,,transaction,,,312345310.0232421,489669124.04803544,26.173668758509393,41.032911469517614,4.896691240480354,Convex Finance,1.4449732269110935,2.2653094238609435,25934.457198869,406306.496115612,432240.953314481,101154.820955224,7197079.691948139,12408,,3121190080.291001,0.02304206101706023,0.014697842560402321
convex-finance,2022-06-25T00:00:00.000Z,,transaction,,,320486428.46736485,501761929.1808257,26.506101442500725,41.498645226426945,5.017619291808257,Convex Finance,1.464849868594389,2.293407242051266,27468.687762433,430342.774944776,457811.462707209,131684.523845703,9436468.874623971,12402,,3116087411.813221,0.02944420741855185,0.018806665722985217
convex-finance,2022-06-24T00:00:00.000Z,,transaction,,,287124924.3466128,451077796.3780429,23.45169979093413,36.842991207004104,4.510777963780429,Convex Finance,1.2973223369556395,2.0381139055678994,28644.718425,448767.255324999,477411.973749999,418225.537051355,7708977.863021272,12383,,3064336047.5908427,0.02684886336692635,0.017090129296810856
convex-finance,2022-06-23T00:00:00.000Z,,transaction,,,269256830.2956593,422770365.18927044,21.73217671234448,34.12251520211017,4.227703651892704,Convex Finance,1.2033105075852855,1.889363483070456,28101.128212218,809004.909561113,837106.037773331,93707.408562186,7899543.3133867355,12464,,2970388669.2301273,0.029338320980428195,0.018685186956872397
convex-finance,2022-06-22T00:00:00.000Z,,transaction,,,274440970.66826266,433938908.74439037,21.88123124138686,34.5980324430077,4.339389087443903,Convex Finance,1.2372297382566746,1.9562754102563595,24105.678491113,377655.629694104,401761.308185217,96874.906448989,11580134.338183923,12434,,2980339442.5010233,0.04219535556220466,0.026686093606335597
convex-finance,2022-06-21T00:00:00.000Z,,transaction,,,274607892.74750197,432921074.8560742,21.47027388180672,33.848022186720684,4.329210748560742,Convex Finance,1.215349915571295,1.9160068070554404,23879.557092221,374113.061111458,397992.618203679,104039.689012076,16651267.492157562,12431,,2985638334.867322,0.06063652186234925,0.03846259389819107
convex-finance,2022-06-20T00:00:00.000Z,,transaction,,,255737583.03170404,402791894.3506183,19.642634249495796,30.9375484259969,4.027918943506183,Convex Finance,1.0378733762497239,1.6346716753941972,24602.92603187,385445.841165966,410048.767197836,251445.346221329,16337026.321248708,12426,,2943079832.075351,0.0638819923437823,0.04055947140541963
convex-finance,2022-06-19T00:00:00.000Z,,transaction,,,225784562.76379377,357751658.65676415,17.106415108860716,27.104813118992453,3.5775165865676417,Convex Finance,0.9053333106684559,1.4344846678809209,21830.550861246,342011.96349285,363842.514354096,97958.125377494,11250698.534949562,12441,,2882817821.0589037,0.04982935235798014,0.03144834765320756
convex-finance,2022-06-18T00:00:00.000Z,,transaction,,,230136345.5270857,363145078.7290581,17.173498930829506,27.099029520982292,3.631450787290581,Convex Finance,0.9105010704406284,1.436730830807161,20052.393417308,314154.163537831,334206.556955139,225942.648896708,6632945.460348821,12434,,3156707976.699694,0.02882180754698811,0.018265277017006337
convex-finance,2022-06-17T00:00:00.000Z,,transaction,,,219170225.3166042,344262906.54834914,16.128621157606364,25.334125519622365,3.4426290654834917,Convex Finance,0.8564845674849669,1.3453281174039213,23309.290422022,365178.883278345,388488.173700367,63766.374310913,11290629.860881627,12371,,3242205214.9265323,0.0515153454104984,0.0327965332486262
convex-finance,2022-06-16T00:00:00.000Z,,transaction,,,259089689.3662476,409452167.6523539,18.78335999925106,29.68426681239357,4.094521676523539,Convex Finance,0.9991643707611705,1.5790285535864996,21163.773109922,750871.346330514,772035.119440436,177027.644252454,14341935.574430306,12318,,3385433028.696742,0.055355099654917694,0.03502713309997019
convex-finance,2022-06-15T00:00:00.000Z,,transaction,,,254250279.794697,402489519.35214883,18.044254909614164,28.564859364177334,4.0248951935214885,Convex Finance,0.9810876240042823,1.553105414659455,25768.697205055,403709.589545857,429478.286750912,230873.866555657,12168433.829951739,12268,,3515539915.833783,0.04786006072354199,0.030232920970310412
