project_id,timestamp,active_users,business_type,deposits,gmv,market_cap_circulating,market_cap_fully_diluted,pe_circulating,pe_fully_diluted,price,project,ps_circulating,ps_fully_diluted,revenue_protocol,revenue_supply_side,revenue_total,token_incentives,token_trading_volume,tokenholders,treasury,tvl,volmc_circulating,volmc_fully_diluted
erasure-protocol,2022-07-17T00:00:00.000Z,,,,,90290419.1575063,162611972.39844766,,,14.78290658167706,Erasure Protocol,,,,,,,12701169.28646681,33906.0,,,0.1406701774671172,0.0781072211297282
erasure-protocol,2022-07-17T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,3756810.6849162816,,
erasure-protocol,2022-07-16T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,3766975.2849343023,,
erasure-protocol,2022-07-16T00:00:00.000Z,,,,,89261049.10275134,161080476.9597488,,,14.643679723613527,Erasure Protocol,,,,,,,13167882.641880032,33892.0,,,0.1475210382831379,0.0817472290274535
erasure-protocol,2022-07-15T00:00:00.000Z,,,,,89775547.30031842,161231445.0021227,,,14.657404091102062,Erasure Protocol,,,,,,,28221191.51355474,33880.0,,,0.3143527648920793,0.17503528243627162
erasure-protocol,2022-07-15T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,3685718.412217049,,
erasure-protocol,2022-07-14T00:00:00.000Z,,,,,89234666.66292022,160805339.49397567,,,14.618667226725062,Erasure Protocol,,,,,,,23511538.176440857,33881.0,,,0.26347986781028265,0.14621117837521608
erasure-protocol,2022-07-14T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,3736977.27382696,,
erasure-protocol,2022-07-13T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,3902058.589934944,,
erasure-protocol,2022-07-13T00:00:00.000Z,,,,,93672897.59154499,168636939.52829248,,,15.330630866208407,Erasure Protocol,,,,,,,24023358.300502773,33871.0,,,0.2564600745591876,0.14245608564588744
erasure-protocol,2022-07-12T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,3762374.399382035,,
erasure-protocol,2022-07-12T00:00:00.000Z,,,,,90142751.38776721,162774897.95291197,,,14.79771799571927,Erasure Protocol,,,,,,,41589769.02581087,33868.0,,,0.4613767428387458,0.25550480785951457
erasure-protocol,2022-07-11T00:00:00.000Z,,,,,96087531.72340286,173262857.43327615,,,15.751168857570558,Erasure Protocol,,,,,,,27568382.458479945,33868.0,,,0.28690905015479184,0.15911305438960904
erasure-protocol,2022-07-11T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,4008733.7097082767,,
erasure-protocol,2022-07-10T00:00:00.000Z,,,,,101954420.64002648,183304547.83930734,,,16.664049803573395,Erasure Protocol,,,,,,,56852708.468448915,33854.0,,,0.5576286747700766,0.3101543804482606
erasure-protocol,2022-07-10T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,4262697.772817002,,
erasure-protocol,2022-07-09T00:00:00.000Z,,,,,100047847.0628818,180407439.62249044,,,16.400676329317314,Erasure Protocol,,,,,,,18581126.905990504,33850.0,,,0.18572240634335635,0.10299534733640826
erasure-protocol,2022-07-09T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,4554761.120479349,,
erasure-protocol,2022-07-08T00:00:00.000Z,,,,,101822064.02288903,183411446.41007972,,,16.673767855461794,Erasure Protocol,,,,,,,26922056.46806753,33858.0,,,0.2644029732300025,0.14678503983810237
erasure-protocol,2022-07-08T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,4234757.33848541,,
erasure-protocol,2022-07-07T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,4389226.29626973,,
erasure-protocol,2022-07-07T00:00:00.000Z,,,,,105541715.22675624,190746117.97171867,,,17.34055617924715,Erasure Protocol,,,,,,,22552755.422446694,33854.0,,,0.21368570118452337,0.11823441369218597
erasure-protocol,2022-07-06T00:00:00.000Z,,,,,108716144.91297518,197223936.10143292,,,17.929448736493903,Erasure Protocol,,,,,,,26340191.596599717,33852.0,,,0.2422840840951861,0.1335547404502305
erasure-protocol,2022-07-06T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,4515818.16706613,,
erasure-protocol,2022-07-05T00:00:00.000Z,,,,,118498402.68126528,214427013.0415436,,,19.493364821958508,Erasure Protocol,,,,,,,105558191.28424655,33869.0,,,0.890798431841946,0.49228028589753964
erasure-protocol,2022-07-05T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,4890577.839854215,,
erasure-protocol,2022-07-04T00:00:00.000Z,,,,,104388645.67248191,189083217.29132622,,,17.189383390120565,Erasure Protocol,,,,,,,57286584.19771664,33873.0,,,0.5487817552251094,0.3029702213573692
erasure-protocol,2022-07-04T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,4396826.23697599,,
erasure-protocol,2022-07-03T00:00:00.000Z,,,,,110701363.82376209,200139928.3636978,,,18.194538942154345,Erasure Protocol,,,,,,,86284564.31207822,33855.0,,,0.7794354227599607,0.43112119114622843
erasure-protocol,2022-07-03T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,4814621.5874437345,,
erasure-protocol,2022-07-02T00:00:00.000Z,,,,,120533810.67089988,220298924.09274423,,,20.027174917522203,Erasure Protocol,,,,,,,250093996.02882448,33836.0,,,2.0748866615664374,1.135248376989516
erasure-protocol,2022-07-02T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,5001998.084746569,,
erasure-protocol,2022-07-01T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,5485628.4207531465,,
erasure-protocol,2022-07-01T00:00:00.000Z,,,,,148016070.0709758,269440889.0242356,,,24.49462627493051,Erasure Protocol,,,,,,,655828220.7309794,33804.0,,,4.430790659531094,2.4340337619357735
erasure-protocol,2022-06-30T00:00:00.000Z,,,,,83552443.65428723,149370662.89181682,,,13.579151171983348,Erasure Protocol,,,,,,,178167588.22236365,33797.0,,,2.132404277241286,1.1927883613357415
erasure-protocol,2022-06-30T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,3782901.125475573,,
erasure-protocol,2022-06-29T00:00:00.000Z,,,,,56692097.270783536,102154819.5229682,,,9.286801774815292,Erasure Protocol,,,,,,,19129694.542367104,33752.0,,,0.3374314139587434,0.18726179177543392
erasure-protocol,2022-06-29T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2339440.5119538084,,
erasure-protocol,2022-06-28T00:00:00.000Z,,,,,53898979.69271395,97524906.02806745,,,8.865900548006133,Erasure Protocol,,,,,,,1525233.2479001696,33731.0,,,0.028297998526052807,0.015639422892252886
erasure-protocol,2022-06-28T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2225685.9830637407,,
erasure-protocol,2022-06-27T00:00:00.000Z,,,,,54081139.59573738,97838941.15800396,,,8.894449196182178,Erasure Protocol,,,,,,,1723960.1213056478,33722.0,,,0.03187728909176922,0.017620388169589416
erasure-protocol,2022-06-27T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2238311.3898587096,,
erasure-protocol,2022-06-26T00:00:00.000Z,,,,,57463297.808469474,104051141.56693019,,,9.459194687902745,Erasure Protocol,,,,,,,1949811.8404011005,33721.0,,,0.03393142953437871,0.01873897595969091
erasure-protocol,2022-06-26T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2389992.4862278225,,
erasure-protocol,2022-06-25T00:00:00.000Z,,,,,55948262.35196529,101087449.98048587,,,9.18976818004417,Erasure Protocol,,,,,,,3582050.0770096574,33719.0,,,0.06402433116645008,0.035435161117439835
erasure-protocol,2022-06-25T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2319213.2490463844,,
erasure-protocol,2022-06-24T00:00:00.000Z,,,,,54796988.550150834,99568219.5123904,,,9.051656319308218,Erasure Protocol,,,,,,,5922472.542903071,33721.0,,,0.1080802558608263,0.05948155517801612
erasure-protocol,2022-06-24T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2319209.6528253746,,
erasure-protocol,2022-06-23T00:00:00.000Z,,,,,48756633.42293375,88106351.3002564,,,8.009668300023309,Erasure Protocol,,,,,,,2079240.8711549714,33734.0,,,0.04264529203890757,0.023599216633874164
erasure-protocol,2022-06-23T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2095460.7973169596,,
erasure-protocol,2022-06-22T00:00:00.000Z,,,,,50528092.668179914,91938349.78266254,,,8.358031798423868,Erasure Protocol,,,,,,,1854974.2040594562,33758.0,,,0.036711740065890654,0.020176283438244416
erasure-protocol,2022-06-22T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2128786.5118552144,,
erasure-protocol,2022-06-21T00:00:00.000Z,,,,,51852161.750881426,94318078.24039671,,,8.574370749126974,Erasure Protocol,,,,,,,2771132.068832613,33770.0,,,0.05344294191910923,0.02938070962143214
erasure-protocol,2022-06-21T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2185189.0858441973,,
erasure-protocol,2022-06-20T00:00:00.000Z,,,,,48668713.00167117,88458630.84691104,,,8.04169371335555,Erasure Protocol,,,,,,,1746731.9911281853,33768.0,,,0.03589024413010894,0.019746315022116136
erasure-protocol,2022-06-20T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2039062.589140283,,
erasure-protocol,2022-06-19T00:00:00.000Z,,,,,47223201.62802123,85865347.38366593,,,7.805940671242357,Erasure Protocol,,,,,,,1944807.6181852883,33757.0,,,0.041183307169738385,0.022649505038341542
erasure-protocol,2022-06-19T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2005739.9098125603,,
erasure-protocol,2022-06-18T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2098024.0512957685,,
erasure-protocol,2022-06-18T00:00:00.000Z,,,,,49098929.690258995,88666691.91508566,,,8.060608355916878,Erasure Protocol,,,,,,,1277888.0339629867,33755.0,,,0.02602680021793864,0.014412266955744721
erasure-protocol,2022-06-17T00:00:00.000Z,,,,,48199481.871564,87506137.9051047,,,7.955103445918609,Erasure Protocol,,,,,,,1626419.7770894577,33747.0,,,0.033743511629924554,0.01858635080950796
erasure-protocol,2022-06-17T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2021121.2677581292,,
erasure-protocol,2022-06-16T00:00:00.000Z,,,,,51416323.881361246,93223120.31826936,,,8.474829119842669,Erasure Protocol,,,,,,,2024991.814557225,33752.0,,,0.039384220062673475,0.021721991364843624
erasure-protocol,2022-06-16T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2192178.7601456777,,
erasure-protocol,2022-06-15T00:00:00.000Z,,,,,49944707.001847096,90796581.23816292,,,8.254234658014811,Erasure Protocol,,,,,,,2314041.834823573,33749.0,,,0.04633207348154016,0.025486001821519607
erasure-protocol,2022-06-15T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2118023.714772741,,
erasure-protocol,2022-06-14T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2077131.9639649105,,
erasure-protocol,2022-06-14T00:00:00.000Z,,,,,49408480.63782224,89901823.21038659,,,8.172893019126054,Erasure Protocol,,,,,,,3285841.851289466,33740.0,,,0.0665036003712721,0.03654922374154748
erasure-protocol,2022-06-13T00:00:00.000Z,,,,,57753689.69357414,104212369.3161113,,,9.473851756010118,Erasure Protocol,,,,,,,1847171.5831212113,33736.0,,,0.03198361166051584,0.017725070404244588
erasure-protocol,2022-06-13T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2424865.0700200396,,
erasure-protocol,2022-06-12T00:00:00.000Z,,,,,62542909.392007016,113627129.36927584,,,10.329739033570531,Erasure Protocol,,,,,,,2822223.0039177155,33731.0,,,0.04512458776467466,0.024837580774797162
erasure-protocol,2022-06-12T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2644731.6411706586,,
erasure-protocol,2022-06-11T00:00:00.000Z,,,,,66391997.71377257,120605823.59128344,,,10.964165781025768,Erasure Protocol,,,,,,,12426670.48846678,33746.0,,,0.18717120912734564,0.10303541005266097
erasure-protocol,2022-06-11T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2867169.3525080467,,
erasure-protocol,2022-06-10T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,2982219.744909824,,
erasure-protocol,2022-06-10T00:00:00.000Z,,,,,70558826.03789407,128134260.10014454,,,11.64856910001314,Erasure Protocol,,,,,,,1382328.6375130403,33824.0,,,0.01959115131494183,0.010788126738568346
erasure-protocol,2022-06-09T00:00:00.000Z,,,,,70850916.38155028,128930883.65606628,,,11.720989423278754,Erasure Protocol,,,,,,,1659761.7782691172,33825.0,,,0.023426115892854173,0.012873267685783245
erasure-protocol,2022-06-09T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,3016183.4935050784,,
erasure-protocol,2022-06-08T00:00:00.000Z,,,,,71262532.30490656,129161745.04526828,,,11.741976822297117,Erasure Protocol,,,,,,,2094237.958767612,33826.0,,,0.029387644404876415,0.01621407296745355
erasure-protocol,2022-06-08T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,3018751.356797121,,
erasure-protocol,2022-06-07T00:00:00.000Z,,,,,73284480.63124801,133600887.21531229,,,12.145535201392025,Erasure Protocol,,,,,,,1698202.8121668065,33828.0,,,0.023172748139020094,0.012711014481737452
erasure-protocol,2022-06-07T00:00:00.000Z,,,,,,,,,,Erasure,,,,,,,,,,3124143.105659339,,
erasure-protocol,2022-06-06T00:00:00.000Z,,,,,71068197.77126318,129133914.99491236,,,11.739446817719305,Erasure Protocol,,,,,,,3293462.4948623083,33832.0,,,0.04634228245751348,0.02550424104304485
