project_id,timestamp,active_users,business_type,deposits,gmv,market_cap_circulating,market_cap_fully_diluted,pe_circulating,pe_fully_diluted,price,project,ps_circulating,ps_fully_diluted,revenue_protocol,revenue_supply_side,revenue_total,token_incentives,token_trading_volume,tokenholders,treasury,tvl,volmc_circulating,volmc_fully_diluted
fei-protocol,2022-06-26T00:00:00.000Z,,,,,72352971.73936181,159396868.07554245,,,0.15939686807554246,Fei Protocol,,,,,,,4557083.97679166,13164,65106056.45694579,77907071.06687959,0.06298406087876683,0.028589545276585585
fei-protocol,2022-06-25T00:00:00.000Z,,,,,73052857.05016503,159092157.02116054,,,0.15909215702116056,Fei Protocol,,,,,,,4977092.984247705,13158,65077727.5119314,77381094.89469148,0.06813002509716985,0.03128433907389735
fei-protocol,2022-06-24T00:00:00.000Z,,,,,72444734.14077099,159172465.65872034,,,0.15917246565872034,Fei Protocol,,,,,,,5006699.470020213,13154,64950737.826504424,76780340.75884332,0.06911060589015959,0.03145455747827023
fei-protocol,2022-06-23T00:00:00.000Z,,,,,72153467.0791187,158712886.2451917,,,0.1587128862451917,Fei Protocol,,,,,,,4785968.744304018,13172,64889663.55838253,75702271.31440237,0.06633040570394272,0.030154884442781103
fei-protocol,2022-06-22T00:00:00.000Z,,,,,72527988.78120866,159375704.07748437,,,0.15937570407748436,Fei Protocol,,,,,,,4614745.058255546,13196,64609535.91702198,65269745.30083354,0.06362709259974936,0.028955135194332855
fei-protocol,2022-06-21T00:00:00.000Z,,,,,73601612.98596962,161668995.6711661,,,0.1616689956711661,Fei Protocol,,,,,,,5806245.200132893,13179,120116773.94255929,65301968.49864862,0.07888747222482359,0.035914401373178355
fei-protocol,2022-06-20T00:00:00.000Z,,,,,74561126.10265289,163968845.2894369,,,0.16396884528943692,Fei Protocol,,,,,,,5855543.258812514,13171,120520768.23357555,65214090.901028395,0.07853346059648868,0.03571131606419708
fei-protocol,2022-06-19T00:00:00.000Z,,,,,74426949.10130797,163342564.91948304,,,0.16334256491948304,Fei Protocol,,,,,,,7121962.920104757,13174,120421253.6503264,108215247.92753172,0.09569064708551377,0.043601390266005735
fei-protocol,2022-06-18T00:00:00.000Z,,,,,80566655.719677,176492846.27768013,,,0.17649284627768014,Fei Protocol,,,,,,,4101617.027709082,13163,122542917.32573046,112674198.75008565,0.05090961007467179,0.023239565309383228
fei-protocol,2022-06-17T00:00:00.000Z,,,,,80538014.12130779,176923218.7070479,,,0.1769232187070479,Fei Protocol,,,,,,,5098664.106479457,13162,112701492.268252,111841515.1359806,0.0633075469032519,0.028818513159213435
fei-protocol,2022-06-16T00:00:00.000Z,,,,,82254766.71606746,180773509.00225946,,,0.18077350900225947,Fei Protocol,,,,,,,5821979.749516928,13165,113410777.80599044,119284325.88129596,0.07077984634755125,0.03220593427460745
fei-protocol,2022-06-15T00:00:00.000Z,,,,,83724793.68291819,183891740.27932107,,,0.18389174027932106,Fei Protocol,,,,,,,5427098.795676146,13154,124300643.95627177,129506657.10307233,0.0648206887941654,0.029512466342602947
fei-protocol,2022-06-14T00:00:00.000Z,,,,,83679345.0791097,184255589.832817,,,0.18425558983281698,Fei Protocol,,,,,,,13872475.25300928,13145,122700900.00086942,128322418.682738,0.16578135548138392,0.07528930474020556
fei-protocol,2022-06-13T00:00:00.000Z,,,,,95932448.0608354,209681489.4657803,,,0.2096814894657803,Fei Protocol,,,,,,,5385841.208101494,13131,123124468.92587982,155233922.39107174,0.05614201781534932,0.02568582101273396
fei-protocol,2022-06-12T00:00:00.000Z,,,,,96823057.69920506,212986003.72136804,,,0.21298600372136806,Fei Protocol,,,,,,,5417783.304008066,13131,123589516.27262962,174383944.6373829,0.05595550721853052,0.025437273855307897
fei-protocol,2022-06-11T00:00:00.000Z,,,,,100781362.73257338,221555373.6381735,,,0.2215553736381735,Fei Protocol,,,,,,,6047433.687408646,13116,125119457.09578149,220914859.94490325,0.06000547644365266,0.02729536001814531
fei-protocol,2022-06-10T00:00:00.000Z,,,,,104270872.7139021,228263305.57463577,,,0.22826330557463578,Fei Protocol,,,,,,,2443384.986829687,13103,115861445.49293347,234801047.8477556,0.023433053960657205,0.010704239039554116
fei-protocol,2022-06-09T00:00:00.000Z,,,,,105987110.92647941,232249501.61074987,,,0.23224950161074986,Fei Protocol,,,,,,,4106539.19972549,13096,116278373.2644659,235560192.07102352,0.03874564712471588,0.01768158455129023
fei-protocol,2022-06-08T00:00:00.000Z,,,,,104600137.42170265,229219234.17571342,,,0.2292192341757134,Fei Protocol,,,,,,,2544596.0138391913,13096,126730350.16494599,236416741.06219846,0.02432688977816996,0.011101145255064289
fei-protocol,2022-06-07T00:00:00.000Z,,,,,104295298.17314804,229069065.66768768,,,0.22906906566768767,Fei Protocol,,,,,,,2156889.1297204676,13085,126659862.37341057,235525414.24177912,0.02068059795121025,0.00941589002178707
fei-protocol,2022-06-06T00:00:00.000Z,,,,,104348196.98833992,228939586.3376563,,,0.2289395863376563,Fei Protocol,,,,,,,2112895.293474478,13067,115826671.38702044,235672310.59834605,0.020248507923050912,0.009229051765465457
fei-protocol,2022-06-05T00:00:00.000Z,,,,,104024518.16278899,228836873.4287894,,,0.22883687342878942,Fei Protocol,,,,,,,2202106.262521339,13065,116087459.51053624,233599562.53506273,0.021169108027736704,0.009623039458309158
fei-protocol,2022-06-04T00:00:00.000Z,,,,,104684773.9559115,230260289.95398554,,,0.23026028995398554,Fei Protocol,,,,,,,2057070.494068398,13065,116219440.83816646,229326085.6433095,0.0196501402862535,0.008933674557951249
fei-protocol,2022-06-03T00:00:00.000Z,,,,,105929632.14456733,237367118.94813055,,,0.23736711894813056,Fei Protocol,,,,,,,2394387.425101076,13065,117128429.64226209,235310492.76445422,0.022603565939258042,0.010087275085578712
fei-protocol,2022-06-02T00:00:00.000Z,,,,,106267619.5294866,232986044.0743568,,,0.2329860440743568,Fei Protocol,,,,,,,3239277.5338075566,13057,116137502.21293518,229993348.1846003,0.030482263065173286,0.013903311448018539
fei-protocol,2022-06-01T00:00:00.000Z,,,,,109016039.76017874,239315901.37517712,,,0.2393159013751771,Fei Protocol,,,,,,,4201076.756987044,13051,117335744.48325326,243932428.5118428,0.03853631783202611,0.017554524094915817
fei-protocol,2022-05-31T00:00:00.000Z,,,,,108754965.89995877,238652837.38396853,,,0.23865283738396853,Fei Protocol,,,,,,,4101859.407792074,13056,117534026.04272926,248285650.80176955,0.03771652516139154,0.01718755767899207
fei-protocol,2022-05-30T00:00:00.000Z,,,,,108063746.49179678,237355636.49705887,,,0.23735563649705888,Fei Protocol,,,,,,,2261358.17937961,13045,117611754.58503541,260377949.66331,0.02092615009929599,0.009527299257574744
fei-protocol,2022-05-29T00:00:00.000Z,,,,,108034051.31182966,237307586.5683095,,,0.2373075865683095,Fei Protocol,,,,,,,2473773.9005386084,13044,117479283.64787814,255030592.65425822,0.02289809435543895,0.010424335506132365
fei-protocol,2022-05-28T00:00:00.000Z,,,,,106616048.45816118,234479006.2433736,,,0.2344790062433736,Fei Protocol,,,,,,,5037524.344072577,13040,127345085.20290482,247129875.06466886,0.0472492126365894,0.02148390350496437
fei-protocol,2022-05-27T00:00:00.000Z,,,,,109775680.57728672,241368911.09417626,,,0.24136891109417627,Fei Protocol,,,,,,,4242713.182785468,13038,128469104.4681049,256285804.63164687,0.038648935360491056,0.017577711908100976
