project_id,timestamp,active_users,business_type,deposits,gmv,market_cap_circulating,market_cap_fully_diluted,pe_circulating,pe_fully_diluted,price,project,ps_circulating,ps_fully_diluted,revenue_protocol,revenue_supply_side,revenue_total,token_incentives,token_trading_volume,tokenholders,treasury,tvl,volmc_circulating,volmc_fully_diluted
integral-protocol,2022-07-17T00:00:00.000Z,,,,,727896.6037839,7466461.214216415,,,0.02488820404738805,Integral Protocol,,,,,,,192305.92035092428,1389.0,,6005559.9866756555,0.2641940068840005,0.02575596588980691
integral-protocol,2022-07-16T00:00:00.000Z,,,,,721777.7081039465,7449914.360277386,,,0.024833047867591287,Integral Protocol,,,,,,,192290.1278056077,1386.0,,5812624.715030072,0.2664118407185764,0.02581105211502701
integral-protocol,2022-07-15T00:00:00.000Z,,,,,736183.1029196773,7504751.2029766245,,,0.025015837343255416,Integral Protocol,,,,,,,184690.88606768346,1382.0,,5756686.2539706575,0.2508762906065158,0.02460986128286693
integral-protocol,2022-07-14T00:00:00.000Z,,,,,704262.5895589867,7174287.131178957,,,0.023914290437263192,Integral Protocol,,,,,,,190810.1756252932,1380.0,,5644402.721166294,0.2709361230514596,0.02659639517298455
integral-protocol,2022-07-13T00:00:00.000Z,,,,,676144.6633173327,7011689.512479402,,,0.02337229837493134,Integral Protocol,,,,,,,190846.74224972556,1378.0,,5506153.067450326,0.282257263280589,0.027218367543237133
integral-protocol,2022-07-12T00:00:00.000Z,,,,,674365.495177965,6963835.622885436,,,0.02321278540961812,Integral Protocol,,,,,,,182848.05277976205,1377.0,,5578495.7707934845,0.2711408784809022,0.026256801952484875
integral-protocol,2022-07-11T00:00:00.000Z,,,,,695990.1978363117,7137897.90018417,,,0.0237929930006139,Integral Protocol,,,,,,,183434.53477809948,1377.0,,5718673.354698127,0.26355907791282,0.025698677305732623
integral-protocol,2022-07-10T00:00:00.000Z,,,,,693317.10338131,7083796.962387242,,,0.023612656541290807,Integral Protocol,,,,,,,180638.51651199601,1373.0,,5796562.539224504,0.2605424208216144,0.02550023913321208
integral-protocol,2022-07-09T00:00:00.000Z,,,,,687573.9886034423,7035911.579914792,,,0.023453038599715974,Integral Protocol,,,,,,,182627.46997404943,1371.0,,5826592.191628208,0.26561137128673384,0.025956475987474123
integral-protocol,2022-07-08T00:00:00.000Z,,,,,708070.5477594107,7246744.784237087,,,0.024155815947456957,Integral Protocol,,,,,,,186348.76097142376,1368.0,,5851002.490557793,0.2631782405878879,0.025714823209555315
integral-protocol,2022-07-07T00:00:00.000Z,,,,,713992.9286157696,7285634.588102105,,,0.024285448627007017,Integral Protocol,,,,,,,178809.8640995148,1367.0,,5765256.713821345,0.25043646363021627,0.02454279883752644
integral-protocol,2022-07-06T00:00:00.000Z,,,,,722128.2548798422,7469848.510009977,,,0.02489949503336659,Integral Protocol,,,,,,,191793.00677925712,1367.0,,5701855.880150744,0.26559410393264604,0.02567562200521801
integral-protocol,2022-07-05T00:00:00.000Z,,,,,715561.4813672518,7354914.775866276,,,0.02451638258622092,Integral Protocol,,,,,,,202060.0970462499,1364.0,,5687475.111498524,0.28237978469741776,0.027472799237493663
integral-protocol,2022-07-04T00:00:00.000Z,,,,,751216.3076714913,7709064.808320253,,,0.025696882694400843,Integral Protocol,,,,,,,43820.301628316716,1365.0,,5519190.259064431,0.058332468532458215,0.005684256484784284
integral-protocol,2022-07-03T00:00:00.000Z,,,,,747222.207586744,7676710.686763328,,,0.025589035622544425,Integral Protocol,,,,,,,101434.9340237393,1364.0,,5511659.879789432,0.1357493567426713,0.013213332918568868
integral-protocol,2022-07-02T00:00:00.000Z,,,,,751955.2936087928,7769759.531713365,,,0.02589919843904455,Integral Protocol,,,,,,,74606.1778760297,1362.0,,5594072.193512214,0.09921624132463892,0.009602121863812402
integral-protocol,2022-07-01T00:00:00.000Z,,,,,754753.5222019298,7565977.701740477,,,0.02521992567246826,Integral Protocol,,,,,,,162248.59975714592,1361.0,,5515314.61418543,0.21496898654251959,0.02144449880149954
integral-protocol,2022-06-30T00:00:00.000Z,,,,,793010.3870919707,8074267.331501662,,,0.026914224438338873,Integral Protocol,,,,,,,361888.3952975055,1359.0,,5658552.243639444,0.4563476105585171,0.04481996699385987
integral-protocol,2022-06-29T00:00:00.000Z,,,,,797897.2042952143,8188705.7304325765,,,0.027295685768108587,Integral Protocol,,,,,,,359592.4851071791,1361.0,,5740166.711872105,0.4506752037373142,0.04391322596570866
integral-protocol,2022-06-28T00:00:00.000Z,,,,,790429.5436290436,8196254.658724537,,,0.027320848862415124,Integral Protocol,,,,,,,365661.4439047443,1360.0,,5737205.977635704,0.4626110535113713,0.04461323606087745
integral-protocol,2022-06-27T00:00:00.000Z,,,,,844135.7910577048,8593202.605230134,,,0.02864400868410045,Integral Protocol,,,,,,,363686.8826988049,1359.0,,5608950.917793213,0.4308393111055084,0.04232262398624838
integral-protocol,2022-06-26T00:00:00.000Z,,,,,864988.0529345478,8818781.310774818,,,0.029395937702582725,Integral Protocol,,,,,,,373936.638182347,1357.0,,5650535.160556776,0.4323026623474558,0.042402303107966846
integral-protocol,2022-06-25T00:00:00.000Z,,,,,838942.900635601,8525227.274023449,,,0.028417424246744833,Integral Protocol,,,,,,,352521.2728513345,1355.0,,5688243.077769251,0.4201969795372925,0.04135036656740805
integral-protocol,2022-06-24T00:00:00.000Z,,,,,823922.5288058073,8486805.231870228,,,0.02828935077290076,Integral Protocol,,,,,,,375165.9943690655,1351.0,,5574115.304460057,0.4553413473386033,0.04420579760216679
integral-protocol,2022-06-23T00:00:00.000Z,,,,,793183.9112960692,8053016.022918484,,,0.026843386743061613,Integral Protocol,,,,,,,376708.66748724587,1353.0,,5443515.7777909245,0.4749323103032949,0.04677858164135669
integral-protocol,2022-06-22T00:00:00.000Z,,,,,828613.2744454525,8647560.713345544,,,0.028825202377818483,Integral Protocol,,,,,,,379702.63169632433,1352.0,,5514346.694815088,0.45823865415436343,0.043908640168358645
integral-protocol,2022-06-21T00:00:00.000Z,,,,,843842.9930221249,8554733.220316,,,0.028515777401053332,Integral Protocol,,,,,,,370303.3541363601,1352.0,,5500305.9256860195,0.4388296841929824,0.04328637078441607
integral-protocol,2022-06-20T00:00:00.000Z,,,,,829487.2180944321,8495779.584883261,,,0.028319265282944203,Integral Protocol,,,,,,,396219.4830431592,1347.0,,5496605.128767433,0.47766797896342267,0.04663721311086763
integral-protocol,2022-06-19T00:00:00.000Z,,,,,774100.3371139885,7969081.783657739,,,0.026563605945525797,Integral Protocol,,,,,,,351434.7247541915,1341.0,,5299666.389028463,0.45399117905621295,0.04409977639768757
integral-protocol,2022-06-18T00:00:00.000Z,,,,,803044.7129749422,8257254.903894565,,,0.027524183012981884,Integral Protocol,,,,,,,319286.7491196132,1341.0,,5466204.933589755,0.3975952321967109,0.038667420690745594
