project_id,timestamp,active_users,business_type,deposits,gmv,market_cap_circulating,market_cap_fully_diluted,pe_circulating,pe_fully_diluted,price,project,ps_circulating,ps_fully_diluted,revenue_protocol,revenue_supply_side,revenue_total,token_incentives,token_trading_volume,tokenholders,treasury,tvl,volmc_circulating,volmc_fully_diluted
metamask,2022-07-17T00:00:00.000Z,,transaction,,11173319.591157716,,,,,,MetaMask,,,97766.54642263,0.0,97766.54642263,,,,,,,
metamask,2022-07-17T00:00:00.000Z,4347.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-16T00:00:00.000Z,,transaction,,14178232.139700001,,,,,,MetaMask,,,124059.531222375,0.0,124059.531222375,,,,,,,
metamask,2022-07-16T00:00:00.000Z,4884.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-15T00:00:00.000Z,,transaction,,11351640.34300423,,,,,,MetaMask,,,99326.853001287,0.0,99326.853001287,,,,,,,
metamask,2022-07-15T00:00:00.000Z,4361.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-14T00:00:00.000Z,4102.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-14T00:00:00.000Z,,transaction,,10523426.59298777,,,,,,MetaMask,,,92079.982688643,0.0,92079.982688643,,,,,,,
metamask,2022-07-13T00:00:00.000Z,,transaction,,12216667.177045483,,,,,,MetaMask,,,106895.837799148,0.0,106895.837799148,,,,,,,
metamask,2022-07-13T00:00:00.000Z,4489.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-12T00:00:00.000Z,,transaction,,25216502.55473383,,,,,,MetaMask,,,220644.397353921,0.0,220644.397353921,,,,,,,
metamask,2022-07-12T00:00:00.000Z,4670.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-11T00:00:00.000Z,,transaction,,8128998.056860796,,,,,,MetaMask,,,71128.732997532,0.0,71128.732997532,,,,,,,
metamask,2022-07-11T00:00:00.000Z,3961.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-10T00:00:00.000Z,4286.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-10T00:00:00.000Z,,transaction,,7592943.616338058,,,,,,MetaMask,,,66438.256642958,0.0,66438.256642958,,,,,,,
metamask,2022-07-09T00:00:00.000Z,4276.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-09T00:00:00.000Z,,transaction,,6399605.242759083,,,,,,MetaMask,,,55996.545874142,0.0,55996.545874142,,,,,,,
metamask,2022-07-08T00:00:00.000Z,4593.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-08T00:00:00.000Z,,transaction,,13296968.6447128,,,,,,MetaMask,,,116348.475641237,0.0,116348.475641237,,,,,,,
metamask,2022-07-07T00:00:00.000Z,,transaction,,13028956.091674285,,,,,,MetaMask,,,114003.36580215,0.0,114003.36580215,,,,,,,
metamask,2022-07-07T00:00:00.000Z,4403.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-06T00:00:00.000Z,,transaction,,10800847.888209485,,,,,,MetaMask,,,94507.419021833,0.0,94507.419021833,,,,,,,
metamask,2022-07-06T00:00:00.000Z,4257.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-05T00:00:00.000Z,,transaction,,9798170.187758973,,,,,,MetaMask,,,85733.989142891,0.0,85733.989142891,,,,,,,
metamask,2022-07-05T00:00:00.000Z,4066.0,,,,,,,,,Metamask,,,,,,,,,,,,
metamask,2022-07-04T00:00:00.000Z,,transaction,,10040983.307254396,,,,,,MetaMask,,,87858.603938476,0.0,87858.603938476,,,,,,,
metamask,2022-07-04T00:00:00.000Z,4322.0,,,,,,,,,Metamask,,,,,,,,,,,,
