project_id,timestamp,active_users,business_type,deposits,gmv,market_cap_circulating,market_cap_fully_diluted,pe_circulating,pe_fully_diluted,price,project,ps_circulating,ps_fully_diluted,revenue_protocol,revenue_supply_side,revenue_total,token_incentives,token_trading_volume,tokenholders,treasury,tvl,volmc_circulating,volmc_fully_diluted
pocket-network,2022-06-26T00:00:00.000Z,,transaction,,,139118446.23943105,,,,0.12392783406741813,Pocket Network,,,,,,941694.0913251998,594725.8129469891,,,,0.004274960143843405,
pocket-network,2022-06-25T00:00:00.000Z,,transaction,,,128347186.5218485,,,,0.11457740052639531,Pocket Network,,,,,,909686.1021937202,509514.3224015445,,,,0.003969812944164616,
pocket-network,2022-06-24T00:00:00.000Z,,transaction,,,134320584.80138144,,,,0.11665835141227629,Pocket Network,,,,,,926225.5699551002,615520.2712638949,,,,0.004582471645534144,
pocket-network,2022-06-23T00:00:00.000Z,,transaction,,,132178561.70300391,,,,0.11796368404497844,Pocket Network,,,,,,906415.8919555794,703159.6094438669,,,,0.0053197704709771155,
pocket-network,2022-06-22T00:00:00.000Z,,transaction,,,122569923.26910989,,,,0.10897166722811084,Pocket Network,,,,,,911115.6481957899,247582.0756480348,,,,0.0020199251908190638,
pocket-network,2022-06-21T00:00:00.000Z,,transaction,,,135681442.17853457,,,,0.12145560223775319,Pocket Network,,,,,,771738.5449197601,234547.79413522317,,,,0.0017286652497885207,
pocket-network,2022-06-20T00:00:00.000Z,,transaction,,,135545033.60446575,,,,0.12215447712754476,Pocket Network,,,,,,882035.0424185098,290729.7430265421,,,,0.0021448941012100907,
pocket-network,2022-06-19T00:00:00.000Z,,transaction,,,137597363.4018995,,,,0.12372028250319096,Pocket Network,,,,,,857669.8004145001,375298.16433895845,,,,0.0027275098523710344,
pocket-network,2022-06-18T00:00:00.000Z,,transaction,,,146052627.71466416,,,,0.13084266969400443,Pocket Network,,,,,,628943.5609439602,709565.3108542303,,,,0.0048582851397954525,
pocket-network,2022-06-17T00:00:00.000Z,,transaction,,,138596675.62124884,,,,0.12227896229694854,Pocket Network,,,,,,1016610.7822287501,463398.53900231567,,,,0.0033435039976620483,
pocket-network,2022-06-16T00:00:00.000Z,,transaction,,,158972211.7199862,,,,0.14470126552163148,Pocket Network,,,,,,974302.1599680599,756126.8004689099,,,,0.004756345730414523,
pocket-network,2022-06-15T00:00:00.000Z,,transaction,,,151951552.41771507,,,,0.13679293350562155,Pocket Network,,,,,,1167534.28942962,832557.257080476,,,,0.005479096750468036,
pocket-network,2022-06-14T00:00:00.000Z,,transaction,,,149527297.56938866,,,,0.13650813002699227,Pocket Network,,,,,,1105131.7583324201,491345.27765055775,,,,0.0032859904889443164,
pocket-network,2022-06-13T00:00:00.000Z,,transaction,,,173776350.06928226,,,,0.15733310764940428,Pocket Network,,,,,,1075200.2099639499,676439.0614496991,,,,0.0038925841242494277,
pocket-network,2022-06-12T00:00:00.000Z,,transaction,,,173979631.20986834,,,,0.1606515480147808,Pocket Network,,,,,,1236061.2395349,693980.2224592551,,,,0.003988859026963449,
pocket-network,2022-06-11T00:00:00.000Z,,transaction,,,195490172.52129325,,,,0.1773973135724863,Pocket Network,,,,,,1243825.3099947602,984450.2471806823,,,,0.005035804278465474,
pocket-network,2022-06-10T00:00:00.000Z,,transaction,,,183952503.8035724,,,,0.1689827467782572,Pocket Network,,,,,,1904393.0389728,732041.1691462803,,,,0.003979511852298386,
pocket-network,2022-06-09T00:00:00.000Z,,transaction,,,174385256.47258946,,,,0.1591335850256645,Pocket Network,,,,,,1775186.6375987101,853340.1436279926,,,,0.00489341909338605,
pocket-network,2022-06-08T00:00:00.000Z,,transaction,,,163454224.994583,,,,0.14968472085206286,Pocket Network,,,,,,1334106.8674046996,853739.3392166055,,,,0.005223109645803888,
pocket-network,2022-06-07T00:00:00.000Z,,transaction,,,158994115.8909536,,,,0.14546126795428468,Pocket Network,,,,,,1224123.9273474293,828686.174185083,,,,0.005212055613136268,
pocket-network,2022-06-06T00:00:00.000Z,,transaction,,,151682113.43169746,,,,0.1394902344681674,Pocket Network,,,,,,1200542.6405030799,759865.6628219225,,,,0.005009593060318812,
pocket-network,2022-06-05T00:00:00.000Z,,transaction,,,141132745.05349925,,,,0.1298643068258718,Pocket Network,,,,,,1105493.9000346304,675310.4410289446,,,,0.0047849309582475305,
pocket-network,2022-06-04T00:00:00.000Z,,transaction,,,132803719.88955282,,,,0.12325988653128099,Pocket Network,,,,,,986441.7745338001,826843.5769895999,,,,0.00622605735499917,
pocket-network,2022-06-03T00:00:00.000Z,,transaction,,,165451662.3913915,,,,0.1521384811859148,Pocket Network,,,,,,952777.37136302,976413.3350373922,,,,0.005901502112004136,
pocket-network,2022-06-02T00:00:00.000Z,,transaction,,,171953031.97908548,,,,0.15805587566409077,Pocket Network,,,,,,1173602.48973294,990191.9610548589,,,,0.0057585024797660745,
pocket-network,2022-06-01T00:00:00.000Z,,transaction,,,192164011.5723866,,,,0.17823357559812883,Pocket Network,,,,,,1148705.0546167197,1329109.3495103961,,,,0.0069165362371181125,
pocket-network,2022-05-31T00:00:00.000Z,,transaction,,,181879155.04565492,,,,0.16743342711625503,Pocket Network,,,,,,1344984.8708400002,854286.4905745201,,,,0.004697000546104797,
