project_id,timestamp,active_users,business_type,deposits,gmv,market_cap_circulating,market_cap_fully_diluted,pe_circulating,pe_fully_diluted,price,project,ps_circulating,ps_fully_diluted,revenue_protocol,revenue_supply_side,revenue_total,token_incentives,token_trading_volume,tokenholders,treasury,tvl,volmc_circulating,volmc_fully_diluted
stake-dao,2022-07-17T00:00:00.000Z,,,,,20772991.09180498,54681108.277773015,,,0.5468110827777302,Stake DAO,,,,,,,81507.20028117335,3958,934029.7612087654,123307730.8537595,0.003923710356441073,0.0014905915927513253
stake-dao,2022-07-16T00:00:00.000Z,,,,,18839001.746015895,49728373.72276795,,,0.4972837372276795,Stake DAO,,,,,,,84159.65590110038,3963,883879.8433069781,123903248.69038326,0.004467309735182684,0.001692387053923869
stake-dao,2022-07-15T00:00:00.000Z,,,,,18217193.25596252,48019093.28884345,,,0.4801909328884345,Stake DAO,,,,,,,77136.31521022125,3957,866831.6279511196,126506967.59364499,0.004234259039052264,0.00160636759103785
stake-dao,2022-07-14T00:00:00.000Z,,,,,17204421.92744905,45400841.57074546,,,0.4540084157074546,Stake DAO,,,,,,,62683.00173683007,3945,839301.458397759,124426051.2911513,0.0036434238826020386,0.0013806572646710708
stake-dao,2022-07-13T00:00:00.000Z,,,,,16353984.151768478,43154812.657569274,,,0.43154812657569275,Stake DAO,,,,,,,160039.2743513164,3937,1061123.8438099427,121197606.99081807,0.009785950192082714,0.0037084919269889543
stake-dao,2022-07-12T00:00:00.000Z,,,,,14648346.394475566,38711741.11370728,,,0.3871174111370728,Stake DAO,,,,,,,62219.23686366061,3934,923705.5013005831,122155277.17029391,0.004247526320590411,0.001607244600053126
stake-dao,2022-07-11T00:00:00.000Z,,,,,15554300.706875276,41178102.36670798,,,0.4117810236670798,Stake DAO,,,,,,,52400.05900014673,3941,947831.2532650162,123511200.88663065,0.0033688469824287876,0.0012725224327605627
stake-dao,2022-07-10T00:00:00.000Z,,,,,16145092.70822509,42758878.679185934,,,0.42758878679185935,Stake DAO,,,,,,,71923.33631031873,3940,1363940.7659987223,124966766.06238042,0.004454810982514675,0.0016820678776436062
stake-dao,2022-07-09T00:00:00.000Z,,,,,16245894.907825287,42982269.965250656,,,0.4298226996525065,Stake DAO,,,,,,,88348.33594469877,3941,1367849.9256469018,125324487.40599497,0.005438194475956098,0.0020554599842243014
stake-dao,2022-07-08T00:00:00.000Z,,,,,15808440.59851341,42151919.7417589,,,0.421519197417589,Stake DAO,,,,,,,132592.05487010095,3933,1360146.429031103,127095201.26359859,0.008387421519777834,0.0031455757100131592
stake-dao,2022-07-07T00:00:00.000Z,,,,,15163614.94839043,40441315.060258955,,,0.40441315060258953,Stake DAO,,,,,,,99252.65743450138,3925,1339560.6765397014,125155435.38349894,0.006545448283427741,0.00245423911874803
stake-dao,2022-07-06T00:00:00.000Z,,,,,13735842.481307551,36659746.60853296,,,0.36659746608532956,Stake DAO,,,,,,,68105.45304107506,3920,1307685.6813967938,124282544.7713033,0.004958229037189127,0.0018577720617747743
stake-dao,2022-07-05T00:00:00.000Z,,,,,13693411.695899192,36536166.77798217,,,0.36536166777982165,Stake DAO,,,,,,,83813.07981796731,3918,1307432.6733411795,123520404.67440903,0.0061206864789632425,0.002293975728961137
stake-dao,2022-07-04T00:00:00.000Z,,,,,13207495.142234318,35358070.33453159,,,0.35358070334531594,Stake DAO,,,,,,,76293.55888963418,3913,1292514.2768423366,121795424.04585528,0.005776535071034488,0.002157741023981276
