project_id,timestamp,active_users,business_type,deposits,gmv,market_cap_circulating,market_cap_fully_diluted,pe_circulating,pe_fully_diluted,price,project,ps_circulating,ps_fully_diluted,revenue_protocol,revenue_supply_side,revenue_total,token_incentives,token_trading_volume,tokenholders,treasury,tvl,volmc_circulating,volmc_fully_diluted
volmex,2022-07-17T00:00:00.000Z,0,transaction,1038904.877343566,0.0,,,,,,Volmex,,,,,,,,,,1038904.877343566,,
volmex,2022-07-16T00:00:00.000Z,24,transaction,1038693.857933634,8419.751203016,,,,,,Volmex,,,23.434018316,0.0,23.434018316,,,,,1038693.857933634,,
volmex,2022-07-15T00:00:00.000Z,25,transaction,1045323.882398275,6024.006649763,,,,,,Volmex,,,8.964541291,0.0,8.964541291,,,,,1045323.882398275,,
volmex,2022-07-14T00:00:00.000Z,62,transaction,1042402.749364048,6853.254085069,,,,,,Volmex,,,15.390600149,0.0,15.390600149,,,,,1042402.749364048,,
volmex,2022-07-13T00:00:00.000Z,39,transaction,1043824.250739073,9438.548312276,,,,,,Volmex,,,19.216786703,0.0,19.216786703,,,,,1043824.250739073,,
volmex,2022-07-12T00:00:00.000Z,50,transaction,1044230.456572773,11689.762549883,,,,,,Volmex,,,21.358215494,0.0,21.358215494,,,,,1044230.456572773,,
volmex,2022-07-11T00:00:00.000Z,42,transaction,1042069.904114971,9665.327352122,,,,,,Volmex,,,21.043283862,0.0,21.043283862,,,,,1042069.904114971,,
volmex,2022-07-10T00:00:00.000Z,31,transaction,1043838.095779726,16187.906484876,,,,,,Volmex,,,33.45318518,0.0,33.45318518,,,,,1043838.095779726,,
volmex,2022-07-09T00:00:00.000Z,37,transaction,1044418.993889164,20825.479851452,,,,,,Volmex,,,41.416635676,0.0,41.416635676,,,,,1044418.993889164,,
volmex,2022-07-08T00:00:00.000Z,30,transaction,1044504.960214095,19698.481833403,,,,,,Volmex,,,43.176358025,0.0,43.176358025,,,,,1044504.960214095,,
volmex,2022-07-07T00:00:00.000Z,80,transaction,1048232.639690697,29657.236255655,,,,,,Volmex,,,65.627511679,0.0,65.627511679,,,,,1048232.639690697,,
volmex,2022-07-06T00:00:00.000Z,52,transaction,1054149.603435746,17102.692761519,,,,,,Volmex,,,33.569736654,0.0,33.569736654,,,,,1054149.603435746,,
volmex,2022-07-05T00:00:00.000Z,32,transaction,1053807.955386195,11045.298797201,,,,,,Volmex,,,23.469839767,0.0,23.469839767,,,,,1053807.955386195,,
volmex,2022-07-04T00:00:00.000Z,83,transaction,1055445.996971471,13145.742572303,,,,,,Volmex,,,28.555401988,0.0,28.555401988,,,,,1055445.996971471,,
volmex,2022-07-03T00:00:00.000Z,40,transaction,1057207.205634451,16757.519379223,,,,,,Volmex,,,33.770315462,0.0,33.770315462,,,,,1057207.205634451,,
volmex,2022-07-02T00:00:00.000Z,33,transaction,1057230.898591459,11302.715318982,,,,,,Volmex,,,24.033381012,0.0,24.033381012,,,,,1057230.898591459,,
volmex,2022-07-01T00:00:00.000Z,24,transaction,1058671.424173464,13732.528947536,,,,,,Volmex,,,31.593390483,0.0,31.593390483,,,,,1058671.424173464,,
volmex,2022-06-30T00:00:00.000Z,11,transaction,1062601.883846583,3197.882161828,,,,,,Volmex,,,8.879960095,0.0,8.879960095,,,,,1062601.883846583,,
volmex,2022-06-29T00:00:00.000Z,10,transaction,1064801.225109152,1971.049569831,,,,,,Volmex,,,5.305933279,0.0,5.305933279,,,,,1064801.225109152,,
volmex,2022-06-28T00:00:00.000Z,40,transaction,1066704.439805498,5673.80177411,,,,,,Volmex,,,12.403385548,0.0,12.403385548,,,,,1066704.439805498,,
volmex,2022-06-27T00:00:00.000Z,24,transaction,1067349.27062378,7645.759588467,,,,,,Volmex,,,15.854091412,0.0,15.854091412,,,,,1067349.27062378,,
