project_id,timestamp,active_users,business_type,deposits,gmv,market_cap_circulating,market_cap_fully_diluted,pe_circulating,pe_fully_diluted,price,project,ps_circulating,ps_fully_diluted,revenue_protocol,revenue_supply_side,revenue_total,token_incentives,token_trading_volume,tokenholders,treasury,tvl,volmc_circulating,volmc_fully_diluted
zora,2022-07-17T00:00:00.000Z,194,transaction,,44972.254205318,,,,,,Zora,,,0.0,808.585301881,808.585301881,,,,,,,
zora,2022-07-16T00:00:00.000Z,126,transaction,,29179.96624639,,,,,,Zora,,,0.0,910.93148006,910.93148006,,,,,,,
zora,2022-07-15T00:00:00.000Z,76,transaction,,9821.693673896,,,,,,Zora,,,0.0,911.466022555,911.466022555,,,,,,,
zora,2022-07-14T00:00:00.000Z,131,transaction,,10186.075130539,,,,,,Zora,,,0.0,499.784639489,499.784639489,,,,,,,
zora,2022-07-13T00:00:00.000Z,138,transaction,,6591.82492315,,,,,,Zora,,,0.0,350.727313943,350.727313943,,,,,,,
zora,2022-07-12T00:00:00.000Z,71,transaction,,4043.409210342,,,,,,Zora,,,0.0,252.770243123,252.770243123,,,,,,,
zora,2022-07-11T00:00:00.000Z,74,transaction,,21358.711608149,,,,,,Zora,,,0.0,2041.655293269,2041.655293269,,,,,,,
zora,2022-07-10T00:00:00.000Z,163,transaction,,11630.529268819,,,,,,Zora,,,0.0,284.894275255,284.894275255,,,,,,,
zora,2022-07-09T00:00:00.000Z,100,transaction,,4580.891007654,,,,,,Zora,,,0.0,388.62573548,388.62573548,,,,,,,
zora,2022-07-08T00:00:00.000Z,68,transaction,,4504.227217403,,,,,,Zora,,,0.0,194.202535921,194.202535921,,,,,,,
zora,2022-07-07T00:00:00.000Z,86,transaction,,266351.846339788,,,,,,Zora,,,0.0,250.350453069,250.350453069,,,,,,,
zora,2022-07-06T00:00:00.000Z,73,transaction,,4042.219865256,,,,,,Zora,,,0.0,201.153060015,201.153060015,,,,,,,
zora,2022-07-05T00:00:00.000Z,75,transaction,,7302.246009743,,,,,,Zora,,,0.0,1149.112942148,1149.112942148,,,,,,,
zora,2022-07-04T00:00:00.000Z,92,transaction,,3317.581872555,,,,,,Zora,,,0.0,128.94576084,128.94576084,,,,,,,
zora,2022-07-03T00:00:00.000Z,99,transaction,,10256.119445446,,,,,,Zora,,,0.0,521.198086551,521.198086551,,,,,,,
zora,2022-07-02T00:00:00.000Z,147,transaction,,20635.341355006,,,,,,Zora,,,0.0,315.508805439,315.508805439,,,,,,,
zora,2022-07-01T00:00:00.000Z,102,transaction,,4699.307343702,,,,,,Zora,,,0.0,297.554441561,297.554441561,,,,,,,
zora,2022-06-30T00:00:00.000Z,55,transaction,,5694.57045006,,,,,,Zora,,,0.0,278.377235613,278.377235613,,,,,,,
zora,2022-06-29T00:00:00.000Z,81,transaction,,7514.87707372,,,,,,Zora,,,0.0,854.22899406,854.22899406,,,,,,,
zora,2022-06-28T00:00:00.000Z,73,transaction,,4499.615867772,,,,,,Zora,,,0.0,205.740215196,205.740215196,,,,,,,
zora,2022-06-27T00:00:00.000Z,63,transaction,,9856.698916552,,,,,,Zora,,,0.0,193.207363811,193.207363811,,,,,,,
zora,2022-06-26T00:00:00.000Z,75,transaction,,4836.112684709,,,,,,Zora,,,0.0,225.774684042,225.774684042,,,,,,,
zora,2022-06-25T00:00:00.000Z,59,transaction,,12755.281167808,,,,,,Zora,,,0.0,150.540649557,150.540649557,,,,,,,
zora,2022-06-24T00:00:00.000Z,28,transaction,,2764.719860835,,,,,,Zora,,,0.0,47.169431133,47.169431133,,,,,,,
zora,2022-06-23T00:00:00.000Z,71,transaction,,2995.767471366,,,,,,Zora,,,0.0,188.321089124,188.321089124,,,,,,,
zora,2022-06-22T00:00:00.000Z,57,transaction,,3959.318307596,,,,,,Zora,,,0.0,130.204458794,130.204458794,,,,,,,
zora,2022-06-21T00:00:00.000Z,52,transaction,,12723.066211523,,,,,,Zora,,,0.0,68.075652369,68.075652369,,,,,,,
zora,2022-06-20T00:00:00.000Z,86,transaction,,9221.477897198,,,,,,Zora,,,0.0,179.899381836,179.899381836,,,,,,,
zora,2022-06-19T00:00:00.000Z,62,transaction,,2808.322570554,,,,,,Zora,,,0.0,140.378999266,140.378999266,,,,,,,
zora,2022-06-18T00:00:00.000Z,40,transaction,,2945.08911405,,,,,,Zora,,,0.0,219.323514363,219.323514363,,,,,,,
zora,2022-06-17T00:00:00.000Z,59,transaction,,3974.152342525,,,,,,Zora,,,0.0,359.895213441,359.895213441,,,,,,,
zora,2022-06-16T00:00:00.000Z,55,transaction,,14438.243385836,,,,,,Zora,,,0.0,165.039204995,165.039204995,,,,,,,
zora,2022-06-15T00:00:00.000Z,56,transaction,,125345.146255927,,,,,,Zora,,,0.0,1119.076283506,1119.076283506,,,,,,,
zora,2022-06-14T00:00:00.000Z,67,transaction,,24918.020597216,,,,,,Zora,,,0.0,231.098518718,231.098518718,,,,,,,
zora,2022-06-13T00:00:00.000Z,22,transaction,,1898.447462608,,,,,,Zora,,,0.0,29.189534334,29.189534334,,,,,,,
zora,2022-06-12T00:00:00.000Z,78,transaction,,13461.998111721,,,,,,Zora,,,0.0,139.590675258,139.590675258,,,,,,,
zora,2022-06-11T00:00:00.000Z,60,transaction,,4837.506853416,,,,,,Zora,,,0.0,288.825641722,288.825641722,,,,,,,
zora,2022-06-10T00:00:00.000Z,36,transaction,,2421.12377736,,,,,,Zora,,,0.0,108.760681167,108.760681167,,,,,,,
zora,2022-06-09T00:00:00.000Z,34,transaction,,5865.887252851,,,,,,Zora,,,0.0,463.708747306,463.708747306,,,,,,,
zora,2022-06-08T00:00:00.000Z,38,transaction,,2799.91103065,,,,,,Zora,,,0.0,117.000896402,117.000896402,,,,,,,
zora,2022-06-07T00:00:00.000Z,69,transaction,,5999.300972312,,,,,,Zora,,,0.0,245.064683024,245.064683024,,,,,,,
zora,2022-06-06T00:00:00.000Z,76,transaction,,6188.133120141,,,,,,Zora,,,0.0,261.685150752,261.685150752,,,,,,,
zora,2022-06-05T00:00:00.000Z,74,transaction,,5844.04931073,,,,,,Zora,,,0.0,431.550264952,431.550264952,,,,,,,
zora,2022-06-04T00:00:00.000Z,104,transaction,,5676.649329472,,,,,,Zora,,,0.0,419.859501111,419.859501111,,,,,,,
zora,2022-06-03T00:00:00.000Z,60,transaction,,11425.89811203,,,,,,Zora,,,0.0,653.308657444,653.308657444,,,,,,,
zora,2022-06-02T00:00:00.000Z,44,transaction,,6598.890814473,,,,,,Zora,,,0.0,355.228626103,355.228626103,,,,,,,
zora,2022-06-01T00:00:00.000Z,8,transaction,,6018.507933967,,,,,,Zora,,,0.0,0.655729936,0.655729936,,,,,,,
zora,2022-05-31T00:00:00.000Z,22,transaction,,3182.745883078,,,,,,Zora,,,0.0,72.138684397,72.138684397,,,,,,,
zora,2022-05-30T00:00:00.000Z,28,transaction,,1309.895161092,,,,,,Zora,,,0.0,64.781587146,64.781587146,,,,,,,
zora,2022-05-29T00:00:00.000Z,50,transaction,,5228.846846409,,,,,,Zora,,,0.0,527.193394145,527.193394145,,,,,,,
zora,2022-05-28T00:00:00.000Z,77,transaction,,14007.499425966,,,,,,Zora,,,0.0,707.542147822,707.542147822,,,,,,,
zora,2022-05-27T00:00:00.000Z,22,transaction,,2724.269690017,,,,,,Zora,,,0.0,15.558507513,15.558507513,,,,,,,
zora,2022-05-26T00:00:00.000Z,35,transaction,,1555.966237744,,,,,,Zora,,,0.0,73.256039053,73.256039053,,,,,,,
