date,totalLiquidityUSD
2020-01-09 01:00:00,320023.3881982258
2020-01-10 01:00:00,481703.1835921449
2020-01-11 01:00:00,831125.6185605731
2020-01-12 01:00:00,1017686.511062048
2020-01-13 01:00:00,1189864.7882013186
2020-01-14 01:00:00,2054055.3050841119
2020-01-15 01:00:00,2047218.356038085
2020-01-16 01:00:00,2260613.2155752108
2020-01-17 01:00:00,2439297.4180327407
2020-01-18 01:00:00,2554658.518213561
2020-01-19 01:00:00,2655681.843977463
2020-01-20 01:00:00,2903253.7810532833
2020-01-21 01:00:00,2986549.6820869115
2020-01-22 01:00:00,3808561.073074688
2020-01-23 01:00:00,4004631.2596525815
2020-01-24 01:00:00,3970662.550538618
2020-01-25 01:00:00,4153574.7667354853
2020-01-26 01:00:00,4144026.249766741
2020-01-27 01:00:00,4378505.8255452085
2020-01-28 01:00:00,4697783.829832546
2020-01-29 01:00:00,4976173.927808865
2020-01-30 01:00:00,4937044.099007386
2020-01-31 01:00:00,5220499.78328365
2020-02-01 01:00:00,5514102.254818672
2020-02-02 01:00:00,5726210.785955505
2020-02-03 01:00:00,6249788.739611566
2020-02-04 01:00:00,6706847.635487918
2020-02-05 01:00:00,6932601.467778045
2020-02-06 01:00:00,7665058.295361436
2020-02-07 01:00:00,8107763.805211139
2020-02-08 01:00:00,9163405.601200758
2020-02-09 01:00:00,9243810.966257306
2020-02-10 01:00:00,9872185.84006682
2020-02-11 01:00:00,9964704.065231148
2020-02-12 01:00:00,10265922.728497308
2020-02-13 01:00:00,11520152.998986518
2020-02-14 01:00:00,11964672.243655719
2020-02-15 01:00:00,13574599.940927142
2020-02-16 01:00:00,14578327.599858705
2020-02-17 01:00:00,14636978.914937353
2020-02-18 01:00:00,13875313.883188592
2020-02-19 01:00:00,14870257.46749113
2020-02-20 01:00:00,15584044.901358005
2020-02-21 01:00:00,14798961.487194173
2020-02-22 01:00:00,15858263.005699886
2020-02-23 01:00:00,15543386.526248492
2020-02-24 01:00:00,15999261.824816165
2020-02-25 01:00:00,17055474.11823333
2020-02-26 01:00:00,16438780.584888449
2020-02-27 01:00:00,18483510.321805764
2020-02-28 01:00:00,18712098.302977525
2020-02-29 01:00:00,19160609.491981294
2020-03-01 01:00:00,20633735.050748296
2020-03-02 01:00:00,21319161.36048969
2020-03-03 01:00:00,20327834.666045554
2020-03-04 01:00:00,21204738.7459867
2020-03-05 01:00:00,22054654.774619184
2020-03-06 01:00:00,23182248.985755924
2020-03-07 01:00:00,23421204.980783813
2020-03-08 01:00:00,23162583.017682448
2020-03-09 01:00:00,27569607.6408925
2020-03-10 01:00:00,26813818.671533242
2020-03-11 01:00:00,27491757.131363075
2020-03-12 01:00:00,27147269.878018096
2020-03-13 01:00:00,22948605.389563654
2020-03-14 01:00:00,23894207.428493127
2020-03-15 01:00:00,26001102.366105665
2020-03-16 01:00:00,27609923.843478274
2020-03-17 01:00:00,23745696.354736924
2020-03-18 01:00:00,24574370.55291827
2020-03-19 01:00:00,24350144.118403412
2020-03-20 01:00:00,26812822.88383852
2020-03-21 01:00:00,31217193.94820173
2020-03-22 01:00:00,29907792.302507557
2020-03-23 01:00:00,28838007.4298013
2020-03-24 01:00:00,27570532.974668805
2020-03-25 01:00:00,30201307.31841946
2020-03-26 01:00:00,28554201.533699926
2020-03-27 01:00:00,29881393.25238113
2020-03-28 01:00:00,30783626.352227405
2020-03-29 01:00:00,29566415.091707222
2020-03-30 02:00:00,29194776.250766955
2020-03-31 02:00:00,29753629.693623036
2020-04-01 02:00:00,29430520.0625084
2020-04-02 02:00:00,29782950.101223584
2020-04-03 02:00:00,31107435.106879488
2020-04-04 02:00:00,32002290.50481429
2020-04-05 02:00:00,31190444.681265768
2020-04-06 02:00:00,31526809.534442972
2020-04-07 02:00:00,32485919.856649347
2020-04-08 02:00:00,36372444.650775
2020-04-09 02:00:00,35371963.73392696
2020-04-10 02:00:00,38809658.03875341
2020-04-11 02:00:00,36534156.47385449
2020-04-12 02:00:00,38836861.69104859
2020-04-13 02:00:00,37776494.94271076
2020-04-14 02:00:00,37788085.75825392
2020-04-15 02:00:00,38290660.29053007
2020-04-16 02:00:00,37658130.41462676
2020-04-17 02:00:00,41342415.55440429
2020-04-18 02:00:00,42093079.78302069
2020-04-19 02:00:00,42360592.05978198
2020-04-20 02:00:00,48920161.724775106
2020-04-21 02:00:00,46800023.62137778
2020-04-22 02:00:00,39671803.92565211
2020-04-23 02:00:00,39641158.22499263
2020-04-24 02:00:00,36238249.49932197
2020-04-25 02:00:00,37911381.592038
2020-04-26 02:00:00,39093527.799123555
2020-04-27 02:00:00,39947457.33718702
2020-04-28 02:00:00,38280057.352080345
2020-04-29 02:00:00,41379835.170061044
2020-04-30 02:00:00,42146713.54043759
2020-05-01 02:00:00,41892106.285687156
2020-05-02 02:00:00,43759741.342013605
2020-05-03 02:00:00,42913627.561862305
2020-05-04 02:00:00,42474540.81221149
2020-05-05 02:00:00,39655017.945471995
2020-05-06 02:00:00,42856906.29807512
2020-05-07 02:00:00,45623482.86073673
2020-05-08 02:00:00,45474216.15588435
2020-05-09 02:00:00,50272359.936307155
2020-05-10 02:00:00,52652414.822889686
2020-05-11 02:00:00,48869181.58044046
2020-05-12 02:00:00,51293739.25658051
2020-05-13 02:00:00,49431498.94404264
2020-05-14 02:00:00,50237264.55172218
2020-05-15 02:00:00,52086020.94839278
2020-05-16 02:00:00,53216607.3114252
2020-05-17 02:00:00,52503826.16646421
2020-05-18 02:00:00,53634540.965282224
2020-05-19 02:00:00,53652601.137266375
2020-05-20 02:00:00,54026260.37321957
2020-05-21 02:00:00,57638725.85491038
2020-05-22 02:00:00,56713126.58431349
2020-05-23 02:00:00,55708506.343490295
2020-05-24 02:00:00,55555950.79793922
2020-05-25 02:00:00,56144278.84535653
2020-05-26 02:00:00,54726168.904580116
2020-05-27 02:00:00,54997126.77139333
2020-05-28 02:00:00,56126544.47944622
2020-05-29 02:00:00,56232696.97346923
2020-05-30 02:00:00,57608742.014040954
2020-05-31 02:00:00,63417218.721690215
2020-06-01 02:00:00,65027863.83533187
2020-06-02 02:00:00,65988621.913618706
2020-06-03 02:00:00,68571374.3469709
2020-06-04 02:00:00,68492633.74035563
2020-06-05 02:00:00,67636747.26727073
2020-06-06 02:00:00,69313597.70978999
2020-06-07 02:00:00,69493185.83813596
2020-06-08 02:00:00,72028582.24162832
2020-06-09 02:00:00,71060252.94288321
2020-06-10 02:00:00,78967293.03436477
2020-06-11 02:00:00,82944086.48260906
2020-06-12 02:00:00,87919870.59652525
2020-06-13 02:00:00,88170357.06916201
2020-06-14 02:00:00,86345505.20483066
2020-06-15 02:00:00,82814173.33883217
