date,totalLiquidityUSD
2020-03-24 00:00:00,7833.948843186513
2020-03-25 00:00:00,8322.062696657333
2020-03-26 00:00:00,12416.543658033681
2020-03-27 00:00:00,27798.057736894585
2020-03-28 00:00:00,28222.929479592356
2020-03-29 00:00:00,28457.411319033316
2020-03-30 00:00:00,27645.318861709144
2020-03-31 00:00:00,30502.147626905946
2020-04-01 00:00:00,31254.662178649003
2020-04-02 00:00:00,125621.48706616936
2020-04-03 00:00:00,184475.07604909915
2020-04-04 00:00:00,190888.76709679194
2020-04-05 00:00:00,192902.4570703159
2020-04-06 00:00:00,191363.4639061329
2020-04-07 00:00:00,271426.5175952016
2020-04-08 00:00:00,272984.6052948601
2020-04-09 00:00:00,387389.04300206073
2020-04-10 00:00:00,434341.46284185216
2020-04-11 00:00:00,423817.50607838127
2020-04-12 00:00:00,458962.1962649347
2020-04-13 00:00:00,590666.4956977819
2020-04-14 00:00:00,910017.635063149
2020-04-15 00:00:00,939500.0237565815
2020-04-16 00:00:00,1066140.7877290347
2020-04-17 00:00:00,1176170.5599161722
2020-04-18 00:00:00,1279715.690034226
2020-04-19 00:00:00,1325233.6289914828
2020-04-20 00:00:00,1329703.3074547648
2020-04-21 00:00:00,1374889.3759331051
2020-04-22 00:00:00,1403229.822756521
2020-04-23 00:00:00,1647879.004222387
2020-04-24 00:00:00,1809724.2940139442
2020-04-25 00:00:00,2074147.5359142637
2020-04-26 00:00:00,2199158.6621542857
2020-04-27 00:00:00,2262483.935117274
2020-04-28 00:00:00,2307415.585436769
2020-04-29 00:00:00,2425724.183813469
2020-04-30 00:00:00,2664370.3494541286
2020-05-01 00:00:00,2754217.6162643624
2020-05-02 00:00:00,2780467.4046471873
2020-05-03 00:00:00,2859249.7496681074
2020-05-04 00:00:00,2854343.7811464495
2020-05-05 00:00:00,2777896.6324199378
2020-05-06 00:00:00,2979141.1525474847
2020-05-07 00:00:00,3123461.2620124416
2020-05-08 00:00:00,3607316.760883649
2020-05-09 00:00:00,3576955.2861138806
2020-05-10 00:00:00,3601405.0210130764
2020-05-11 00:00:00,3337191.753300931
2020-05-12 00:00:00,3501556.1479818905
2020-05-13 00:00:00,3631813.222258371
2020-05-14 00:00:00,3665544.3361503575
2020-05-15 00:00:00,3753740.3285248564
2020-05-16 00:00:00,3953740.3285248564
2020-05-17 00:00:00,4164309.912850244
2020-05-18 00:00:00,4196125.430034202
2020-05-19 00:00:00,4333956.582362676
2020-05-20 00:00:00,4314319.514227004
2020-05-21 00:00:00,4294887.703847938
2020-05-22 00:00:00,4306875.648553702
2020-05-23 00:00:00,4954443.503141383
2020-05-24 00:00:00,5025719.710317911
2020-05-25 00:00:00,5073605.397246858
2020-05-26 00:00:00,5230315.680399595
2020-05-27 00:00:00,5352620.2989511825
2020-05-28 00:00:00,5597732.452009648
2020-05-29 00:00:00,5605053.661011147
2020-05-30 00:00:00,7454699.393695173
2020-05-31 00:00:00,7872826.268492516
2020-06-01 00:00:00,8891000.36943767
2020-06-02 00:00:00,10796773.824746171
2020-06-03 00:00:00,11322500.175104914
2020-06-04 00:00:00,12177152.786806272
2020-06-05 00:00:00,13892991.426561724
2020-06-06 00:00:00,31390570.18439917
2020-06-07 00:00:00,30486549.45488258
2020-06-08 00:00:00,30879459.40233533
2020-06-09 00:00:00,30112889.984573256
2020-06-10 00:00:00,33611958.476197556
2020-06-11 00:00:00,34475780.00638568
2020-06-12 00:00:00,33709978.25208583
2020-06-13 00:00:00,34387448.13375206
2020-06-14 00:00:00,34216692.53674735
2020-06-15 00:00:00,33707532.073764704
2020-06-16 00:00:00,31154186.953571767
2020-06-17 00:00:00,31689051.386140697
2020-06-18 00:00:00,31256597.22997706
2020-06-19 00:00:00,33753307.27726747
2020-06-20 00:00:00,35573267.46751217
2020-06-21 00:00:00,35451973.4183197
2020-06-22 00:00:00,37600650.21449137
2020-06-23 00:00:00,39492526.96322229
2020-06-24 00:00:00,53261180.43889102
2020-06-25 00:00:00,80692750.49080363
2020-06-26 00:00:00,122261247.96501653
2020-06-27 00:00:00,132693530.65401165
2020-06-28 00:00:00,145916674.90537345
2020-06-29 00:00:00,148677889.90045002
2020-06-30 00:00:00,145103035.88542336
2020-07-01 00:00:00,146979817.22189826
2020-07-02 00:00:00,161034740.77873293
2020-07-03 00:00:00,167714168.20904678
2020-07-04 00:00:00,175285406.80182606
2020-07-05 00:00:00,184412511.70488453
2020-07-06 00:00:00,189403537.90646878
2020-07-07 00:00:00,205418956.34110343
2020-07-08 00:00:00,207756441.29132333
2020-07-09 00:00:00,209484934.34147573
2020-07-10 00:00:00,205096378.558549
2020-07-11 00:00:00,207415061.15225795
2020-07-12 00:00:00,211307715.58065817
2020-07-13 00:00:00,212049618.65845042
2020-07-14 00:00:00,210905822.28360143
2020-07-15 00:00:00,211574064.40907446
2020-07-16 00:00:00,212900041.28700083
2020-07-17 00:00:00,210388130.8955243
2020-07-18 00:00:00,212447083.18680218
2020-07-19 00:00:00,215670231.71397474
2020-07-20 00:00:00,284759333.91584957
2020-07-21 00:00:00,332915349.2870088
2020-07-22 00:00:00,345493710.0924349
2020-07-23 00:00:00,412037700.8997432
2020-07-24 00:00:00,494203113.90566146
2020-07-25 00:00:00,566978064.5647029
2020-07-26 00:00:00,586329388.121326
2020-07-27 00:00:00,388163853.9119911
2020-07-28 00:00:00,332536961.41927016
2020-07-29 00:00:00,320943709.5183657
2020-07-30 00:00:00,319416082.51368344
2020-07-31 00:00:00,336035481.77613413
2020-08-01 00:00:00,327145555.6957456
2020-08-02 00:00:00,345263172.3688857
2020-08-03 00:00:00,314192501.9514027
2020-08-04 00:00:00,298111871.40591073
2020-08-05 00:00:00,308887893.9420676
2020-08-06 00:00:00,327258321.66762596
2020-08-07 00:00:00,334199530.2961563
2020-08-08 00:00:00,322957808.8940142
2020-08-09 00:00:00,345345986.6639231
2020-08-10 00:00:00,401164628.5530332
2020-08-11 00:00:00,392662499.65275675
2020-08-12 00:00:00,360765883.0983056
2020-08-13 00:00:00,324704159.166368
2020-08-14 00:00:00,394656642.1207743
2020-08-15 00:00:00,322169448.0609298
2020-08-16 00:00:00,315567186.55792576
2020-08-17 00:00:00,317571387.2706878
2020-08-18 00:00:00,321972898.5705554
2020-08-19 00:00:00,336973933.7658964
2020-08-20 00:00:00,331982793.3689855
2020-08-21 00:00:00,371996154.31487864
2020-08-22 00:00:00,371731520.4673873
2020-08-23 00:00:00,432220016.01963437
2020-08-24 00:00:00,495275655.0570005
2020-08-25 00:00:00,450585514.89816856
2020-08-26 00:00:00,468266214.3616849
2020-08-27 00:00:00,539698996.1187599
2020-08-28 00:00:00,531604102.6248302
2020-08-29 00:00:00,542214980.5416365
2020-08-30 00:00:00,601536089.3424915
2020-08-31 00:00:00,697961263.4125282
2020-09-01 00:00:00,767090418.2885566
2020-09-02 00:00:00,838743652.096421
2020-09-03 00:00:00,790918796.2537801
2020-09-04 00:00:00,673607460.5548159
2020-09-05 00:00:00,627366349.185993
2020-09-06 00:00:00,532309091.1164384
2020-09-07 00:00:00,636938995.06571
2020-09-08 00:00:00,647885515.8013588
2020-09-09 00:00:00,689940533.4000648
2020-09-10 00:00:00,697714739.6660489
2020-09-11 00:00:00,607741214.7744149
2020-09-12 00:00:00,608732667.8958833
2020-09-13 00:00:00,680861511.7487398
2020-09-14 00:00:00,748203842.760916
2020-09-15 00:00:00,869507019.9446682
2020-09-16 00:00:00,868133529.0243142
2020-09-17 00:00:00,718898958.5611074
2020-09-18 00:00:00,917084630.070613
2020-09-19 00:00:00,770032434.2385006
2020-09-20 00:00:00,674747650.1428219
2020-09-21 00:00:00,675430882.0080353
2020-09-22 00:00:00,595841509.3042821
2020-09-23 00:00:00,585867078.8029798
2020-09-24 00:00:00,524233954.27650756
2020-09-25 00:00:00,543318945.748686
2020-09-26 00:00:00,586080119.3778647
2020-09-27 00:00:00,593237722.9085865
2020-09-28 00:00:00,587705607.2288587
2020-09-29 00:00:00,593525768.6584936
2020-09-30 00:00:00,542945761.2197834
2020-10-01 00:00:00,533662419.04831386
2020-10-02 00:00:00,556666992.5106373
2020-10-03 00:00:00,554271705.0094043
2020-10-04 00:00:00,574501981.7421813
2020-10-05 00:00:00,561984991.666622
2020-10-06 00:00:00,576094919.3837503
2020-10-07 00:00:00,358847227.2998438
2020-10-08 00:00:00,374856405.13091606
2020-10-09 00:00:00,394143293.7288025
2020-10-10 00:00:00,417000117.30208546
2020-10-11 00:00:00,429834115.8863296
2020-10-12 00:00:00,432077254.87662596
2020-10-13 00:00:00,431617831.2574932
2020-10-14 00:00:00,433235006.68373835
2020-10-15 00:00:00,428221741.7196421
2020-10-16 00:00:00,422835044.9196465
2020-10-17 00:00:00,412002272.0510162
2020-10-18 00:00:00,411206290.5569994
2020-10-19 00:00:00,415677443.6880306
2020-10-20 00:00:00,418163113.82197034
2020-10-21 00:00:00,401810585.64987123
2020-10-22 00:00:00,412710093.65798146
2020-10-23 00:00:00,428244031.1920207
2020-10-24 00:00:00,433633148.9017233
2020-10-25 00:00:00,433906157.729436
2020-10-26 00:00:00,439175614.43896425
2020-10-27 00:00:00,423711208.9968918
2020-10-28 00:00:00,447420251.7403103
2020-10-29 00:00:00,404931356.33552456
2020-10-30 00:00:00,390893190.5268696
2020-10-31 00:00:00,379041617.0428899
2020-11-01 00:00:00,378527245.06852555
2020-11-02 00:00:00,376743732.1543316
2020-11-03 00:00:00,346237692.25483584
2020-11-04 00:00:00,344125746.7222654
2020-11-05 00:00:00,351526534.6510153
2020-11-06 00:00:00,359180976.4262822
2020-11-07 00:00:00,388082336.60746586
2020-11-08 00:00:00,378333307.64910984
2020-11-09 00:00:00,390233374.0906333
2020-11-10 00:00:00,390115634.9673447
2020-11-11 00:00:00,405187722.5024538
2020-11-12 00:00:00,409111138.86583585
2020-11-13 00:00:00,402612647.77116555
2020-11-14 00:00:00,421686756.65146714
2020-11-15 00:00:00,402376807.5045907
2020-11-16 00:00:00,382838174.93464977
2020-11-17 00:00:00,401909494.6673946
2020-11-18 00:00:00,454533697.41149706
2020-11-19 00:00:00,460886509.9594684
2020-11-20 00:00:00,462598882.4287042
2020-11-21 00:00:00,487746069.276875
2020-11-22 00:00:00,495094239.50015235
2020-11-23 00:00:00,530056569.77204144
2020-11-24 00:00:00,522419999.15833247
2020-11-25 00:00:00,511366942.7178184
2020-11-26 00:00:00,503017456.0729281
2020-11-27 00:00:00,470278911.7428553
2020-11-28 00:00:00,467593832.0383579
2020-11-29 00:00:00,487701735.0782278
2020-11-30 00:00:00,498834120.214188
2020-12-01 00:00:00,522860842.2330225
2020-12-02 00:00:00,520201168.1972258
2020-12-03 00:00:00,549665467.661061
2020-12-04 00:00:00,565920379.244975
2020-12-05 00:00:00,543590244.0153359
2020-12-06 00:00:00,551890621.9727325
2020-12-07 00:00:00,564711921.0604767
2020-12-08 00:00:00,627035086.6361846
2020-12-09 00:00:00,599566611.0537889
2020-12-10 00:00:00,606107973.7863199
2020-12-11 00:00:00,610334826.5002025
2020-12-12 00:00:00,585628888.3291961
2020-12-13 00:00:00,613322065.7336668
2020-12-14 00:00:00,629717340.1565899
2020-12-15 00:00:00,630870857.2634041
2020-12-16 00:00:00,628998901.6447916
2020-12-17 00:00:00,666928420.4797646
2020-12-18 00:00:00,665616682.3205172
2020-12-19 00:00:00,671937029.9854805
2020-12-20 00:00:00,686496404.3160148
2020-12-21 00:00:00,665518689.5594652
2020-12-22 00:00:00,647287726.3806119
2020-12-23 00:00:00,664296388.1398741
2020-12-24 00:00:00,626571439.9614756
2020-12-25 00:00:00,641185001.3781788
2020-12-26 00:00:00,646623242.1547179
2020-12-27 00:00:00,664538542.1742759
2020-12-28 00:00:00,690130236.364512
2020-12-29 00:00:00,685961354.6816701
2020-12-30 00:00:00,669617494.4716636
2020-12-31 00:00:00,660220049.2931064
2021-01-01 00:00:00,650179305.0531621
2021-01-02 00:00:00,642647262.9572785
2021-01-03 00:00:00,659768516.0011685
2021-01-04 00:00:00,747748468.6246407
2021-01-05 00:00:00,727149531.2651119
2021-01-06 00:00:00,790121448.6150736
2021-01-07 00:00:00,842821094.4869735
2021-01-08 00:00:00,886676893.0190997
2021-01-09 00:00:00,869880781.6357279
2021-01-10 00:00:00,909372657.7285842
2021-01-11 00:00:00,903336799.3778504
2021-01-12 00:00:00,777370387.8303263
2021-01-13 00:00:00,805632289.6503165
2021-01-14 00:00:00,820387732.0899262
2021-01-15 00:00:00,843759332.6292142
2021-01-16 00:00:00,829201271.8938849
2021-01-17 00:00:00,864921642.3568773
2021-01-18 00:00:00,898816896.5465689
2021-01-19 00:00:00,889035520.2014552
2021-01-20 00:00:00,945325569.1452888
2021-01-21 00:00:00,907738749.7663214
2021-01-22 00:00:00,823197808.1877066
2021-01-23 00:00:00,888250366.3247397
2021-01-24 00:00:00,893189313.5872346
2021-01-25 00:00:00,931278602.108562
2021-01-26 00:00:00,915041199.6648346
2021-01-27 00:00:00,927891928.0643753
2021-01-28 00:00:00,884766974.2041143
2021-01-29 00:00:00,917070555.5627595
2021-01-30 00:00:00,966377020.8314261
2021-01-31 00:00:00,971709125.3174579
2021-02-01 00:00:00,920467549.6796353
2021-02-02 00:00:00,965460976.019757
2021-02-03 00:00:00,1070197006.6015269
2021-02-04 00:00:00,1133622911.2897234
2021-02-05 00:00:00,1164998488.4043777
2021-02-06 00:00:00,1227427290.2348042
2021-02-07 00:00:00,1260068456.7346284
2021-02-08 00:00:00,1205598381.0639348
2021-02-09 00:00:00,1290034713.2855048
2021-02-10 00:00:00,1354100552.9672906
2021-02-11 00:00:00,1368817036.9082754
2021-02-12 00:00:00,1439245981.7729208
2021-02-13 00:00:00,1574345583.883828
2021-02-14 00:00:00,1548588344.6332836
2021-02-15 00:00:00,1545118462.8744135
2021-02-16 00:00:00,1597249639.6500828
2021-02-17 00:00:00,1578841574.724135
2021-02-18 00:00:00,1625027858.91926
2021-02-19 00:00:00,1675549527.741775
2021-02-20 00:00:00,1660473978.3799582
2021-02-21 00:00:00,1696919230.6329775
2021-02-22 00:00:00,1708110188.6929681
2021-02-23 00:00:00,1618763785.4780676
2021-02-24 00:00:00,1436353352.4825442
2021-02-25 00:00:00,1592333011.4138014
2021-02-26 00:00:00,1584139359.9383917
2021-02-27 00:00:00,1507162240.3679643
2021-02-28 00:00:00,1506936540.5793068
2021-03-01 00:00:00,1450506094.9547594
2021-03-02 00:00:00,1561077942.382874
2021-03-03 00:00:00,1584242463.2882943
2021-03-04 00:00:00,1691977176.5521643
2021-03-05 00:00:00,1633316104.9648683
2021-03-06 00:00:00,1633438284.2156124
2021-03-07 00:00:00,1701177647.8636744
2021-03-08 00:00:00,1755211838.773124
2021-03-09 00:00:00,1871800967.4979253
2021-03-10 00:00:00,1918377194.610429
2021-03-11 00:00:00,1896805794.9790158
2021-03-12 00:00:00,1924044005.7043626
2021-03-13 00:00:00,1956479440.1064835
2021-03-14 00:00:00,2104496147.3746288
2021-03-15 00:00:00,2124839193.6513093
2021-03-16 00:00:00,2054467950.9635162
2021-03-17 00:00:00,2081881484.7106042
2021-03-18 00:00:00,2127022805.1346776
2021-03-19 00:00:00,2157492433.668989
2021-03-20 00:00:00,2210794118.416726
2021-03-21 00:00:00,2216613725.766553
2021-03-22 00:00:00,2111411748.9563239
2021-03-23 00:00:00,2051087654.92972
2021-03-24 00:00:00,2006346843.7838573
2021-03-25 00:00:00,1967966665.2067626
2021-03-26 00:00:00,2014209053.709948
2021-03-27 00:00:00,2104233088.1978862
2021-03-28 00:00:00,2138365907.4128332
2021-03-29 00:00:00,2127950458.9969676
2021-03-30 00:00:00,2310534116.392149
2021-03-31 00:00:00,2400306872.064893
2021-04-01 00:00:00,2405083085.0529213
2021-04-02 00:00:00,2486749903.3760667
2021-04-03 00:00:00,2605187326.7848115
2021-04-04 00:00:00,2551686689.904611
2021-04-05 00:00:00,2594636242.1961627
2021-04-06 00:00:00,2611890122.04339
2021-04-07 00:00:00,2558965676.080945
2021-04-08 00:00:00,2409084940.1283593
2021-04-09 00:00:00,2475938212.053238
2021-04-10 00:00:00,2509337039.2229724
2021-04-11 00:00:00,2539591580.792413
2021-04-12 00:00:00,2563830919.5153775
2021-04-13 00:00:00,2601840254.9184422
2021-04-14 00:00:00,2694228568.773422
2021-04-15 00:00:00,2779189373.9344683
2021-04-16 00:00:00,2936829169.517539
2021-04-17 00:00:00,2880543465.237768
2021-04-18 00:00:00,2860923521.774228
2021-04-19 00:00:00,2648061760.9922867
2021-04-20 00:00:00,2627543093.6314516
2021-04-21 00:00:00,2675019553.927251
2021-04-22 00:00:00,2720717961.1513305
2021-04-23 00:00:00,2678534193.6869245
2021-04-24 00:00:00,2588457747.3171206
2021-04-25 00:00:00,2541875631.739729
2021-04-26 00:00:00,2504892237.349462
2021-04-27 00:00:00,2742440711.7172728
2021-04-28 00:00:00,2914531329.8346395
2021-04-29 00:00:00,3037074400.490454
2021-04-30 00:00:00,2979680166.1340113
2021-05-01 00:00:00,3116747030.8214326
2021-05-02 00:00:00,3243460388.149989
2021-05-03 00:00:00,3253069552.7771444
2021-05-04 00:00:00,3412200292.864028
2021-05-05 00:00:00,3417771188.8550515
2021-05-06 00:00:00,3482259748.0669007
2021-05-07 00:00:00,3282509621.238094
2021-05-08 00:00:00,3330388043.3477683
2021-05-09 00:00:00,3481274462.8672767
2021-05-10 00:00:00,3479141756.6425915
2021-05-11 00:00:00,3441655936.875087
2021-05-12 00:00:00,3569779495.803311
2021-05-13 00:00:00,3591247245.5458364
2021-05-14 00:00:00,3382246218.48784
2021-05-15 00:00:00,3514150269.1313167
2021-05-16 02:00:00,3228643881.84572
2021-05-17 02:00:00,3222823528.1919026
2021-05-18 02:00:00,3266479134.5692344
2021-05-19 02:00:00,2601050865.6117887
2021-05-20 02:00:00,2767150168.005935
2021-05-21 02:00:00,2385381324.2562084
2021-05-22 02:00:00,2407443563.98409
2021-05-23 02:00:00,2225838651.313998
2021-05-24 02:00:00,2446735292.518428
2021-05-25 02:00:00,2456273990.800964
2021-05-26 02:00:00,2556251188.833755
2021-05-27 02:00:00,2471574418.159339
2021-05-28 02:00:00,2291073996.417726
2021-05-29 02:00:00,2231413260.568733
2021-05-30 02:00:00,2306046062.3255095
2021-05-31 02:00:00,2421992579.75658
2021-06-01 02:00:00,2387854971.196063
2021-06-02 02:00:00,2354819464.8100934
2021-06-03 02:00:00,2374442898.040842
2021-06-04 02:00:00,2287100025.983351
2021-06-05 02:00:00,2226577353.257519
2021-06-06 02:00:00,2263699685.6174
2021-06-07 02:00:00,2156152467.722602
2021-06-08 02:00:00,2074425055.692832
2021-06-09 02:00:00,2110071452.377092
2021-06-10 02:00:00,2046913247.616204
2021-06-11 02:00:00,1963740373.330582
2021-06-12 02:00:00,1959158322.252674
2021-06-13 02:00:00,2024373917.156406
2021-06-14 02:00:00,2035949397.8445177
2021-06-15 02:00:00,2008045973.138337
2021-06-16 02:00:00,1939023357.1169558
2021-06-17 02:00:00,1892434928.759859
2021-06-18 02:00:00,1793896976.29579
2021-06-19 02:00:00,1784806718.852419
2021-06-20 02:00:00,1814366791.96483
2021-06-21 02:00:00,1658294959.0263171
2021-06-22 02:00:00,1602669311.520436
2021-06-23 02:00:00,1597545292.261744
2021-06-24 02:00:00,1620142159.034622
2021-06-25 02:00:00,1555967079.014812
2021-06-26 02:00:00,1515370713.100952
2021-06-27 02:00:00,1558417017.63422
2021-06-28 02:00:00,1593636707.354796
2021-06-29 02:00:00,1575355253.560483
2021-06-30 02:00:00,1577900682.516372
