date,totalLiquidityUSD
2020-11-13 00:00:00,2444541.82
2020-11-14 00:00:00,2493792.9
2020-11-15 00:00:00,2486862.2
2020-11-16 00:00:00,2477411.14
2020-11-17 00:00:00,2494032.21
2020-11-18 00:00:00,2026229.41
2020-11-19 00:00:00,2068044.26
2020-11-20 00:00:00,2047286.86
2020-11-21 00:00:00,2059137.88
2020-11-22 00:00:00,2043281.35
2020-11-23 00:00:00,2039969.89
2020-11-24 00:00:00,2002391.19
2020-11-25 00:00:00,1982954.76
2020-11-26 00:00:00,1980755.4
2020-11-27 00:00:00,7625574.05
2020-11-28 00:00:00,11064033.83
2020-11-29 00:00:00,12409508.72
2020-11-30 00:00:00,10149733.67
2020-12-01 00:00:00,37753142.5
2020-12-02 00:00:00,37492556.45
2020-12-03 00:00:00,40833262.58
2020-12-04 00:00:00,38804794.24
2020-12-05 00:00:00,42643931.25
2020-12-06 00:00:00,54523574.8
2020-12-07 00:00:00,55224514.07
2020-12-08 00:00:00,60149630.0
2020-12-09 00:00:00,68539231.22
2020-12-10 00:00:00,92830077.3
2020-12-11 00:00:00,103797851.18
2020-12-12 00:00:00,113033024.79
2020-12-13 00:00:00,117772305.68
2020-12-14 00:00:00,131221308.23
2020-12-15 00:00:00,135787128.62
2020-12-16 00:00:00,137915011.8
2020-12-17 00:00:00,137507220.72
2020-12-18 00:00:00,123025236.51
2020-12-19 00:00:00,131324443.52
2020-12-20 00:00:00,204328939.8
2020-12-21 00:00:00,203392225.49
2020-12-22 00:00:00,200078679.98
2020-12-23 00:00:00,210785829.63
2020-12-24 00:00:00,210785829.63
2020-12-25 00:00:00,125310212.91
2020-12-26 00:00:00,126041083.52
2020-12-27 00:00:00,131817294.92
2020-12-28 00:00:00,126253436.01
2020-12-29 00:00:00,127175754.42
2020-12-30 00:00:00,136390245.68
2020-12-31 00:00:00,17498820.82
2021-01-01 00:00:00,18063434.58
2021-01-02 00:00:00,18149783.42
2021-01-03 00:00:00,18993591.45
2021-01-04 00:00:00,19167222.57
2021-01-05 00:00:00,23995928.08
2021-01-06 00:00:00,27535310.33
2021-01-07 00:00:00,29598361.49
2021-01-08 00:00:00,32447007.69
2021-01-09 00:00:00,35927618.75
2021-01-10 00:00:00,36695643.88
2021-01-11 00:00:00,34302770.17
2021-01-12 00:00:00,32751480.63
2021-01-13 00:00:00,33384554.66
2021-01-14 00:00:00,34836624.6
2021-01-15 00:00:00,34929211.22
2021-01-16 00:00:00,40980517.89
2021-01-17 00:00:00,41881333.17
2021-01-18 00:00:00,41407264.85
2021-01-19 00:00:00,41962061.05
2021-01-20 00:00:00,68905520.48
2021-01-21 00:00:00,65404600.31
2021-01-22 00:00:00,73467036.37
2021-01-23 00:00:00,74117215.44
2021-01-24 00:00:00,72580410.85
2021-01-25 00:00:00,68161062.53
2021-01-26 00:00:00,67914556.56
2021-01-27 00:00:00,70257420.51
2021-01-28 00:00:00,69533884.31
2021-01-29 00:00:00,72151431.93
2021-01-30 00:00:00,71970860.86
2021-01-31 00:00:00,72708582.93
2021-02-01 00:00:00,73925464.89
2021-02-02 00:00:00,77921699.75
2021-02-03 00:00:00,82845496.13
2021-02-04 00:00:00,92045650.81
2021-02-05 00:00:00,99335116.46
2021-02-06 00:00:00,101357117.01
2021-02-07 00:00:00,107452421.8
2021-02-08 00:00:00,108518226.49
2021-02-09 00:00:00,114315832.8
2021-02-10 00:00:00,108644057.2
2021-02-11 00:00:00,101716534.69
2021-02-12 00:00:00,106597435.71
2021-02-13 00:00:00,107863922.44
2021-02-14 00:00:00,108938427.44
2021-02-15 00:00:00,118156933.81
2021-02-16 00:00:00,120551041.17
2021-02-17 00:00:00,120636952.83
2021-02-18 00:00:00,125383388.18
2021-02-19 00:00:00,116850977.0
2021-02-20 00:00:00,118807473.76
2021-02-21 00:00:00,123023982.66
2021-02-22 00:00:00,124898808.4
2021-02-23 00:00:00,120155728.47
2021-02-24 00:00:00,99975032.37
2021-02-25 00:00:00,123701180.89
2021-02-26 00:00:00,124169595.38
2021-02-27 00:00:00,126585767.36
2021-02-28 00:00:00,127780474.29
2021-03-01 00:00:00,121440693.0
2021-03-02 00:00:00,124909188.21
2021-03-03 00:00:00,126099236.07
2021-03-04 00:00:00,125432576.86
2021-03-05 00:00:00,126091885.07
2021-03-06 00:00:00,123670299.51
2021-03-07 00:00:00,118671092.73
2021-03-08 00:00:00,102449551.72
2021-03-09 00:00:00,97980757.37
2021-03-10 00:00:00,90877614.32
2021-03-11 00:00:00,109992414.59
2021-03-12 00:00:00,105789588.4
2021-03-13 00:00:00,131115876.88
2021-03-14 00:00:00,108680704.63
2021-03-15 00:00:00,105743863.89
2021-03-16 00:00:00,99532607.35
2021-03-17 00:00:00,109513771.44
2021-03-18 00:00:00,106974299.08
2021-03-19 00:00:00,101146635.55
2021-03-20 00:00:00,100921468.94
2021-03-21 00:00:00,101557919.87
2021-03-22 00:00:00,101189662.14
2021-03-23 00:00:00,105111882.44
2021-03-24 00:00:00,91544439.36
2021-03-25 00:00:00,91946902.27
2021-03-26 00:00:00,98354899.94
2021-03-27 00:00:00,97118309.9
2021-03-28 00:00:00,98506467.35
2021-03-29 00:00:00,98309342.23
2021-03-30 00:00:00,121201673.85
2021-03-31 00:00:00,118581388.85
2021-04-01 00:00:00,117510356.22
2021-04-02 00:00:00,116038988.65
2021-04-03 00:00:00,113801119.5
2021-04-04 00:00:00,124528171.91
2021-04-05 00:00:00,143907375.47
2021-04-06 02:00:00,169217231.675897
2021-04-07 02:00:00,156430838.2867818
2021-04-08 02:00:00,155851613.5828332
2021-04-09 02:00:00,151392633.7591048
2021-04-10 02:00:00,164749909.42836162
2021-04-11 02:00:00,164039362.50006747
2021-04-12 02:00:00,159316096.31830588
2021-04-13 02:00:00,159464968.24672896
2021-04-14 02:00:00,158678855.2955887
2021-04-15 02:00:00,159539960.39916328
2021-04-16 02:00:00,165818058.12093845
2021-04-17 02:00:00,162560103.95892754
2021-04-18 02:00:00,164936074.44149756
2021-04-19 02:00:00,167192535.63462156
2021-04-20 02:00:00,168962711.78364068
2021-04-21 02:00:00,182534007.27298918
2021-04-22 02:00:00,181854340.8924727
2021-04-23 02:00:00,183171255.3210756
2021-04-24 02:00:00,177672245.90401256
2021-04-25 02:00:00,180315405.8604421
2021-04-26 02:00:00,175648252.58917612
2021-04-27 02:00:00,173219371.91327095
2021-04-28 02:00:00,173318875.30467772
2021-04-29 02:00:00,170560790.33562538
2021-04-30 02:00:00,170754699.42551622
2021-05-01 02:00:00,176732119.9152424
2021-05-02 02:00:00,169247450.47739768
2021-05-03 02:00:00,166908498.04190207
2021-05-04 02:00:00,178308600.58149835
2021-05-05 02:00:00,175592340.36833218
2021-05-06 02:00:00,178116255.33368474
2021-05-07 02:00:00,189092137.98619702
2021-05-08 02:00:00,192140194.65843964
2021-05-09 02:00:00,198582077.4985839
2021-05-10 02:00:00,213254356.73195627
2021-05-11 02:00:00,223164452.64810014
2021-05-12 02:00:00,221272493.06081066
2021-05-13 02:00:00,232779175.7209716
2021-05-14 02:00:00,247294502.22621158
2021-05-15 02:00:00,245972592.57141596
2021-05-16 02:00:00,261162044.17589524
2021-05-17 02:00:00,261108538.72519937
2021-05-18 02:00:00,249744679.98151064
2021-05-19 02:00:00,252756656.60482445
2021-05-20 02:00:00,178162874.82629186
2021-05-21 02:00:00,165911155.03390872
2021-05-22 02:00:00,186926896.06313315
2021-05-23 02:00:00,160922322.64548802
2021-05-24 02:00:00,167386087.6328338
2021-05-25 02:00:00,169718572.02209547
2021-05-26 02:00:00,182899733.04096007
2021-05-27 02:00:00,186766122.64866757
2021-05-28 02:00:00,195892756.87708324
2021-05-29 02:00:00,195285515.20531112
2021-05-30 02:00:00,186360756.17279777
2021-05-31 02:00:00,194889672.5854639
2021-06-01 02:00:00,199624751.47525388
2021-06-02 02:00:00,201656855.30785283
