gvkey,fqtr,fyearq,datadate,tic,atq,dlcq,piq,tcorq
002002,1,2020,2020/03/31,BPOP,52803.6390,278.7660,37.3990,679.7290
002002,2,2020,2020/06/30,BPOP,62845.3520,153.0650,152.2560,618.1770
002002,3,2020,2020/09/30,BPOP,65910.3690,206.0280,209.5840,636.7770
002002,4,2020,2020/12/31,BPOP,65926.0000,171.3430,219.3210,662.8600
002002,1,2021,2021/03/31,BPOP,66870.2680,86.8340,339.4630,676.6830
002002,2,2021,2021/06/30,BPOP,72657.2930,90.9250,291.1720,682.7360
002002,3,2021,2021/09/30,BPOP,74189.1630,86.4700,331.6560,699.7980
002002,4,2021,2021/12/31,BPOP,75097.8990,269.7510,281.6160,705.3940
002002,1,2022,2022/03/31,BPOP,69525.0820,72.8190,262.1650,686.5070
002005,1,2020,2020/03/31,BOH,18542.2330,753.2060,42.2030,192.0650
002005,2,2020,2020/06/30,BOH,19769.9420,603.2060,48.6670,177.1970
002005,3,2020,2020/09/30,BOH,20109.4890,602.1060,47.3510,176.8720
002005,4,2020,2020/12/31,BOH,20603.6510,600.5900,50.9030,174.7670
002005,1,2021,2021/03/31,BOH,21947.2710,600.4900,78.9740,172.9380
002005,2,2021,2021/06/30,BOH,22672.1830,550.4900,87.5180,173.3870
002005,3,2021,2021/09/30,BOH,22965.3830,450.4900,82.0780,176.9000
002005,4,2021,2021/12/31,BOH,22784.9410,450.4900,76.9840,176.1410
002005,1,2022,2022/03/31,BOH,23000.3170,450.4900,70.4400,175.6690
002019,1,2020,2020/03/31,BK,468155.0000,15793.0000,1227.0000,4855.0000
002019,2,2020,2020/06/30,BK,442316.0000,16805.0000,1181.0000,4164.0000
002019,3,2020,2020/09/30,BK,428398.0000,16998.0000,1157.0000,3955.0000
002019,4,2020,2020/12/31,BK,469633.0000,16502.0000,903.0000,3933.0000
002019,1,2021,2021/03/31,BK,464984.0000,15498.0000,1153.0000,4004.0000
002019,2,2021,2021/06/30,BK,466963.0000,12876.0000,1268.0000,3998.0000
002019,3,2021,2021/09/30,BK,470533.0000,12740.0000,1162.0000,4085.0000
002019,4,2021,2021/12/31,BK,444438.0000,14615.0000,1065.0000,4066.0000
002019,1,2022,2022/03/31,BK,473811.0000,13493.0000,918.0000,4002.0000
002019,2,2022,2022/06/30,BK,452621.0000,11954.0000,1095.0000,4589.0000
002620,1,2020,2020/03/31,0176A,165696.0000,28230.0000,-285.0000,1784.0000
002620,2,2020,2020/06/30,0176A,167350.0000,24789.0000,57.0000,1761.0000
002620,3,2020,2020/09/30,0176A,164029.0000,24281.0000,-38.0000,1663.0000
002620,4,2020,2020/12/31,0176A,167846.0000,29247.0000,398.0000,1605.0000
002620,1,2021,2021/03/31,0176A,169969.0000,25481.0000,446.0000,1610.0000
002620,2,2021,2021/06/30,0176A,165297.0000,22914.0000,327.0000,1515.0000
002849,1,2020,2020/03/31,BBVA1,94325.5590,409.7840,-2242.3540,1113.4860
002849,2,2020,2020/06/30,BBVA1,102267.6160,251.1000,-234.5380,1012.4220
002849,3,2020,2020/09/30,BBVA1,103652.9220,189.4740,179.9050,1006.0860
002849,4,2020,2020/12/31,BBVA1,102756.2030,1461.8970,472.3360,1019.0900
002849,1,2021,2021/03/31,BBVA1,103983.3980,966.3360,469.1210,1003.7950
002968,1,2020,2020/03/31,JPM,3139431.0000,285116.0000,3210.0000,32775.0000
002968,2,2020,2020/06/30,JPM,3213115.0000,283661.0000,5660.0000,35308.0000
002968,3,2020,2020/09/30,JPM,3246076.0000,278432.0000,11769.0000,30469.0000
002968,4,2020,2020/12/31,JPM,3386071.0000,287351.0000,15176.0000,30557.0000
002968,1,2021,2021/03/31,JPM,3689336.0000,358997.0000,17697.0000,33634.0000
002968,2,2021,2021/06/30,JPM,3684256.0000,297375.0000,15097.0000,31987.0000
002968,3,2021,2021/09/30,JPM,3757576.0000,305313.0000,14111.0000,31303.0000
002968,4,2021,2021/12/31,JPM,3743567.0000,270710.0000,12657.0000,30623.0000
002968,1,2022,2022/03/31,JPM,3954687.0000,281444.0000,10063.0000,32735.0000
002968,2,2022,2022/06/30,JPM,3841314.0000,281141.0000,10865.0000,34386.0000
003231,1,2020,2020/03/31,CMA,76337.0000,2263.0000,-78.0000,847.0000
003231,2,2020,2020/06/30,CMA,84397.0000,752.0000,146.0000,757.0000
003231,3,2020,2020/09/30,CMA,83631.0000,10.0000,267.0000,736.0000
003231,4,2020,2020/12/31,CMA,88129.0000,0.0000,286.0000,754.0000
003231,1,2021,2021/03/31,CMA,86291.0000,0.0000,448.0000,729.0000
