public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
2002/01/31,Communication Services,111,-0.130671,-0.086868,0.004,-0.002,0.780,-0.423,2.65%,6.022,1.311,-1.027,-0.571,-0.992,-0.992,0.931,0.997,0.405,0.148,-0.203,-0.187,-0.015,0.375,-0.269,-0.114,0.055,-0.080,-0.100,-0.358,0.011,-0.070,-0.264,0.487,0.419,0.487,0.549,0.023,0.427,-0.221,0.101,0.034,0.112,-0.005,0.070,0.101,0.279,0.910,0.834,0.104,0.095,0.610,1.471,1.205,0.622,0.411,0.577,-0.819,-0.555,34.400,0.581,1.452,1.307,0.399,18.691,5.505,5.827,1.011,0.472,2.436,-0.104,0.000,0.000,0.000
2002/01/31,Consumer Discretionary,903,0.059403,-0.006952,0.000,0.198,0.833,11.374,1.33%,7.180,5.517,7.931,7.759,9.355,9.746,0.516,1.350,0.380,0.385,0.050,0.046,0.053,0.305,0.014,0.046,0.083,0.082,0.125,0.022,0.108,0.087,0.047,0.279,0.688,0.280,0.408,0.364,0.290,0.465,0.313,0.117,0.065,0.049,0.178,0.437,0.570,1.599,0.368,0.107,0.086,0.339,2.064,1.117,0.546,0.274,0.465,1.676,2.247,79.020,0.156,1.645,0.922,1.342,4.702,9.654,8.836,2.938,1.945,5.985,-0.066,0.000,0.000,0.000
2002/01/31,Consumer Staples,207,0.016463,0.012111,0.098,0.345,0.626,17.387,1.86%,8.122,6.915,12.092,11.714,11.951,12.136,0.558,1.744,0.368,0.458,0.099,0.097,0.084,0.341,0.022,0.057,0.085,0.119,0.178,0.038,0.134,0.116,0.090,0.379,0.604,0.369,0.521,0.436,0.334,0.472,0.352,0.136,0.053,0.058,0.192,0.550,0.472,2.304,0.540,0.100,0.078,0.391,1.745,1.292,0.579,0.339,0.523,2.061,2.873,63.866,0.112,1.585,0.790,1.405,5.531,9.738,10.406,3.574,2.104,8.201,-0.055,0.000,0.002,0.000
2002/01/31,Energy,202,-0.049125,-0.032406,0.000,0.041,0.789,16.681,1.70%,5.154,3.683,5.735,5.640,5.656,5.956,1.325,1.365,0.350,0.272,0.162,0.159,0.115,0.465,0.090,0.187,0.322,0.153,0.189,0.143,0.196,0.172,0.143,0.321,0.654,0.317,0.356,0.034,0.521,0.045,1.200,0.225,0.073,0.245,0.030,1.258,0.341,1.138,0.406,0.088,0.081,0.459,0.778,0.986,0.505,0.259,0.428,4.121,5.594,45.019,0.247,1.434,1.173,0.552,14.174,5.173,5.666,1.142,0.735,6.221,-0.097,0.000,0.000,0.000
2002/01/31,Financials,1009,0.029244,-0.012116,0.000,0.713,0.779,16.001,2.51%,10.592,2.738,11.885,11.883,11.576,11.833,1.521,1.412,0.336,0.042,0.104,0.103,0.000,0.477,0.101,0.233,0.261,0.101,0.238,0.151,0.025,0.088,0.102,0.376,0.624,0.376,0.650,0.000,0.276,0.918,0.235,0.034,0.063,0.136,0.282,0.416,0.512,4.463,0.597,0.090,0.076,0.089,57.056,9.331,0.903,0.132,0.901,1.658,1.942,296.064,0.690,1.537,1.397,0.087,13.936,0.067,0.137,0.999,0.573,5.451,-0.024,0.000,0.000,0.163
2002/01/31,Health Care,751,-0.029141,-0.023761,0.000,-0.013,0.347,-4.840,.730%,-2.190,-1.570,-3.913,-3.328,-3.435,-3.500,3.808,3.141,0.357,0.213,-0.114,-0.121,0.000,0.319,-0.118,-0.062,-0.014,-0.083,-0.122,-0.117,-0.026,-0.078,-0.124,0.042,0.933,0.044,0.099,0.058,0.209,0.602,-0.068,-0.065,0.960,-0.036,0.301,-0.133,0.740,0.000,0.040,0.123,0.091,0.124,2.308,0.381,0.303,0.070,0.188,-1.683,-1.458,95.757,1.532,3.294,2.694,0.668,3.867,9.187,5.482,1.057,0.872,1.725,-0.061,0.116,0.000,0.000
2002/01/31,Industrials,784,0.030347,-0.010162,0.000,0.286,0.835,12.482,1.77%,7.113,5.554,7.149,6.318,9.262,9.500,0.589,1.404,0.380,0.293,0.052,0.052,0.054,0.279,0.015,0.052,0.091,0.084,0.138,0.023,0.106,0.092,0.047,0.257,0.718,0.258,0.373,0.219,0.430,0.540,0.285,0.126,0.079,0.056,0.188,0.423,0.559,1.538,0.329,0.100,0.078,0.312,2.241,1.100,0.538,0.243,0.425,1.671,2.513,80.480,0.170,1.757,1.247,1.115,5.357,9.937,5.990,2.518,1.712,5.376,-0.066,0.000,0.000,0.000
2002/01/31,Information Technology,1268,0.038789,0.007793,0.000,-0.004,0.694,-1.024,.954%,-1.343,-0.206,-1.851,-1.767,-1.831,-1.836,1.709,1.961,0.349,0.313,-0.192,-0.199,0.000,0.418,-0.177,-0.121,-0.041,-0.130,-0.156,-0.181,-0.033,-0.124,-0.207,0.008,0.985,0.009,0.041,0.072,0.226,0.518,-0.021,-0.026,1.015,-0.076,0.463,-0.146,0.886,0.000,0.008,0.170,0.093,0.023,2.847,0.390,0.295,0.030,0.129,-6.231,-4.445,80.319,1.355,2.753,2.377,0.760,4.173,6.991,5.200,1.127,1.013,1.852,-0.130,0.147,0.000,0.000
2002/01/31,Materials,227,0.028516,0.006910,0.255,0.092,1.019,11.450,1.91%,7.852,5.255,6.465,5.077,8.069,8.152,0.509,1.118,0.361,0.215,0.028,0.028,0.049,0.245,0.009,0.054,0.110,0.062,0.087,0.016,0.099,0.067,0.024,0.400,0.586,0.394,0.520,0.395,0.408,0.443,0.348,0.104,0.025,0.068,0.151,0.520,0.356,3.160,0.586,0.095,0.076,0.426,1.472,1.586,0.616,0.321,0.535,1.297,1.719,79.852,0.080,1.647,0.925,0.879,5.199,8.963,6.840,2.661,1.377,6.426,-0.067,0.000,0.000,0.000
2002/01/31,Utilities,123,-0.032746,-0.050142,0.508,0.621,0.856,16.001,4.59%,8.521,7.027,11.032,11.611,10.746,11.151,0.728,1.162,0.367,0.105,0.121,0.120,0.090,0.203,0.053,0.135,0.202,0.090,0.128,0.087,0.107,0.107,0.090,0.542,0.434,0.538,0.694,0.115,0.428,-0.078,0.327,0.071,0.019,0.125,0.185,0.548,0.258,3.864,0.876,0.086,0.070,0.453,1.251,2.815,0.736,0.414,0.650,2.077,2.533,23.680,0.072,0.867,0.687,0.527,25.010,9.193,7.964,1.995,0.836,18.837,-0.029,0.000,0.000,0.000
