",",.,..,Time,Uniswap Protocol Revenue,Uniswap Supply-Side Revenue,V2 # Swaps,V2 Agg Fees,V2 Agg Markets,V2 Agg Volume,V2 Fees,V2 Liquidity,V2 New Markets,V2 Protocol Revenue,V2 Supply-Side Revenue,V2 Volume,V3 # Swaps,V3 0.01% Fee,V3 0.01% Liq,V3 0.01% New Markets,V3 0.01% Vol,V3 0.05% Fee,V3 0.05% Liq,V3 0.05% New Markets,V3 0.05% Vol,V3 0.30% Fee,V3 0.30% Liq,V3 0.30% New Markets,V3 0.30% Vol,V3 1.00% Fee,V3 1.00% Liq,V3 1.00% New Markets,V3 1.00% Vol,V3 Agg Fees,V3 Agg Markets,V3 Agg Volume,V3 Fees,V3 Liquidity,V3 New Markets,V3 Protocol Revenue,V3 Supply-Side Revenue,V3 Volume
|,|,|,2022-05-11T00:00:00+00:00,0,3061042.4725137465,29544,237940037.79190943,73807,79313345930.63647,619124.0875498614,,32,0,619124.0875498614,206374695.84995383,33390,25138.787540387373,,0,251387875.4038737,486240.22402030806,,0,972480448.0406162,1463884.7749482365,,2,487961591.64941216,466654.5984549532,,5,46665459.84549532,541634916.7115617,6689,345346810442.84344,2441918.384963885,,7,0,2441918.384963885,1758495374.9393973
|,|,|,2022-05-10T00:00:00+00:00,0,4970799.322310835,50026,237320913.70435956,73775,79106971234.78651,798269.4711191854,1792352074.5443306,61,0,798269.4711191854,266089823.70639515,55677,24355.753090620736,654385306.5596294,0,243557530.90620735,1049091.9275011877,929482199.4738917,0,2098183855.0023751,2534305.9299964947,1186491522.0264668,2,844768643.3321649,564776.2406033471,190220618.68179426,2,56477624.060334705,539192998.3265978,6682,343588315067.90405,4172529.8511916497,2960579646.741782,4,0,4172529.8511916497,3242987653.301082
|,|,|,2022-05-09T00:00:00+00:00,0,5220823.384540171,49616,236522644.23324037,73714,78840881411.08012,970293.2848540817,1962720179.028207,54,0,970293.2848540817,323431094.9513606,54449,48771.17258140734,653775544.7892845,2,487711725.81407344,1130282.8611650458,994617095.0629022,0,2260565722.330092,2360169.569519478,1305567459.8154078,4,786723189.8398259,711306.4964201589,213525413.5406679,6,71130649.64201589,535020468.4754061,6678,340345327414.60297,4250530.09968609,3167485513.2082624,12,0,4250530.09968609,3606131287.626007
|,|,|,2022-05-08T00:00:00+00:00,0,2569440.4124111384,45842,235552350.9483863,73660,78517450316.12877,485265.9473537308,2054653148.3093417,92,0,485265.9473537308,161755315.78457692,36764,24570.706788804702,641441618.2025832,1,245707067.88804704,706687.4788337208,1086625712.3820333,1,1413374957.6674416,1027219.0340139974,1451319196.1107893,6,342406344.6713325,325697.24542088475,203071747.6778536,2,32569724.542088475,530769938.37572,6666,336739196126.9769,2084174.4650574077,3382458274.3732595,10,0,2084174.4650574077,2034058094.7689097
|,|,|,2022-05-07T00:00:00+00:00,0,1787581.5145066609,40890,235067085.00103256,73568,78355695000.3442,449083.23832072614,2102880555.1688054,91,0,449083.23832072614,149694412.7735754,27527,11913.030928058492,637139994.183062,6,119130309.28058492,376650.6296535677,1117816490.97492,1,753301259.3071353,644387.0608687272,1482377614.0274544,2,214795686.95624238,305547.55473558145,210539707.88024223,1,30554755.473558143,528685763.91066265,6656,334705138032.208,1338498.2761859347,3447873807.0656786,10,0,1338498.2761859347,1117782011.017521
|,|,|,2022-05-06T00:00:00+00:00,0,3198199.561399878,46229,234618001.76271185,73477,78206000587.57062,648990.8687631285,2130179762.515431,91,0,648990.8687631285,216330289.58770952,32133,23930.34813081547,610224576.5841087,3,239303481.3081547,705379.1684772108,1128798473.5725913,0,1410758336.9544215,1387582.7795844143,1475320362.127145,6,462527593.1948047,432316.39644430886,214934906.68865487,4,43231639.64443088,527347265.6344767,6646,333587356021.1905,2549208.6926367492,3429278318.9725,13,0,2549208.6926367492,2155821051.101812
|,|,|,2022-05-05T00:00:00+00:00,0,2871961.3651871155,48948,233969010.8939487,73386,77989670297.98291,628016.2783889469,2237136284.204312,96,0,628016.2783889469,209338759.4629823,32693,21702.235615822432,604332578.1099536,5,217022356.1582243,658159.7848267272,1128912344.5574203,1,1316319569.6534545,1026999.4426871622,1511186429.7431028,4,342333147.5623874,537083.6236684566,230475685.44044772,3,53708362.36684566,524798056.94183993,6633,331431534970.0887,2243945.0867981683,3474907037.8509245,13,0,2243945.0867981683,1929383435.7409117
|,|,|,2022-05-04T00:00:00+00:00,0,2805299.6011038846,53443,233340994.61555976,73290,77780331538.51993,733381.7293785547,2164473342.975725,125,0,733381.7293785547,244460576.45951825,33557,13716.763873701233,600806679.99036,0,137167638.73701233,582922.244287454,1086957680.8416402,0,1165844488.5749083,1099601.6285482105,1445121829.371051,4,366533876.1827369,375677.2350159641,219443067.77854854,3,37567723.50159641,522554111.8550418,6620,329502151534.3478,2071917.8717253301,3352329257.9816,7,0,2071917.8717253301,1707113726.9962537
|,|,|,2022-05-03T00:00:00+00:00,0,1986763.827007055,47583,232607612.8861812,73165,77535870962.06041,550918.6623035048,2183903276.37148,112,0,550918.6623035048,183639554.10116825,24748,13717.291687257704,615576641.2172664,0,137172916.87257704,510783.0418355761,1082436694.382753,0,1021566083.6711522,645281.1551146846,1469102367.0154762,4,215093718.37156156,266063.6760660319,205167024.31637934,1,26606367.60660319,520482193.9833165,6613,327795037807.3515,1435845.1647035503,3372282726.9318748,5,0,1435845.1647035503,1400439086.521894
|,|,|,2022-05-02T00:00:00+00:00,0,2488273.2606117,44699,232056694.2238777,73053,77352231407.95923,544845.708525883,2169769809.0164337,95,0,544845.708525883,181615236.17529434,28312,7654.486498235884,605721337.070652,0,76544864.98235884,521228.6782640087,1069090190.4727643,0,1042457356.5280174,1069015.835257268,1461683925.7928116,1,356338611.7524227,345528.55206630396,204590856.0339757,3,34552855.2066304,519046348.81861293,6608,326394598720.82965,1943427.5520858166,3341086309.3702035,4,0,1943427.5520858166,1509893688.4694293
|,|,|,2022-05-01T00:00:00+00:00,0,3060685.9316850104,38641,231511848.51535183,72958,77170616171.78394,521288.5246323314,2144547476.1750817,56,0,521288.5246323314,173762841.54411048,37428,13200.258459317432,606959493.9600532,2,132002584.59317432,467191.81869647634,1040260631.4463179,0,934383637.3929527,1644427.5572176382,1438201550.3373888,0,548142519.0725461,414577.7726792472,201259482.1352027,4,41457777.26792472,517102921.2665271,6604,324884705032.3602,2539397.4070526795,3286681157.8789625,6,0,2539397.4070526795,1655986518.326598
|,|,|,2022-04-30T00:00:00+00:00,0,4224402.64665719,59748,230990559.9907195,72902,76996853330.23984,837654.8496934026,2207318337.4181623,101,0,837654.8496934026,279218283.23113424,58312,16376.568116810073,590155661.0383605,0,163765681.1681007,476171.271098719,1033608756.4706056,0,952342542.197438,2441106.537956997,1481323785.5904708,3,813702179.3189989,453093.41979126236,211400095.2490799,1,45309341.97912624,514563523.8594744,6598,323228718514.0336,3386747.796963788,3316488298.348517,4,0,3386747.796963788,1975119744.6636639
|,|,|,2022-04-29T00:00:00+00:00,0,4048151.640029648,66934,230152905.14102608,72801,76717635047.0087,828588.3084379659,2296467915.9619684,123,0,828588.3084379659,276196102.8126553,52888,14267.126534149453,624074869.7883716,0,142671265.34149453,412557.10284260137,1018316222.8759501,0,825114205.6852027,2275317.234777516,1530749777.6756785,1,758439078.2591721,517421.8674374147,224948078.57038343,2,51742186.743741475,511176776.0625106,6594,321253598769.36993,3219563.3315916816,3398088948.9103837,3,0,3219563.3315916816,1777966736.0296109
|,|,|,2022-04-28T00:00:00+00:00,0,3533472.2285940577,63939,229324316.83258814,72678,76441438944.19604,723705.9280009298,2280667891.487252,139,0,723705.9280009298,241235309.33364323,41351,13980.084847590542,622934922.6718335,0,139800848.47590542,454257.8842499803,1037617888.0441484,0,908515768.4999607,1933008.6810613247,1497604237.2752054,3,644336227.0204415,408519.6504342324,223887513.03143838,1,40851965.043423235,507957212.73091894,6591,319475632033.34033,2809766.300593128,3382044561.022626,4,0,2809766.300593128,1733504809.0397308
|,|,|,2022-04-27T00:00:00+00:00,0,2227489.373298287,61153,228600610.90458718,72539,76200203634.8624,603199.2051798742,2248698253.8214626,158,0,603199.2051798742,201066401.72662473,32321,11879.696564355547,623427051.5624104,0,118796965.64355546,365231.1692282696,1021125201.4685344,0,730462338.4565392,968879.7733499703,1463311386.3184426,2,322959924.4499901,278299.5289758172,223533665.50389975,4,27829952.89758172,505147446.4303258,6587,317742127224.3006,1624290.1681184126,3331397304.8532867,6,0,1624290.1681184126,1200049181.4476664
|,|,|,2022-04-26T00:00:00+00:00,0,2672922.398344506,62698,227997411.6994073,72381,75999137233.13577,659581.6354179534,2332889714.316042,152,0,659581.6354179534,219860545.13931778,35361,11874.25967533942,624474635.4928126,1,118742596.7533942,447746.9858887555,1008400539.7595111,1,895493971.777511,1224384.7783980274,1570609242.2189372,4,408128259.46600914,329334.7389644303,235676165.3841718,1,32933473.896443028,503523156.2622074,6581,316542078042.8529,2013340.7629265527,3439160582.855433,7,0,2013340.7629265527,1455298301.8933573
|,|,|,2022-04-25T00:00:00+00:00,0,2986885.4456170388,65257,227337830.06398937,72229,75779276687.99646,751047.7521372034,2332318693.922757,137,0,751047.7521372034,250349250.7124011,38625,12351.516195157012,629389820.1607813,0,123515161.95157012,453890.88576355466,1005490287.029247,0,907781771.5271093,1291430.7292827526,1542771802.065948,7,430476909.76091754,478164.562238371,242599869.08155724,7,47816456.2238371,501509815.49928087,6574,315086779740.9596,2235837.6934798355,3420251778.3375335,14,0,2235837.6934798355,1509590299.463434
|,|,|,2022-04-24T00:00:00+00:00,0,1545849.6692353538,57967,226586782.31185216,72092,75528927437.28406,540994.3949963524,2513512207.326952,134,0,540994.3949963524,180331464.9987841,26391,6579.508295969948,621588940.1790274,0,65795082.95969948,201721.5047570777,1010847528.148289,0,403443009.5141554,577789.8001901197,1498918332.6004727,3,192596600.06337324,218764.46099583406,237485280.44336456,7,21876446.099583406,499273977.80580103,6560,313577189441.49615,1004855.2742390014,3368840081.371154,10,0,1004855.2742390014,683711138.6368115
|,|,|,2022-04-23T00:00:00+00:00,0,1793639.6800409541,63487,226045787.9168558,71958,75348595972.28526,619216.7713848132,2357493079.47619,145,0,619216.7713848132,206405590.46160442,30325,5677.494615982572,622023471.2412791,0,56774946.15982572,166461.4936646265,1016860652.2624259,1,332922987.329253,680715.0951985044,1499821551.00315,1,226905031.7328348,321568.8251770274,239291156.12123576,6,32156882.517702736,498269122.53156203,6550,312893478302.8593,1174422.9086561408,3377996830.628091,8,0,1174422.9086561408,648759847.7396163
|,|,|,2022-04-22T00:00:00+00:00,0,2336376.215460806,61260,225426571.145471,71813,75142190381.82367,720123.6023399777,2377280002.553337,132,0,720123.6023399777,240041200.77999258,29563,8152.564682644299,621133351.6579533,2,81525646.82644299,369493.5965725515,1020805560.872353,4,738987193.145103,804105.9756414543,1511878477.337204,3,268035325.21381813,434500.47622417833,243614453.48066744,5,43450047.62241783,497094699.62290585,6542,312244718455.1197,1616252.6131208285,3397431843.348178,14,0,1616252.6131208285,1131998212.807782
|,|,|,2022-04-21T00:00:00+00:00,0,3416606.7244490553,68944,224706447.54313102,71681,74902149181.04367,1239741.626392692,2434601715.4044023,144,0,1239741.626392692,413247208.797564,34426,17145.102351925394,619420068.8493065,1,171451023.51925394,440411.57876565936,1020737015.5837568,0,880823157.5313188,1170607.6830799659,1553825485.0904186,8,390202561.0266553,548700.7338588126,253637884.60394773,6,54870073.38588126,495478447.00978506,6528,311112720242.31195,2176865.0980563634,3447620454.12743,15,0,2176865.0980563634,1497346815.4631093
|,|,|,2022-04-20T00:00:00+00:00,0,3426286.960476572,64824,223466705.91673833,71537,74488901972.24611,956845.4027033867,2450779975.0480933,185,0,956845.4027033867,318948467.5677956,35342,18705.855196675144,620083121.9052615,0,187058551.96675146,411395.05328126374,1026426528.6137515,0,822790106.5625275,1387362.5115349984,1548393048.6011121,8,462454170.5116661,651978.1377602478,246707518.67499894,4,65197813.77602478,493301581.9117287,6513,309615373426.8488,2469441.557773185,3441610217.795124,12,0,2469441.557773185,1537500642.8169699
|,|,|,2022-04-19T00:00:00+00:00,0,2605590.1476193676,71335,222509860.51403493,71352,74169953504.67831,953681.2469409311,2438364959.3979707,192,0,953681.2469409311,317893748.9803103,31220,17930.00667688726,621896573.8250982,1,179300066.7688726,336684.7334859905,1013376711.7708033,0,673369466.9719809,766546.3958084331,1523525489.9231236,1,255515465.2694777,530747.7647071255,247662741.89616543,5,53074776.47071255,490832140.3539555,6501,308077872784.03186,1651908.9006784363,3406461517.4151907,7,0,1651908.9006784363,1161259775.4810438
|,|,|,2022-04-18T00:00:00+00:00,0,2819009.581506199,73788,221556179.26709402,71160,73852059755.698,994011.0266092306,2403646163.4137273,210,0,994011.0266092306,331337008.8697435,34270,10619.785468871583,606676384.1822988,0,106197854.68871583,457333.99345202924,1029266980.0608478,1,914667986.9040585,886829.1317684482,1505879724.81404,2,295609710.5894827,470215.6442076195,243209341.95951945,4,47021564.42076194,489180231.45327705,6494,306916613008.5508,1824998.5548969684,3385032431.016706,7,0,1824998.5548969684,1363497116.603019
|,|,|,2022-04-17T00:00:00+00:00,0,2471880.638551455,77845,220562168.24048477,70950,73520722746.82826,933056.7924251532,2423368718.045537,194,0,933056.7924251532,311018930.8083844,30703,7522.972528823302,604154925.2677618,1,75229725.28823303,352097.4467719021,995584990.673949,0,704194893.5438042,816103.3571200831,1512918330.82931,4,272034452.373361,363100.0697054931,244753082.83089563,7,36310006.97054931,487355232.8983801,6487,305553115891.9478,1538823.8461263014,3357411329.6019163,12,0,1538823.8461263014,1087769078.1759474
|,|,|,2022-04-16T00:00:00+00:00,0,1368610.7508508097,62714,219629111.44805962,70756,73209703816.01988,550135.6037823325,2442593780.4839277,158,0,550135.6037823325,183378534.59411082,24236,3573.985240266619,607319749.3942742,1,35739852.40266619,147310.0486840149,993850932.8977125,0,294620097.3680298,385387.2631623414,1509004366.441559,4,128462421.05411379,282203.8499818545,244279901.56946573,3,28220384.99818545,485816409.0522538,6475,304465346813.77185,818475.1470684774,3354454950.3030114,8,0,818475.1470684774,487042755.82299525
|,|,|,2022-04-15T00:00:00+00:00,0,1847249.9122479816,57231,219078975.8442773,70598,73026325281.42577,595578.0007408976,2408585186.3930306,147,0,595578.0007408976,198526000.24696586,26996,11926.671754339297,608533391.6824707,0,119266717.54339297,303121.9422688182,999695408.4646659,1,606243884.5376364,584907.1349576792,1481178559.403535,6,194969044.98589307,351716.1625262472,240044869.17241848,2,35171616.25262472,484997933.9051853,6467,303978304057.94885,1251671.911507084,3329452228.72309,9,0,1251671.911507084,955651263.3195472
|,|,|,2022-04-14T00:00:00+00:00,0,2792595.766340852,72504,218483397.8435364,70451,72827799281.1788,872681.0939048735,2407206084.1743097,189,0,872681.0939048735,290893697.96829116,32988,12310.329741698797,608771247.6707394,0,123103297.41698797,449047.01764776756,1077842549.4794233,0,898094035.2955351,774316.77770694,1510740115.3932261,8,258105592.56897998,684240.5473395718,243638157.49523553,9,68424054.73395719,483746261.9936782,6458,303022652794.6293,1919914.6724359782,3440992070.0386243,17,0,1919914.6724359782,1347726980.0154603
|,|,|,2022-04-13T00:00:00+00:00,0,2997995.9237196324,62319,217610716.74963152,70262,72536905583.21051,650226.3081622595,2366245961.7397532,160,0,650226.3081622595,216742102.7207532,32721,15288.37275598713,558353243.6432273,0,152883727.5598713,497639.8226426299,1110645267.3639116,1,995279645.2852598,1036675.8659516941,1468477471.7132075,6,345558621.98389804,798165.5542070618,236807989.6598773,2,79816555.42070618,481826347.3212423,6441,301674925814.61383,2347769.615557373,3374283972.3802238,9,0,2347769.615557373,1573538550.2497354
