+----+------------+-------+--------+----------+
|    | date       |   piq |   cqgr |   growth |
|----+------------+-------+--------+----------|
|  0 | 2020-12-31 |  6119 |   5.19 |   nan    |
|  1 | 2021-03-31 |  9166 |   5.19 |    49.8  |
|  2 | 2021-06-30 |  8042 |   5.19 |   -12.26 |
|  3 | 2021-09-30 |  8950 |   5.19 |    11.29 |
|  4 | 2021-12-31 |  7818 |   5.19 |   -12.65 |
|  5 | 2022-03-31 |  7879 |   5.19 |     0.78 |
+----+------------+-------+--------+----------+
piq:	6119.0 && 9166.0 & 8042.0 & 8950.0 & 7818.0 && 7879.0 & \textit{5.19\%}
growth:	\textit{$NA$} && \textit{49.8\%} & \textit{-12.26\%} & \textit{11.29\%} & \textit{-12.65\%} && \textit{0.78\%} & 
