+----+------------+-------+--------+----------+
|    | date       |   piq |   cqgr |   growth |
|----+------------+-------+--------+----------|
|  1 | 2020-12-31 |  2167 |  -5.62 |     9.39 |
|  2 | 2021-03-31 |  1591 |  -5.62 |   -26.58 |
|  3 | 2021-06-30 |  2201 |  -5.62 |    38.34 |
|  4 | 2021-09-30 |  2271 |  -5.62 |     3.18 |
|  5 | 2021-12-31 |  2110 |  -5.62 |    -7.09 |
|  6 | 2022-03-31 |  1626 |  -5.62 |   -22.94 |
|  7 | 2022-06-30 |  1321 |  -5.62 |   -18.76 |
+----+------------+-------+--------+----------+
piq:	2167.0 && 1591.0 & 2201.0 & 2271.0 & 2110.0 && 1626.0 & 1321.0 && \textit{-5.62\%}
growth:	\textit{9.39\%} && \textit{-26.58\%} & \textit{38.34\%} & \textit{3.18\%} & \textit{-7.09\%} && \textit{-22.94\%} & \textit{-18.76\%} && 
