+----+------------+-------+--------+----------+
|    | date       |   piq |   cqgr |   growth |
|----+------------+-------+--------+----------|
|  0 | 2020-12-31 | 45403 | -31.57 |   nan    |
|  1 | 2021-03-31 | 14528 | -31.57 |   -68    |
|  2 | 2021-06-30 | 35721 | -31.57 |   145.88 |
|  3 | 2021-09-30 | 12484 | -31.57 |   -65.05 |
|  4 | 2021-12-31 | 48953 | -31.57 |   292.13 |
|  5 | 2022-03-31 |  6812 | -31.57 |   -86.08 |
+----+------------+-------+--------+----------+
piq:	45403.0 && 14528.0 & 35721.0 & 12484.0 & 48953.0 && 6812.0 & \textit{-31.57\%}
growth:	\textit{$NA$} && \textit{-68.0\%} & \textit{145.88\%} & \textit{-65.05\%} & \textit{292.13\%} && \textit{-86.08\%} & 
