+----+------------+-------+--------+----------+
|    | date       |   piq |   cqgr |   growth |
|----+------------+-------+--------+----------|
|  1 | 2020-12-31 |  5441 |   6.07 |    37.61 |
|  2 | 2021-03-31 | 10309 |   6.07 |    89.47 |
|  3 | 2021-06-30 |  7348 |   6.07 |   -28.72 |
|  4 | 2021-09-30 |  5862 |   6.07 |   -20.22 |
|  5 | 2021-12-31 |  3950 |   6.07 |   -32.62 |
|  6 | 2022-03-31 |  5266 |   6.07 |    33.32 |
|  7 | 2022-06-30 |  5971 |   6.07 |    13.39 |
+----+------------+-------+--------+----------+
piq:	5441.0 && 10309.0 & 7348.0 & 5862.0 & 3950.0 && 5266.0 & 5971.0 && \textit{6.07\%}
growth:	\textit{37.61\%} && \textit{89.47\%} & \textit{-28.72\%} & \textit{-20.22\%} & \textit{-32.62\%} && \textit{33.32\%} & \textit{13.39\%} && 
