+----+------------+-------+--------+----------+
|    | date       |   piq |   cqgr |   growth |
|----+------------+-------+--------+----------|
|  0 | 2020-12-31 | 122.9 |  12.85 |   nan    |
|  1 | 2021-03-31 | 192.9 |  12.85 |    56.96 |
|  2 | 2021-06-30 | 179.2 |  12.85 |    -7.1  |
|  3 | 2021-09-30 | 173.8 |  12.85 |    -3.01 |
|  4 | 2021-12-31 | 210.2 |  12.85 |    20.94 |
|  5 | 2022-03-31 | 224.9 |  12.85 |     6.99 |
+----+------------+-------+--------+----------+
piq:	122.9 && 192.9 & 179.2 & 173.8 & 210.2 && 224.9 & \textit{12.85\%}
growth:	\textit{$NA$} && \textit{56.96\%} & \textit{-7.1\%} & \textit{-3.01\%} & \textit{20.94\%} && \textit{6.99\%} & 
