+----+------------+-------+--------+----------+
|    | date       |   piq |   cqgr |   growth |
|----+------------+-------+--------+----------|
|  0 | 2020-09-30 |   583 |   6.11 |   nan    |
|  1 | 2020-12-31 |   674 |   6.11 |    15.61 |
|  2 | 2021-03-31 |   833 |   6.11 |    23.59 |
|  3 | 2021-06-30 |  1932 |   6.11 |   131.93 |
|  4 | 2021-09-30 |   824 |   6.11 |   -57.35 |
|  5 | 2021-12-31 |  2109 |   6.11 |   155.95 |
|  6 | 2022-03-31 |   832 |   6.11 |   -60.55 |
+----+------------+-------+--------+----------+
piq:	583.0 && 674.0 & 833.0 & 1932.0 & 824.0 && 2109.0 & 832.0 && \textit{6.11\%}
growth:	\textit{$NA$} && \textit{15.61\%} & \textit{23.59\%} & \textit{131.93\%} & \textit{-57.35\%} && \textit{155.95\%} & \textit{-60.55\%} && 
