+----+------------+-------+--------+----------+
|    | date       |   piq |   cqgr |   growth |
|----+------------+-------+--------+----------|
|  0 | 2020-12-31 |  4430 |   -4.7 |   nan    |
|  1 | 2021-03-31 |  5344 |   -4.7 |    20.63 |
|  2 | 2021-06-30 |  4566 |   -4.7 |   -14.56 |
|  3 | 2021-09-30 |  4874 |   -4.7 |     6.75 |
|  4 | 2021-12-31 |  4884 |   -4.7 |     0.21 |
|  5 | 2022-03-31 |  4588 |   -4.7 |    -6.06 |
|  6 | 2022-06-30 |  3319 |   -4.7 |   -27.66 |
+----+------------+-------+--------+----------+
piq:	4430.0 && 5344.0 & 4566.0 & 4874.0 & 4884.0 && 4588.0 & 3319.0 && \textit{-4.7\%}
growth:	\textit{$NA$} && \textit{20.63\%} & \textit{-14.56\%} & \textit{6.75\%} & \textit{0.21\%} && \textit{-6.06\%} & \textit{-27.66\%} && 
