+----+------------+-------+--------+----------+
|    | date       |   piq |   cqgr |   growth |
|----+------------+-------+--------+----------|
|  0 | 2020-12-31 |   267 |   6.97 |   nan    |
|  1 | 2021-03-31 |   395 |   6.97 |    47.94 |
|  2 | 2021-06-30 |   454 |   6.97 |    14.94 |
|  3 | 2021-09-30 |   371 |   6.97 |   -18.28 |
|  4 | 2021-12-31 |   314 |   6.97 |   -15.36 |
|  5 | 2022-03-31 |   374 |   6.97 |    19.11 |
+----+------------+-------+--------+----------+
piq:	267.0 && 395.0 & 454.0 & 371.0 & 314.0 && 374.0 & \textit{6.97\%}
growth:	\textit{$NA$} && \textit{47.94\%} & \textit{14.94\%} & \textit{-18.28\%} & \textit{-15.36\%} && \textit{19.11\%} & 
