+----+------------+-------+--------+----------+
|    | date       |   piq |   cqgr |   growth |
|----+------------+-------+--------+----------|
|  0 | 2020-12-31 |  3866 |  -1.34 |   nan    |
|  1 | 2021-03-31 |  5591 |  -1.34 |    44.62 |
|  2 | 2021-06-30 |  8189 |  -1.34 |    46.47 |
|  3 | 2021-09-30 |  6926 |  -1.34 |   -15.42 |
|  4 | 2021-12-31 |  8110 |  -1.34 |    17.1  |
|  5 | 2022-03-31 |  4509 |  -1.34 |   -44.4  |
|  6 | 2022-06-30 |  3565 |  -1.34 |   -20.94 |
+----+------------+-------+--------+----------+
piq:	3866.0 && 5591.0 & 8189.0 & 6926.0 & 8110.0 && 4509.0 & 3565.0 && \textit{-1.34\%}
growth:	\textit{$NA$} && \textit{44.62\%} & \textit{46.47\%} & \textit{-15.42\%} & \textit{17.1\%} && \textit{-44.4\%} & \textit{-20.94\%} && 
