+-----+------------+-----------+--------+----------+
|     | date       | revenue   | cqgr   | growth   |
|-----+------------+-----------+--------+----------|
|   0 | 2020-12-31 | $NA$      |        | $NA$     |
| 473 | 2021-03-31 | 1.22      | 0.37   | $NA$     |
| 382 | 2021-06-30 | 5.54      | 0.37   | 355.22   |
| 290 | 2021-09-30 | 9.34      | 0.37   | 68.66    |
| 198 | 2021-12-31 | 12.69     | 0.37   | 35.94    |
| 108 | 2022-03-31 | 6.49      | 0.37   | -48.84   |
|  17 | 2022-06-30 | 5.97      | 0.37   | -8.08    |
+-----+------------+-----------+--------+----------+
revenue:	$NA$ && 1.22 & 5.54 & 9.34 & 12.69 && 6.49 & 5.97 && \textit{0.37\%}
growth:	\textit{$NA$} && \textit{$NA$} & \textit{355.22\%} & \textit{68.66\%} & \textit{35.94\%} && \textit{-48.84\%} & \textit{-8.08\%} && 
