+-----+------------+-----------+--------+----------+
|     | date       | revenue   | cqgr   | growth   |
|-----+------------+-----------+--------+----------|
|   0 | 2020-12-31 | $NA$      |        | $NA$     |
| 473 | 2021-03-31 | 10.59     | -0.3   | $NA$     |
| 382 | 2021-06-30 | 10.86     | -0.3   | 2.5      |
| 290 | 2021-09-30 | 9.02      | -0.3   | -16.91   |
| 198 | 2021-12-31 | 10.03     | -0.3   | 11.14    |
| 108 | 2022-03-31 | 4.82      | -0.3   | -51.89   |
|  17 | 2022-06-30 | 1.8       | -0.3   | -62.69   |
+-----+------------+-----------+--------+----------+
revenue:	$NA$ && 10.59 & 10.86 & 9.02 & 10.03 && 4.82 & 1.8 && \textit{-0.3\%}
growth:	\textit{$NA$} && \textit{$NA$} & \textit{2.5\%} & \textit{-16.91\%} & \textit{11.14\%} && \textit{-51.89\%} & \textit{-62.69\%} && 
