+-----+------------+-----------+--------+----------+
|     | date       | revenue   | cqgr   | growth   |
|-----+------------+-----------+--------+----------|
|   0 | 2020-12-31 | $NA$      |        | $NA$     |
|   0 | 2021-03-31 | $NA$      |        | $NA$     |
|   0 | 2021-06-30 | $NA$      |        | $NA$     |
| 290 | 2021-09-30 | 6.34      | 0.24   | $NA$     |
| 198 | 2021-12-31 | 19.84     | 0.24   | 2.13     |
| 108 | 2022-03-31 | 18.49     | 0.24   | -0.07    |
|  17 | 2022-06-30 | 12.17     | 0.24   | -0.34    |
+-----+------------+-----------+--------+----------+
revenue:	$NA$ && $NA$ & $NA$ & 6.34 & 19.84 && 18.49 & 12.17 && \textit{0.24\%}
growth:	\textit{$NA$} && \textit{$NA$} & \textit{$NA$} & \textit{$NA$} & \textit{2.13\%} && \textit{-0.07\%} & \textit{-0.34\%} && 
