+-----+------------+-----------+--------+----------+
|     | date       | revenue   | cqgr   | growth   |
|-----+------------+-----------+--------+----------|
|   0 | 2020-12-31 | $NA$      |        | $NA$     |
|   0 | 2021-03-31 | $NA$      |        | $NA$     |
| 382 | 2021-06-30 | 0.35      | -0.37  | $NA$     |
| 290 | 2021-09-30 | 0.22      | -0.37  | -36.96   |
| 198 | 2021-12-31 | 0.17      | -0.37  | -24.12   |
| 108 | 2022-03-31 | 0.07      | -0.37  | -59.15   |
|  17 | 2022-06-30 | 0.05      | -0.37  | -20.77   |
+-----+------------+-----------+--------+----------+
revenue:	$NA$ && $NA$ & 0.35 & 0.22 & 0.17 && 0.07 & 0.05 && \textit{-0.37\%}
growth:	\textit{$NA$} && \textit{$NA$} & \textit{$NA$} & \textit{-36.96\%} & \textit{-24.12\%} && \textit{-59.15\%} & \textit{-20.77\%} && 
