+-----+------------+-----------+--------+----------+
|     | date       | revenue   | cqgr   | growth   |
|-----+------------+-----------+--------+----------|
|   0 | 2020-12-31 | $NA$      |        | $NA$     |
| 473 | 2021-03-31 | 25.71     | -0.02  | $NA$     |
| 382 | 2021-06-30 | 46.87     | -0.02  | 0.82     |
| 290 | 2021-09-30 | 30.78     | -0.02  | -0.34    |
| 198 | 2021-12-31 | 46.83     | -0.02  | 0.52     |
| 108 | 2022-03-31 | 31.14     | -0.02  | -0.34    |
|  17 | 2022-06-30 | 23.2      | -0.02  | -0.25    |
+-----+------------+-----------+--------+----------+
revenue:	$NA$ && 25.71 & 46.87 & 30.78 & 46.83 && 31.14 & 23.2 && \textit{-0.02\%}
growth:	\textit{$NA$} && \textit{$NA$} & \textit{0.82\%} & \textit{-0.34\%} & \textit{0.52\%} && \textit{-0.34\%} & \textit{-0.25\%} && 
